date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/19/2017,away,12560,695,UT Martin,9,True,3,4,-1,loss,3 - 4,206425,86,0,1,4.0,0.0,7,2,0,2,3,0,21,18,2,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,0,1,1,1757637,2017
02/26/2017,away,12560,454,Murray St.,9,True,11,4,7,win,11 - 4,207678,86,0,1,6.0,0.0,2,0,0,2,6,0,23,20,0,0,0,0,0,1,0,0,0,0,0,81,4,8,1,0,0,1,1,1757637,2017
03/05/2017,away,12560,317,James Madison,9,True,4,9,-5,loss,4 - 9,209054,86,0,1,5.0,0.0,5,1,1,5,6,0,25,18,2,0,1,0,0,2,0,0,0,0,0,96,4,3,0,0,0,1,3,1757637,2017
03/11/2017,away,12560,522,Oklahoma,9,True,1,5,-4,loss,1 - 5,210506,86,0,1,5.2,0.0,5,4,2,3,3,0,26,21,1,0,0,0,0,2,0,0,0,0,0,95,3,9,0,1,0,1,0,1757637,2017
03/19/2017,away,12560,536,UTRGV,9,True,4,6,-2,loss,4 - 6,212539,86,0,1,5.0,0.0,4,4,4,5,7,0,25,18,1,0,0,0,1,2,0,0,0,0,0,98,4,3,0,0,0,1,2,1757637,2017
03/25/2017,away,12560,624,Sam Houston,9,True,10,4,6,win,10 - 4,213844,86,0,1,6.1,0.0,4,2,2,5,2,0,29,21,1,1,0,0,0,2,0,0,0,1,0,0,8,8,1,0,0,1,0,1757637,2017
04/02/2017,away,12560,331,Kent St.,9,True,0,14,-14,loss,0 - 14,216411,86,0,1,0.2,0.0,8,9,9,2,0,0,11,8,1,0,0,1,2,0,0,0,0,0,1,40,0,1,0,1,0,1,0,1757637,2017
04/08/2017,home,12560,503,NIU,9,True,6,3,3,win,6 - 3,217859,86,0,1,6.0,0.0,5,3,3,4,5,0,25,21,1,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,0,1,1,1757637,2017
04/15/2017,away,12560,709,Toledo,9,True,20,21,-1,loss,20 - 21,219938,86,0,1,4.0,0.0,9,9,8,4,3,0,28,21,1,0,0,0,0,2,0,0,0,1,0,104,2,7,0,0,0,1,0,1757637,2017
04/23/2017,home,12560,47,Ball St.,9,True,6,5,1,win,6 - 5,222519,86,0,1,4.1,0.0,8,5,5,3,6,0,24,21,3,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,1,3,1757637,2017
04/29/2017,home,12560,204,Eastern Mich.,9,True,5,2,3,win,5 - 2,224009,86,0,1,7.0,0.0,4,1,0,3,9,0,28,25,1,0,0,0,0,0,0,0,0,0,0,0,8,4,1,0,0,1,2,1757637,2017
05/07/2017,away,12560,414,Miami (OH),9,True,1,0,1,win,1 - 0,225650,86,0,1,6.0,0.0,3,0,0,4,11,0,25,20,1,0,0,0,0,0,0,0,0,1,0,0,4,3,1,0,0,1,1,1757637,2017
05/13/2017,home,12560,519,Ohio,9,True,1,12,-11,loss,1 - 12,226464,86,0,1,6.0,0.0,11,7,4,3,3,0,31,25,2,0,0,1,2,0,0,0,0,1,2,0,7,7,0,1,0,1,1,1757637,2017
05/20/2017,away,12560,774,Western Mich.,9,True,2,7,-5,loss,2 - 7,227135,86,0,1,5.2,0.0,10,7,7,3,2,0,31,25,2,0,0,0,0,1,0,0,0,2,0,111,7,8,0,1,0,1,1,1757637,2017
