App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,0,0.2,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,7,0,0,02/19/2023,home,16340,466,Nevada,9,True,7,9,-2,loss,2390845,2,1997675,2023,1
1,0,1.1,0.0,2,0,0,0,2,0,6,6,0,0,0,0,0,0,0,1,0,0,0,21,1,1,0,0,0,5,1,0,02/20/2023,home,16340,466,Nevada,9,True,7,3,4,win,2391069,2,1997675,2023,1
1,0,2.0,0.0,3,2,2,1,1,0,12,9,0,0,0,0,0,2,0,2,2,0,0,36,4,1,0,0,0,2,0,0,02/26/2023,home,16340,654,Southeast Mo. St.,9,True,5,4,1,win,2391311,2,1997675,2023,1
