date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/17/2019,home,14781,62,Binghamton,9,True,12,2,10,win,12 - 2,4803619,418,1,2.0,0,2,1,1,1,4,0,9,8,2,0,0,0,0,0,0,3,0,0,0,30,1,1,0,0,0,2,1,1982280,2019
02/24/2019,away,14781,141,The Citadel,9,True,6,3,3,win,6 - 3,4715778,418,1,1.0,0,2,1,1,1,2,0,6,4,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,3,0,1982280,2019
03/03/2019,away,14781,101,CSUN,9,True,2,5,-3,loss,2 - 5,4722205,418,1,1.2,0,1,1,1,0,4,0,6,6,0,0,0,1,0,0,0,1,0,0,0,29,1,0,0,0,0,2,1,1982280,2019
03/05/2019,away,14781,99,Long Beach St.,9,True,7,8,-1,loss,7 - 8,4723934,418,1,0.0,0,1,1,1,2,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,12,0,0,0,0,0,2,0,1982280,2019
03/09/2019,away,14781,657,Southern California,9,True,1,4,-3,loss,1 - 4,4728957,418,1,0.0,0,1,2,2,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,2,0,1982280,2019
03/16/2019,home,14781,381,Manhattan,9,True,16,7,9,win,16 - 7,4772524,418,1,0.2,0,2,3,0,1,1,0,7,5,0,0,0,0,1,1,0,0,0,0,0,26,1,0,0,0,0,2,0,1982280,2019
03/19/2019,home,14781,774,Western Mich.,9,True,12,5,7,win,12 - 5,4744236,418,1,2.0,0,1,0,0,0,1,0,6,6,0,0,0,0,0,0,0,3,1,0,0,34,4,0,0,0,0,4,0,1982280,2019
03/22/2019,away,14781,700,Texas Tech,9,True,3,10,-7,loss,3 - 10,4744203,418,1,1.0,0,0,2,2,2,1,0,5,3,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,3,0,1982280,2019
03/23/2019,home,14781,678,Stetson,9,True,16,6,10,win,16 - 6,4772755,418,1,1.0,0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,3,0,1982280,2019
03/27/2019,home,14781,630,San Jose St.,9,True,3,0,3,win,3 - 0,4750964,418,1,4.0,0,2,0,0,2,4,0,16,11,0,0,0,0,0,1,0,0,0,2,0,51,4,3,1,0,0,1,1,1982280,2019
04/03/2019,home,14781,709,Toledo,9,True,8,2,6,win,8 - 2,4758327,418,1,1.0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,1,0,0,0,14,1,0,0,0,0,4,2,1982280,2019
04/07/2019,home,14781,428,Minnesota,9,True,8,0,8,win,8 - 0,4762602,418,1,1.1,0,2,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,2,0,1982280,2019
04/10/2019,home,14781,305,Indiana St.,9,True,6,4,2,win,6 - 4,4765436,418,1,3.0,0,2,0,0,2,4,0,14,10,1,0,0,0,0,2,0,0,0,0,0,60,1,3,0,0,0,1,2,1982280,2019
04/13/2019,away,14781,518,Ohio St.,9,True,4,10,-6,loss,4 - 10,4789163,418,1,0.2,0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,3,1,1982280,2019
04/17/2019,home,14781,71,Bowling Green,9,True,10,5,5,win,10 - 5,4773418,418,1,2.0,0,6,3,3,1,2,0,13,12,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1982280,2019
04/21/2019,home,14781,509,Northwestern,9,True,10,1,9,win,10 - 1,4777011,418,1,1.2,0,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,1982280,2019
05/04/2019,away,14781,392,Maryland,9,True,10,4,6,win,10 - 4,4787169,418,1,0.2,0,2,0,0,0,0,0,4,4,1,0,0,0,0,0,0,1,1,0,0,11,1,1,0,0,0,2,0,1982280,2019
05/07/2019,home,14781,416,Michigan St.,9,True,7,0,7,win,7 - 0,4789378,418,1,0.2,0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,2,0,0,0,13,0,1,0,0,0,3,0,1982280,2019
05/10/2019,home,14781,306,Indiana,9,True,4,10,-6,loss,4 - 10,4790352,418,1,1.0,0,0,2,0,0,1,0,5,4,0,0,0,0,0,1,0,1,1,0,0,15,1,0,0,0,0,2,0,1982280,2019
05/14/2019,away,14781,334,Kentucky,9,True,4,7,-3,loss,4 - 7,4791514,418,1,0.0,0,2,2,2,0,0,0,2,2,1,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,2,0,1982280,2019
05/25/2019,home,14781,463,Nebraska,9,True,3,7,-4,loss,3 - 7,4795282,418,1,4.2,0,4,3,2,3,6,0,23,19,0,0,0,0,2,1,0,0,0,0,0,93,6,2,0,0,0,1,2,1982280,2019
06/03/2019,home,14781,169,Creighton,9,True,17,6,11,win,17 - 6,4798580,418,1,0.0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,3,0,1982280,2019
06/25/2019,home,14781,736,Vanderbilt,9,True,1,4,-3,loss,1 - 4,4803378,418,1,1.1,0,2,1,1,0,3,0,6,6,1,0,0,1,0,0,0,2,0,0,0,27,1,0,0,0,0,4,0,1982280,2019
