date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/16/2013,home,11320,19651,High Point,9,True,6,8,-2,loss,6 - 8,658384,248,1,3.1,7,3,3,1,2,0,19,15,0,0,0,0,0,2,0,1,1,0,1,51,5,2,0,0,0,2,1,1300985,2013
02/24/2013,home,11320,310,Iona,9,True,5,4,1,win,5 - 4,659740,248,1,1.2,2,2,1,2,1,0,10,8,1,0,0,0,0,0,0,1,1,0,0,40,3,1,1,0,0,2,0,1300985,2013
02/26/2013,away,11320,251,Georgetown,9,True,4,1,3,win,4 - 1,659986,248,1,1.0,3,0,0,0,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,1,1300985,2013
03/01/2013,home,11320,220,Fairfield,9,True,7,6,1,win,7 - 6,660188,248,1,1.0,4,2,2,0,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,28,1,0,1,0,0,5,0,1300985,2013
03/05/2013,away,11320,740,VCU,9,True,2,4,-2,loss,2 - 4,661408,248,1,2.0,1,0,0,1,1,0,8,6,0,0,0,0,0,0,1,0,0,1,0,28,3,2,0,0,0,6,1,1300985,2013
03/10/2013,away,11320,254,Georgia St.,9,True,7,8,-1,loss,7 - 8,662733,248,1,2.1,4,2,1,2,2,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,1300985,2013
03/13/2013,home,11320,575,Richmond,9,True,5,7,-2,loss,5 - 7,663450,248,1,1.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,4,1,1300985,2013
03/16/2013,home,11320,500,Northeastern,9,True,3,2,1,win,3 - 2,664210,248,1,2.0,1,0,0,0,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,20,2,2,0,0,1,2,2,1300985,2013
03/19/2013,home,11320,563,Radford,9,True,5,4,1,win,5 - 4,665211,248,1,1.0,3,2,2,1,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,30,1,2,0,0,1,5,0,1300985,2013
03/23/2013,home,11320,317,James Madison,9,True,4,11,-7,loss,4 - 11,665923,248,1,2.2,5,6,6,4,1,0,18,11,0,2,0,0,0,1,0,0,0,1,1,66,2,5,0,1,0,1,0,1300985,2013
03/31/2013,away,11320,283,Hofstra,9,True,9,14,-5,loss,9 - 14,668576,248,1,3.0,7,6,5,1,3,0,18,16,0,1,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,1,1,1300985,2013
04/07/2013,away,11320,180,Delaware,9,True,1,16,-15,loss,1 - 16,670422,248,1,4.0,9,8,8,2,2,0,22,19,5,0,1,1,0,0,0,0,0,1,0,0,3,6,0,1,0,1,1,1300985,2013
04/14/2013,home,11320,711,Towson,9,True,0,8,-8,loss,0 - 8,672506,248,1,6.0,5,2,1,3,8,0,27,22,1,0,1,0,0,1,0,0,0,1,0,106,6,3,0,1,0,1,2,1300985,2013
04/21/2013,home,11320,460,UNCW,9,True,2,10,-8,loss,2 - 10,674526,248,1,3.0,9,7,6,3,1,0,22,16,2,0,0,0,0,0,0,0,0,1,2,84,3,5,0,1,0,1,0,1300985,2013
04/28/2013,away,11320,786,William & Mary,9,True,1,7,-6,loss,1 - 7,676612,248,1,4.0,9,6,4,1,3,0,22,19,3,0,0,2,0,1,0,0,0,0,1,0,5,3,0,1,0,1,1,1300985,2013
05/05/2013,away,11320,523,Old Dominion,11,True,4,5,-1,loss,4 - 5,678175,248,1,6.0,4,2,2,3,4,0,25,22,1,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,1,2,1300985,2013
05/17/2013,home,11320,164,UConn,9,True,1,9,-8,loss,1 - 9,679716,248,1,4.0,8,6,6,0,2,0,21,20,1,0,1,1,0,1,0,0,0,0,0,60,3,7,0,1,0,1,2,1300985,2013
