date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/20/2016,away,12360,288,Houston,9,True,0,4,-4,loss,0 - 4,292676,739,0,0,1.1,0.0,1,1,0,3,0,0,9,6,0,0,0,0,0,0,0,2,0,0,0,44,3,1,0,0,0,3,0,1644755,2016
02/26/2016,home,12360,136,Chicago St.,9,True,3,4,-1,loss,3 - 4,293718,739,0,0,1.2,0.0,0,0,0,1,2,0,7,6,0,0,0,0,0,0,0,3,3,0,0,0,1,2,0,0,0,3,1,1644755,2016
02/28/2016,home,12360,67,Boston College,12,True,10,11,-1,loss,10 - 11,294522,739,0,0,4.0,0.0,3,2,1,1,1,0,15,13,0,0,0,0,0,0,0,2,2,0,1,0,3,7,0,0,0,2,0,1644755,2016
03/02/2016,away,12360,234,Florida St.,14,True,10,11,-1,loss,10 - 11,294849,739,0,0,2.0,0.0,3,1,1,1,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,3,0,1644755,2016
03/05/2016,home,12360,129,Central Mich.,9,True,5,9,-4,loss,5 - 9,295596,739,0,0,0.0,0.0,0,1,1,3,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,1644755,2016
03/06/2016,home,12360,301,Illinois,9,True,2,4,-2,loss,2 - 4,295988,739,0,0,1.1,0.0,3,0,0,0,1,0,7,6,0,0,0,0,0,0,0,1,1,1,0,18,2,1,0,0,0,2,0,1644755,2016
03/08/2016,home,12360,178,Delaware St.,9,True,2,1,1,win,2 - 1,296361,739,0,0,0.1,0.0,2,1,1,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,2,0,1644755,2016
03/12/2016,away,12360,683,Stony Brook,9,True,3,8,-5,loss,3 - 8,297247,739,0,0,1.2,0.0,0,0,0,0,1,0,5,5,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,3,0,1644755,2016
03/13/2016,home,12360,617,Saint Peter's,9,True,1,5,-4,loss,1 - 5,297806,739,0,0,2.1,0.0,1,0,0,1,4,0,9,8,0,0,0,0,0,0,0,1,0,0,0,37,3,0,0,0,0,2,1,1644755,2016
03/15/2016,away,12360,340,La Salle,9,True,1,3,-2,loss,1 - 3,298231,739,0,0,2.2,0.0,0,0,0,2,0,0,9,6,0,0,0,0,0,1,0,1,0,0,0,0,5,1,0,0,0,2,0,1644755,2016
03/19/2016,home,12360,590,Sacred Heart,10,True,3,2,1,win,3 - 2,299502,739,0,0,1.0,0.0,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1644755,2016
