date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/15/2014,home,11620,609,Saint Louis,9,True,4,3,1,win,4 - 3,587042,8,1,3.0,2,0,0,2,1,0,13,10,0,0,0,0,0,1,0,0,0,0,0,49,6,1,0,0,0,2,0,1527438,2014
02/22/2014,home,11620,676,SFA,9,True,8,0,8,win,8 - 0,588073,8,1,2.0,0,0,0,1,2,0,7,6,0,0,0,0,0,0,0,0,0,0,0,26,1,3,0,0,0,2,2,1527438,2014
02/26/2014,away,11620,664,Southern Miss.,9,True,1,2,-1,loss,1 - 2,588879,8,1,5.0,4,1,0,1,4,0,21,18,0,0,0,0,0,1,0,0,0,1,0,78,5,6,0,0,0,1,0,1527438,2014
03/05/2014,home,11620,37,Auburn,9,True,4,3,1,win,4 - 3,590193,8,1,5.0,2,2,2,3,1,0,21,17,0,0,1,0,0,1,0,0,0,0,0,81,6,7,0,0,0,1,1,1527438,2014
03/11/2014,home,11620,625,Samford,9,True,12,1,11,win,12 - 1,591695,8,1,7.0,3,1,1,0,12,0,22,21,0,1,0,0,0,0,0,0,0,0,1,84,3,4,1,0,0,1,5,1527438,2014
03/18/2014,home,11620,17,Alcorn,9,True,17,3,14,win,17 - 3,593490,8,1,2.0,3,1,0,2,4,0,11,9,0,0,0,0,0,0,0,0,0,0,0,45,1,1,0,0,0,1,2,1527438,2014
03/22/2014,away,11620,31,Arkansas,9,True,1,2,-1,loss,1 - 2,594370,8,1,0.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,3,0,1527438,2014
03/25/2014,home,11620,716,Troy,9,True,10,5,5,win,10 - 5,595551,8,1,7.0,3,1,1,4,9,0,28,23,0,0,1,0,1,1,0,0,0,0,0,109,4,7,1,0,0,1,4,1527438,2014
04/01/2014,home,11620,498,ULM,9,True,3,2,1,win,3 - 2,597023,8,1,1.0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,17,2,1,0,0,0,3,0,1527438,2014
04/04/2014,away,11620,697,Texas A&M,9,True,5,1,4,win,5 - 1,597597,8,1,1.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,11,2,1,0,0,0,2,0,1527438,2014
04/05/2014,away,11620,697,Texas A&M,9,True,8,13,-5,loss,8 - 13,598190,8,1,0.2,2,0,0,0,0,0,5,4,0,0,0,0,1,1,0,3,3,0,0,12,0,2,0,0,0,4,0,1527438,2014
04/11/2014,home,11620,37,Auburn,9,True,1,2,-1,loss,1 - 2,599775,8,1,2.0,0,0,0,1,1,0,9,7,0,0,0,0,0,1,0,0,0,0,0,39,2,3,0,0,0,2,1,1527438,2014
04/16/2014,away,11620,9,UAB,9,True,5,2,3,win,5 - 2,601452,8,1,0.1,0,1,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1527438,2014
04/20/2014,away,11620,694,Tennessee,9,True,9,10,-1,loss,9 - 10,603057,8,1,0.0,2,3,3,1,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,2,0,1527438,2014
04/22/2014,home,11620,664,Southern Miss.,9,True,3,6,-3,loss,3 - 6,603392,8,1,2.0,2,0,0,2,1,0,10,7,0,0,0,0,0,1,0,0,0,0,0,44,2,2,0,0,0,1,0,1527438,2014
04/27/2014,away,11620,648,South Carolina,9,True,3,9,-6,loss,3 - 9,604924,8,1,3.2,4,4,4,3,0,0,19,14,0,0,0,0,0,1,0,0,0,1,0,66,8,3,0,1,0,2,0,1527438,2014
05/02/2014,home,11620,235,Florida,9,True,3,7,-4,loss,3 - 7,605728,8,1,0.2,1,1,1,2,1,0,6,2,0,0,0,0,0,1,0,0,0,0,1,26,0,1,0,0,0,2,1,1527438,2014
05/06/2014,home,11620,315,Jacksonville St.,9,True,6,1,5,win,6 - 1,606894,8,1,4.0,2,0,0,1,1,0,16,14,0,0,0,1,0,1,0,0,0,0,0,59,5,6,1,0,0,1,0,1527438,2014
05/13/2014,away,11620,315,Jacksonville St.,9,True,15,10,5,win,15 - 10,607839,8,1,3.0,4,4,4,3,3,0,17,13,2,0,0,1,0,1,0,0,0,0,0,56,3,3,0,0,0,1,1,1527438,2014
05/20/2014,home,11620,334,Kentucky,9,True,1,7,-6,loss,1 - 7,608477,8,1,1.0,0,2,2,4,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,26,1,1,0,1,0,1,0,1527438,2014
