App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,0,4.0,0.0,5,0,0,1,6,0,18,17,0,0,0,0,0,0,0,0,0,0,0,79,3,3,1,0,0,2,2,02/01/2019,away,14781,9680,Embry-Riddle (FL),9,True,6,0,6,win,1647077,734,1878402,2019
1,1,4.0,0.0,6,2,2,2,9,0,20,18,0,0,2,0,0,0,0,0,0,0,0,90,1,2,0,0,0,1,0,02/07/2019,neutral,14781,1462,Wingate,9,True,4,3,1,win,1704627,734,1878402,2019
1,1,6.0,0.0,0,0,0,2,5,0,21,19,0,0,0,0,0,0,0,0,0,0,0,74,6,7,1,0,0,1,2,02/15/2019,away,14781,30013,Lee,9,True,5,0,5,win,1706851,734,1878402,2019
1,0,2.0,0.0,2,0,0,1,4,0,9,8,0,0,0,0,0,0,0,0,0,0,0,42,2,0,0,0,0,3,0,02/19/2019,away,14781,608,Saint Leo,10,True,5,6,-1,loss,1648492,734,1878402,2019
1,1,4.0,0.0,5,3,2,1,6,0,18,17,0,1,0,1,0,0,0,0,0,0,0,75,2,4,0,0,0,1,1,02/25/2019,home,14781,333,Ky. Wesleyan,10,True,3,4,-1,loss,1649527,734,1878402,2019
1,1,5.0,0.0,6,2,2,1,7,0,23,21,1,0,0,0,0,0,0,0,0,1,0,93,6,2,0,0,0,1,2,03/04/2019,home,14781,30153,Union (TN),9,True,8,5,3,win,1650116,734,1878402,2019
1,0,1.0,0.0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,2,0,03/10/2019,neutral,14781,429,Mississippi Col.,9,True,9,1,8,win,1717731,734,1878402,2019
1,0,1.1,0.0,3,2,1,1,0,0,8,6,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,3,0,03/10/2019,neutral,14781,429,Mississippi Col.,11,True,4,5,-1,loss,1717765,734,1878402,2019
1,1,5.0,0.0,4,3,3,2,5,0,21,18,0,0,0,0,2,0,0,0,0,1,0,80,9,1,0,0,0,1,1,03/17/2019,home,14781,11740,West Florida,9,True,5,7,-2,loss,1653624,734,1878402,2019
1,1,2.0,0.0,3,2,2,0,2,0,10,9,0,0,0,0,0,0,0,0,0,0,1,35,2,2,0,0,0,1,1,03/20/2019,away,14781,689,Tampa,9,True,8,3,5,win,1654352,734,1878402,2019
1,1,5.1,0.0,2,1,0,2,6,0,21,18,0,0,0,0,1,1,0,0,0,0,0,88,6,2,0,0,0,1,0,03/24/2019,away,14781,10,Alabama Huntsville,9,True,5,10,-5,loss,1655399,734,1878402,2019
1,1,7.0,1,6,2,2,2,7,0,27,24,1,0,0,1,0,0,0,0,0,1,0,105,8,4,1,0,0,1,1,03/29/2019,home,14781,30093,AUM,9,True,18,2,16,win,1722012,734,1878402,2019
1,0,2.0,0.0,0,0,0,0,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,19,2,1,0,0,0,4,0,04/02/2019,home,14781,39,Augusta,9,True,11,4,7,win,1657215,734,1878402,2019
1,1,7.1,0.0,4,0,0,3,6,0,28,25,1,0,0,0,0,0,0,0,0,0,0,108,11,3,1,0,0,1,1,04/06/2019,away,14781,1238,Montevallo,9,True,4,0,4,win,1658103,734,1878402,2019
1,1,1.1,0.0,5,3,3,0,3,0,9,9,0,0,0,0,0,0,0,0,0,0,0,38,0,1,0,0,0,1,1,04/13/2019,home,14781,1015,Christian Brothers,9,True,8,4,4,win,1659471,734,1878402,2019
1,0,2.0,0.0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,22,4,1,0,0,0,2,0,04/14/2019,home,14781,1015,Christian Brothers,9,True,11,1,10,win,1659855,734,1878402,2019
1,1,2.0,0.0,3,2,1,1,1,0,9,8,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,0,0,1,0,04/23/2019,away,14781,30092,Flagler,9,True,7,4,3,win,1661810,734,1878402,2019
1,1,6.0,0.0,2,3,3,4,4,0,27,20,0,0,0,0,0,2,0,0,0,0,1,118,6,7,0,0,0,1,1,04/27/2019,home,14781,766,West Ga.,9,True,5,7,-2,loss,1662453,734,1878402,2019
1,1,5.0,0.0,13,6,6,1,3,0,30,29,2,1,0,0,0,0,0,0,0,0,0,108,7,5,0,1,0,1,0,05/03/2019,neutral,14781,181,Delta St.,9,True,0,10,-10,loss,1728761,734,1878402,2019
1,1,9.0,1,6,1,1,1,9,0,36,35,2,0,0,0,0,0,0,0,0,0,0,128,10,8,1,0,0,1,0,05/16/2019,neutral,14781,208,Eckerd,9,True,6,1,5,win,1732316,734,1878402,2019
