date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/19/2021,away,15580,128,UCF,9,True,12,6,6,win,12 - 6,5051102,229,1,0,1.1,0.0,2,2,2,1,0,0,8,6,0,0,0,1,0,1,0,3,3,0,0,28,2,2,1,0,0,3,0,0,2121968,2021
02/23/2021,away,15580,28755,FGCU,9,True,3,1,2,win,3 - 1,5006445,229,1,0,2.0,0.0,3,0,0,0,2,0,8,8,1,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,2,0,0,2121968,2021
02/27/2021,home,15580,635,Seton Hall,9,True,17,14,3,win,17 - 14,5010298,229,1,0,4.1,0.0,3,0,0,1,5,0,17,16,2,0,0,0,0,0,1,3,3,0,0,58,3,5,1,0,0,3,0,0,2121968,2021
03/03/2021,away,15580,235,Florida,10,True,3,2,1,win,3 - 2,5013570,229,1,0,3.0,0.0,2,0,0,0,4,0,10,10,1,0,0,0,0,0,0,0,0,0,0,35,2,2,0,0,0,2,0,0,2121968,2021
03/07/2021,home,15580,28755,FGCU,9,True,14,9,5,win,14 - 9,5018273,229,1,0,2.0,0.0,2,1,1,0,3,0,8,8,0,0,0,1,0,0,0,0,0,0,0,23,2,1,0,0,0,4,0,0,2121968,2021
03/09/2021,away,15580,415,Miami (FL),9,True,2,11,-9,loss,2 - 11,5019939,229,1,0,0.2,0.0,2,4,4,1,1,0,6,3,0,0,0,1,1,1,0,2,2,0,1,23,0,1,0,0,0,2,1,0,2121968,2021
03/11/2021,home,15580,305,Indiana St.,9,True,5,7,-2,loss,5 - 7,5023103,229,1,0,2.0,0.0,2,2,2,2,3,0,10,7,0,0,0,0,0,0,0,0,0,1,0,40,1,2,0,1,0,5,0,0,2121968,2021
03/19/2021,away,15580,651,South Fla.,9,True,5,1,4,win,5 - 1,5029833,229,1,1,7.0,0.0,4,0,0,1,6,0,27,25,0,0,0,0,0,1,0,0,0,0,0,97,5,10,1,0,0,1,1,0,2121968,2021
03/26/2021,home,15580,388,Marshall,9,True,12,0,12,win,12 - 0,5037687,229,1,1,7.0,1,4,0,0,1,6,1,25,24,0,0,0,0,0,0,0,0,0,0,0,99,7,7,1,0,0,1,0,0,2121968,2021
04/02/2021,away,15580,458,Charlotte,9,True,5,9,-4,loss,5 - 9,5044663,229,1,1,3.0,0.0,7,6,6,1,0,0,17,15,4,0,0,1,0,0,0,0,0,0,1,72,3,6,0,1,0,1,0,0,2121968,2021
04/09/2021,home,15580,523,Old Dominion,9,True,2,7,-5,loss,2 - 7,5050975,229,1,1,7.1,0.0,8,4,2,2,6,0,34,31,0,0,0,0,0,1,0,0,0,0,0,112,5,11,0,1,0,1,3,0,2121968,2021
04/16/2021,away,15580,9,UAB,10,True,6,7,-1,loss,6 - 7,5057583,229,1,1,4.1,0.0,6,5,3,1,1,0,20,18,2,0,0,1,1,0,0,0,0,1,0,0,5,7,0,0,0,1,0,0,2121968,2021
04/23/2021,away,15580,231,FIU,9,True,11,6,5,win,11 - 6,5064474,229,1,1,7.0,0.0,7,3,3,2,7,0,29,26,1,0,0,1,0,0,0,0,0,1,0,108,8,5,1,0,0,1,3,0,2121968,2021
04/30/2021,home,15580,231,FIU,9,True,12,2,10,win,12 - 2,5071006,229,1,1,5.2,0.0,3,1,1,2,4,0,23,19,1,0,0,0,1,1,0,0,0,1,0,82,7,6,1,0,0,1,3,0,2121968,2021
05/07/2021,away,15580,772,Western Ky.,9,True,6,3,3,win,6 - 3,5075591,229,1,1,7.0,1,8,3,3,0,1,0,30,28,1,0,0,0,1,1,0,0,0,0,1,114,8,12,1,0,0,1,1,0,2121968,2021
05/14/2021,home,15580,664,Southern Miss.,9,True,3,1,2,win,3 - 1,5078266,229,1,1,7.0,0.0,5,1,1,2,7,0,29,24,2,0,0,0,1,2,0,0,0,1,0,105,6,7,1,0,0,1,1,0,2121968,2021
05/26/2021,home,15580,523,Old Dominion,9,True,2,11,-9,loss,2 - 11,5081805,229,1,1,6.0,0.0,13,8,8,1,1,0,30,29,1,1,0,1,0,0,0,0,0,0,0,91,8,7,0,1,0,1,1,0,2121968,2021
