App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,0,2.0,0.0,5,4,4,1,2,0,13,11,0,0,0,2,0,1,0,0,0,0,0,30,1,3,0,0,0,2,0,0,02/18/2023,away,16340,0,Toccoa Falls,9,True,1,8,-7,loss,2408938,30094,2670681,2023,3
1,1,5.0,0.0,4,1,1,3,2,0,22,19,0,0,0,0,0,0,0,0,0,0,0,72,6,7,1,0,0,1,1,0,02/23/2023,home,16340,30065,NVU-Lyndon,9,True,10,4,6,win,2391260,30094,2670681,2023,3
1,1,6.0,0.0,8,4,2,1,5,0,26,24,0,0,0,0,1,0,0,0,0,1,0,95,6,5,0,1,0,1,1,0,03/15/2023,home,16340,168,Cortland,9,True,3,23,-20,loss,2424783,30094,2670681,2023,3
1,1,6.0,0.0,8,3,2,4,3,0,30,24,0,0,0,0,0,1,0,0,0,1,0,109,8,5,1,0,0,1,1,1,03/26/2023,home,16340,542,Pfeiffer,9,True,7,5,2,win,2398254,30094,2670681,2023,3
1,1,5.0,0.0,8,7,6,1,1,0,26,23,3,1,0,0,0,0,0,0,0,1,1,72,5,9,0,0,0,1,0,0,04/02/2023,home,16340,491,N.C. Wesleyan,9,True,9,11,-2,loss,2399725,30094,2670681,2023,3
1,0,5.0,0.0,3,1,1,2,3,0,20,16,0,0,1,0,1,0,0,0,0,2,0,73,7,5,0,1,0,2,3,0,04/11/2023,away,16340,412,Methodist,9,True,0,1,-1,loss,2400756,30094,2670681,2023,3
1,1,5.0,0.0,4,1,1,2,3,0,22,19,1,0,0,0,0,1,0,0,0,0,0,87,4,8,1,0,0,1,1,0,04/15/2023,home,16340,389,Mary Baldwin,9,True,6,4,2,win,2409747,30094,2670681,2023,3
1,1,6.0,0.0,12,5,5,3,2,0,31,27,4,0,0,1,0,0,0,0,0,1,0,83,3,11,0,0,0,1,1,1,04/23/2023,away,16340,17094,William Peace,9,True,5,9,-4,loss,2411556,30094,2670681,2023,3
1,1,7.0,0.0,3,1,1,3,7,0,29,23,1,0,0,0,0,2,0,0,0,0,1,112,6,8,0,0,0,1,4,0,04/29/2023,home,16340,263,Greensboro,9,True,1,5,-4,loss,2411335,30094,2670681,2023,3
1,1,9.0,1,4,0,0,3,5,1,35,31,2,0,0,0,0,1,0,0,0,0,0,125,9,13,1,0,0,1,2,0,05/06/2023,home,16340,412,Methodist,9,True,4,0,4,win,2432919,30094,2670681,2023,3
