date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
03/06/2021,home,15580,352,Lehigh,9,True,9,2,7,win,9 - 2,5015844,249,1,1,3.0,0.0,0,1,1,7,7,0,16,9,0,0,0,0,0,0,0,0,0,0,0,81,0,2,0,0,0,1,2,0,1987821,2021
03/13/2021,home,15580,606,Saint Joseph's,9,True,1,4,-3,loss,1 - 4,5023721,249,1,1,6.0,0.0,3,2,2,3,7,0,25,22,2,0,0,1,1,0,0,0,0,0,0,92,1,10,0,1,0,1,3,0,1987821,2021
03/19/2021,home,15580,635,Seton Hall,9,True,13,8,5,win,13 - 8,5029611,249,1,1,5.0,0.0,7,6,6,2,6,0,24,21,3,0,0,2,1,1,0,0,0,0,0,99,3,4,1,0,0,1,1,0,1987821,2021
03/27/2021,home,15580,178,Delaware St.,9,True,8,1,7,win,8 - 1,5039100,249,1,0,2.2,0.0,0,0,0,1,4,0,9,8,0,0,0,0,0,0,0,2,0,0,0,39,2,2,1,0,0,2,2,0,1987821,2021
03/30/2021,home,15580,746,Virginia,9,True,2,7,-5,loss,2 - 7,5042121,249,1,1,6.1,0.0,5,1,1,4,1,0,26,21,0,0,0,0,2,1,0,0,0,0,0,103,5,10,0,0,0,1,0,0,1987821,2021
04/10/2021,home,15580,740,VCU,9,True,5,4,1,win,5 - 4,5051572,249,1,1,7.0,1,8,4,3,2,8,0,30,27,1,0,0,2,0,1,0,0,0,0,0,129,5,5,1,0,0,1,1,0,1987821,2021
04/23/2021,away,15580,173,Davidson,9,True,10,2,8,win,10 - 2,5064476,249,1,1,7.0,1,7,2,2,1,8,0,28,27,2,0,0,1,1,0,0,0,0,0,0,98,3,8,1,0,0,1,3,0,1987821,2021
05/01/2021,home,15580,609,Saint Louis,9,True,2,7,-5,loss,2 - 7,5070526,249,1,1,7.1,0.0,3,3,2,5,9,0,27,21,0,0,0,1,2,0,0,0,0,1,0,114,4,5,0,1,0,1,4,0,1987821,2021
05/08/2021,away,15580,248,George Mason,9,True,11,8,3,win,11 - 8,5075775,249,1,1,4.0,0.0,10,7,5,2,4,0,26,23,1,0,0,1,2,1,0,0,0,0,0,91,3,5,0,0,0,1,0,0,1987821,2021
05/15/2021,home,15580,575,Richmond,9,True,7,5,2,win,7 - 5,5078475,249,1,1,6.0,0.0,7,2,2,2,6,0,26,24,3,0,0,0,0,0,0,0,0,0,0,111,2,9,1,0,0,1,2,0,1987821,2021
05/21/2021,away,15580,175,Dayton,9,True,4,11,-7,loss,4 - 11,5080724,249,1,1,5.1,0.0,9,8,6,2,9,0,28,24,1,0,0,2,1,1,0,0,0,1,0,102,1,6,0,1,0,1,1,0,1987821,2021
