date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/20/2016,away,12360,108,UC Davis,9,True,7,4,3,win,7 - 4,292949,551,0,1,5.0,0.0,6,4,4,0,2,0,21,21,3,0,0,0,1,0,0,0,0,0,0,0,8,5,0,0,0,1,1,1417893,2016
02/28/2016,home,12360,514,Oakland,9,True,4,14,-10,loss,4 - 14,294472,551,0,0,4.0,0.0,8,8,7,3,4,0,23,20,1,0,0,0,1,0,0,1,1,0,0,0,6,1,0,0,0,2,2,1417893,2016
03/05/2016,home,12360,111,UC Riverside,9,True,4,3,1,win,4 - 3,295488,551,0,0,3.0,0.0,4,2,1,1,4,0,15,14,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,2,3,1417893,2016
03/10/2016,away,12360,30024,Utah Valley,9,True,10,3,7,win,10 - 3,296712,551,0,0,2.0,0.0,1,2,1,3,1,0,10,7,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,2,0,1417893,2016
03/12/2016,away,12360,30024,Utah Valley,9,True,8,9,-1,loss,8 - 9,297196,551,0,0,1.1,0.0,4,2,2,0,0,0,8,8,0,0,1,0,0,0,0,2,0,0,0,34,2,2,0,0,0,2,0,1417893,2016
03/19/2016,away,12360,370,LMU (CA),9,True,1,8,-7,loss,1 - 8,299033,551,0,0,0.2,0.0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,2,0,1,7,0,2,0,0,0,2,0,1417893,2016
03/22/2016,home,12360,528,Oregon St.,9,True,6,13,-7,loss,6 - 13,300000,551,0,0,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,0,0,6,0,1417893,2016
03/24/2016,home,12360,101,CSUN,15,True,1,2,-1,loss,1 - 2,300573,551,0,0,5.2,0.0,2,0,0,2,6,0,21,18,0,0,0,0,0,0,0,1,0,1,0,90,4,7,0,0,0,3,2,1417893,2016
03/29/2016,away,12360,1356,Seattle U,10,True,3,4,-1,loss,3 - 4,301826,551,0,1,3.0,0.0,7,2,2,0,2,0,16,16,2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,1,1417893,2016
04/02/2016,home,12360,77,BYU,9,True,3,5,-2,loss,3 - 5,302569,551,0,0,1.0,0.0,0,0,0,1,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,4,0,1417893,2016
04/06/2016,away,12360,529,Oregon,9,True,1,10,-9,loss,1 - 10,303849,551,0,1,4.0,0.0,5,4,3,1,3,0,17,14,1,0,0,0,0,0,0,0,0,1,1,0,6,2,0,1,0,1,2,1417893,2016
04/10/2016,away,12360,260,Gonzaga,9,True,5,14,-9,loss,5 - 14,304884,551,0,0,3.0,0.0,2,1,1,0,1,0,11,11,1,0,0,0,1,0,0,2,0,0,0,45,1,7,0,0,0,5,1,1417893,2016
04/13/2016,home,12360,529,Oregon,9,True,1,6,-5,loss,1 - 6,305801,551,0,0,1.0,0.0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1417893,2016
04/16/2016,home,12360,534,Pacific,9,True,6,10,-4,loss,6 - 10,306280,551,0,0,4.0,0.0,4,4,2,2,6,0,19,17,1,2,0,1,0,0,1,0,0,0,0,78,2,4,0,0,0,2,0,1417893,2016
04/20/2016,home,12360,1356,Seattle U,9,True,4,3,1,win,4 - 3,307969,551,0,0,2.0,0.0,0,0,0,1,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,25,0,6,1,0,0,5,0,1417893,2016
04/23/2016,away,12360,541,Pepperdine,9,True,3,2,1,win,3 - 2,308381,551,0,0,2.2,0.0,0,0,0,1,3,0,9,8,0,0,0,0,1,0,0,1,0,0,0,38,3,2,0,0,1,2,0,1417893,2016
04/29/2016,home,12360,627,San Diego,12,True,5,9,-4,loss,5 - 9,310141,551,0,0,1.0,0.0,5,4,3,0,1,0,8,8,1,0,0,0,0,0,0,0,0,0,0,27,0,2,0,1,0,3,0,1417893,2016
04/30/2016,home,12360,627,San Diego,9,True,3,7,-4,loss,3 - 7,310378,551,0,0,1.0,0.0,3,1,1,0,1,0,6,6,0,0,0,1,0,0,0,0,0,0,0,25,0,2,0,0,0,4,0,1417893,2016
05/08/2016,home,12360,629,San Francisco,9,True,3,10,-7,loss,3 - 10,312355,551,0,0,2.1,0.0,4,3,3,0,2,0,12,11,1,0,0,1,0,0,0,2,0,1,0,37,4,1,0,0,0,2,0,1417893,2016
05/10/2016,home,12360,528,Oregon St.,9,True,7,5,2,win,7 - 5,312691,551,0,0,7.0,0.0,7,3,3,3,8,0,31,26,2,0,0,1,0,0,0,0,0,1,1,137,2,10,1,0,0,2,2,1417893,2016
05/17/2016,away,12360,529,Oregon,9,True,4,15,-11,loss,4 - 15,313530,551,0,1,2.0,0.0,9,9,9,2,0,0,18,15,3,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1,0,1,0,1417893,2016
