App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,3.2,0.0,2,3,0,3,4,0,18,15,0,1,0,0,0,0,0,3,0,0,0,0,3,4,0,0,1,3,1,02/06/2016,away,12360,21830,Piedmont,9,True,11,7,4,win,291717,1112,1527097,2016
0,0,1.0,0.0,0,0,0,1,1,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5,0,02/10/2016,away,12360,17094,William Peace,9,True,11,2,9,win,291976,1112,1527097,2016
0,1,2.0,0.0,3,4,3,2,3,0,15,10,0,0,0,0,3,3,0,0,0,0,0,0,1,2,0,1,0,1,2,02/13/2016,away,12360,973,Berry,9,True,2,6,-4,loss,292256,1112,1527097,2016
0,0,1.0,0.0,3,2,2,1,2,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,02/18/2016,home,12360,123,Castleton,9,True,7,6,1,win,292422,1112,1527097,2016
0,0,3.2,0.0,4,0,0,1,4,0,16,14,1,0,0,0,0,1,0,2,2,0,0,62,1,5,0,0,0,2,0,02/21/2016,away,12360,44,Averett,9,True,5,6,-1,loss,293268,1112,1527097,2016
0,0,1.2,0.0,1,0,0,1,2,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,02/27/2016,home,12360,239,Franklin & Marshall,9,True,4,2,2,win,294280,1112,1527097,2016
0,0,1.0,0.0,1,1,0,1,0,0,6,5,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,3,0,02/28/2016,home,12360,239,Franklin & Marshall,9,True,8,5,3,win,294631,1112,1527097,2016
0,0,2.0,0.0,2,4,2,0,1,0,11,9,0,0,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,4,1,03/02/2016,home,12360,263,Greensboro,10,True,7,6,1,win,294925,1112,1527097,2016
0,0,3.0,0.0,2,0,0,1,2,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,2,1,03/06/2016,away,12360,565,Randolph-Macon,9,True,2,1,1,win,295891,1112,1527097,2016
0,0,3.0,0.0,1,0,0,1,2,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,1,03/10/2016,home,12360,44,Averett,9,True,20,6,14,win,296723,1112,1527097,2016
0,0,3.2,0.0,5,2,1,1,2,0,18,16,1,0,0,0,0,0,0,0,0,1,0,0,7,2,0,1,0,2,1,03/19/2016,home,12360,637,Shenandoah,10,True,7,8,-1,loss,299556,1112,1527097,2016
0,0,0.1,0.0,4,3,3,1,0,0,6,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,03/22/2016,home,12360,578,Roanoke,9,True,7,18,-11,loss,300229,1112,1527097,2016
0,0,1.0,0.0,3,3,3,1,1,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,03/26/2016,away,12360,752,Wash. & Lee,9,True,3,4,-1,loss,301585,1112,1527097,2016
0,1,7.0,0.0,8,2,2,2,6,0,33,28,0,0,0,0,0,1,0,0,0,1,1,0,6,9,1,0,0,1,2,04/06/2016,home,12360,17094,William Peace,9,True,8,4,4,win,303933,1112,1527097,2016
0,0,5.0,0.0,4,1,1,0,2,0,20,17,0,0,0,0,1,1,0,0,0,2,0,0,8,5,0,1,0,2,0,04/09/2016,home,12360,203,East. Mennonite,12,True,5,6,-1,loss,304771,1112,1527097,2016
0,0,1.0,0.0,1,1,1,1,1,0,5,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,0,04/16/2016,home,12360,269,Hampden-Sydney,9,True,4,6,-2,loss,306970,1112,1527097,2016
0,0,1.0,0.0,1,1,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,04/23/2016,away,12360,1130,Huntingdon,9,True,3,5,-2,loss,308544,1112,1527097,2016
