date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
03/01/2014,home,11620,111,UC Riverside,9,True,6,9,-3,loss,6 - 9,589187,94,1,1.0,0,0,0,0,1,0,4,2,0,0,0,0,0,2,0,0,0,0,0,18,1,0,0,0,0,4,0,1523534,2014
03/16/2014,home,11620,1104,Grand Canyon,9,True,2,9,-7,loss,2 - 9,593273,94,1,0.2,2,1,1,0,1,0,4,4,0,0,0,0,0,0,0,1,1,0,0,14,1,0,0,0,0,5,0,1523534,2014
03/23/2014,home,11620,494,North Dakota,9,True,3,6,-3,loss,3 - 6,595072,94,1,1.0,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,3,0,1523534,2014
03/25/2014,home,11620,109,UC Irvine,9,True,4,7,-3,loss,4 - 7,595415,94,1,1.1,1,1,1,0,1,0,6,5,1,0,0,0,0,1,0,1,0,0,0,25,0,3,0,0,0,3,1,1523534,2014
04/01/2014,away,11620,90,Cal Poly,9,True,1,6,-5,loss,1 - 6,596976,94,1,0.2,3,1,1,1,1,0,6,5,0,0,0,0,0,0,0,3,3,0,0,30,1,0,0,0,0,5,0,1523534,2014
04/05/2014,away,11620,522,Oklahoma,9,True,4,17,-13,loss,4 - 17,598188,94,1,1.2,4,3,3,2,1,0,12,9,0,0,1,0,0,1,0,0,0,0,0,43,2,2,0,0,0,4,0,1523534,2014
04/25/2014,home,11620,102,Sacramento St.,9,True,3,10,-7,loss,3 - 10,603947,94,1,1.0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,4,1,1523534,2014
04/27/2014,home,11620,102,Sacramento St.,9,True,3,7,-4,loss,3 - 7,604935,94,1,0.2,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,2,0,0,18,0,2,0,0,0,3,0,1523534,2014
05/06/2014,home,11620,104,UC Santa Barbara,9,True,3,7,-4,loss,3 - 7,606885,94,1,1.1,1,0,0,1,2,0,7,6,1,0,0,0,0,0,0,2,2,0,0,27,1,1,0,0,0,4,0,1523534,2014
05/11/2014,home,11620,472,New Mexico St.,9,True,7,19,-12,loss,7 - 19,607658,94,1,1.0,2,1,1,1,2,0,7,5,0,0,0,0,0,1,0,0,0,0,0,24,0,1,0,0,0,3,1,1523534,2014
05/13/2014,away,11620,96,Fresno St.,9,True,4,8,-4,loss,4 - 8,607771,94,1,1.0,1,0,0,0,1,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1523534,2014
05/23/2014,home,11620,30024,Utah Valley,9,True,2,5,-3,loss,2 - 5,608688,94,1,1.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,2,1,1523534,2014
