date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/19/2016,away,12360,61,Bethune-Cookman,9,True,5,0,5,win,5 - 0,292440,454,0,0,1.0,0.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,2,0,1538287,2016
02/21/2016,away,12360,61,Bethune-Cookman,9,True,2,3,-1,loss,2 - 3,293142,454,0,0,2.0,0.0,2,0,0,0,2,0,8,8,1,0,0,0,0,0,0,0,0,0,0,25,1,3,0,0,0,2,0,1538287,2016
02/27/2016,home,12360,503,NIU,9,True,10,12,-2,loss,10 - 12,294050,454,0,0,5.0,0.0,9,6,6,0,1,0,23,21,4,0,0,0,3,1,0,0,0,0,1,71,7,5,0,1,0,2,0,1538287,2016
03/05/2016,home,12360,169,Creighton,9,True,4,9,-5,loss,4 - 9,295302,454,0,1,5.2,0.0,11,9,7,4,1,0,29,24,3,1,0,0,0,0,0,0,0,1,0,89,7,6,0,1,0,1,0,1538287,2016
03/12/2016,away,12360,695,UT Martin,11,True,7,4,3,win,7 - 4,297261,454,0,0,4.2,0.0,3,1,1,0,6,0,17,16,0,1,0,0,0,1,0,2,2,0,0,57,5,2,1,0,0,2,3,1538287,2016
03/16/2016,away,12360,328,Kansas,9,True,8,14,-6,loss,8 - 14,298428,454,0,0,1.0,0.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,2,0,1538287,2016
03/20/2016,home,12360,660,SIUE,9,True,4,0,4,win,4 - 0,299645,454,0,0,2.1,0.0,1,0,0,4,1,0,12,8,0,0,0,0,0,0,0,1,0,0,0,54,2,4,0,0,0,2,0,1538287,2016
03/25/2016,away,12360,43,Austin Peay,9,True,4,10,-6,loss,4 - 10,300602,454,0,0,1.1,0.0,7,6,6,2,0,0,13,9,4,0,0,0,0,0,0,2,2,0,2,40,1,3,0,1,0,3,0,1538287,2016
03/30/2016,away,12360,659,Southern Ill.,9,True,4,5,-1,loss,4 - 5,302118,454,0,0,1.2,0.0,2,1,0,0,2,0,8,8,0,0,0,0,1,0,0,2,2,0,0,21,2,1,0,0,0,2,0,1538287,2016
04/03/2016,home,12360,201,Eastern Ill.,9,True,3,9,-6,loss,3 - 9,303205,454,0,0,0.1,0.0,1,0,0,0,1,0,2,2,1,0,0,0,1,0,0,3,3,0,0,7,0,0,0,0,0,4,0,1538287,2016
04/06/2016,home,12360,659,Southern Ill.,9,True,7,3,4,win,7 - 3,303795,454,0,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,2,1,1538287,2016
04/08/2016,away,12360,315,Jacksonville St.,9,True,4,11,-7,loss,4 - 11,303966,454,0,0,1.0,0.0,1,0,0,1,0,0,6,5,0,0,0,0,0,0,0,2,2,0,0,27,1,2,0,0,0,3,0,1538287,2016
04/10/2016,away,12360,315,Jacksonville St.,9,True,6,5,1,win,6 - 5,304811,454,0,0,1.0,0.0,1,0,0,0,0,0,3,3,0,0,0,0,1,0,0,1,1,0,0,12,0,2,0,0,1,4,0,1538287,2016
04/13/2016,away,12360,609,Saint Louis,9,True,9,1,8,win,9 - 1,305665,454,0,0,2.1,0.0,3,0,0,1,1,0,11,10,1,0,0,0,0,0,0,3,0,0,0,41,4,2,1,0,0,2,0,1538287,2016
04/20/2016,away,12360,433,Ole Miss,9,True,3,8,-5,loss,3 - 8,307770,454,0,0,1.0,0.0,4,3,2,1,1,0,8,7,0,0,0,0,0,0,0,0,0,0,0,27,1,1,0,0,0,5,0,1538287,2016
04/23/2016,home,12360,692,Tennessee Tech,11,True,8,7,1,win,8 - 7,308423,454,0,0,2.0,0.0,6,2,1,0,0,0,11,11,1,0,0,0,0,0,0,2,2,0,0,29,3,1,0,0,0,2,0,1538287,2016
04/26/2016,home,12360,6,Alabama A&M,9,True,11,3,8,win,11 - 3,309613,454,0,0,1.0,0.0,2,2,1,1,1,0,6,4,0,0,0,0,1,0,0,0,0,1,0,20,1,1,0,0,0,2,0,1538287,2016
05/03/2016,away,12360,219,Evansville,9,True,1,5,-4,loss,1 - 5,311385,454,0,0,1.0,0.0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,4,0,1538287,2016
05/06/2016,home,12360,14927,Belmont,9,True,10,14,-4,loss,10 - 14,311664,454,0,0,2.1,0.0,5,3,3,2,2,0,14,12,1,0,0,2,0,0,0,1,0,0,0,35,2,3,0,0,0,4,2,1538287,2016
