date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
03/01/2013,away,11320,523,Old Dominion,9,True,2,9,-7,loss,2 - 9,660253,690,1,0,1.2,0,0,0,0,3,0,5,5,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0,0,3,1,1311488,2013
03/08/2013,away,11320,456,UNC Asheville,9,True,5,6,-1,loss,5 - 6,661937,690,1,0,0.2,2,1,1,1,1,0,5,4,1,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,3,0,1311488,2013
03/12/2013,away,11320,363,Longwood,9,True,6,9,-3,loss,6 - 9,663240,690,1,0,1.1,3,2,2,1,2,0,10,7,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,3,1,1311488,2013
03/20/2013,away,11320,352,Lehigh,9,True,11,8,3,win,11 - 8,665410,690,1,0,0.2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,3,0,1311488,2013
03/27/2013,home,11320,352,Lehigh,9,True,9,3,6,win,9 - 3,667137,690,1,1,3.0,3,0,0,0,3,0,12,12,2,0,0,0,0,0,0,0,0,0,0,43,1,5,0,0,0,1,1,1311488,2013
04/02/2013,away,11320,180,Delaware,9,True,3,5,-2,loss,3 - 5,668916,690,1,0,1.1,1,0,0,0,2,0,5,5,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,4,1,1311488,2013
04/05/2013,home,11320,340,La Salle,9,True,3,4,-1,loss,3 - 4,669385,690,1,0,0.1,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,3,1,1311488,2013
04/23/2013,home,11320,739,Villanova,9,True,8,4,4,win,8 - 4,675077,690,1,0,2.0,2,1,1,1,3,0,10,8,1,0,0,1,0,1,0,0,0,0,0,42,2,1,0,0,0,3,0,1311488,2013
04/28/2013,home,11320,458,Charlotte,9,True,2,10,-8,loss,2 - 10,676640,690,1,0,3.0,2,0,0,1,1,0,11,10,0,0,0,0,0,0,0,0,0,0,0,47,3,4,0,0,0,3,1,1311488,2013
05/03/2013,away,11320,575,Richmond,9,True,1,6,-5,loss,1 - 6,677534,690,1,0,4.0,1,1,1,2,3,0,16,13,1,0,0,2,0,1,0,0,0,0,0,0,3,6,0,0,0,2,0,1311488,2013
05/17/2013,home,11320,400,Massachusetts,9,True,3,4,-1,loss,3 - 4,679827,690,1,0,1.1,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,2,1,0,0,15,1,3,0,0,0,2,0,1311488,2013
