date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/18/2022,home,15860,328,Kansas,9,True,2,4,-2,loss,2 - 4,5213530,301,1,7.0,0,3,1,1,2,8,0,25,23,0,0,0,0,0,0,0,0,0,0,0,92,4,8,0,0,0,1,0,0,2316287,2022
02/25/2022,home,15860,419,Middle Tenn.,9,True,7,4,3,win,7 - 4,5215772,301,1,6.0,0,5,2,2,2,4,0,25,23,2,0,0,1,0,0,0,0,0,0,0,85,5,9,1,0,0,1,1,0,2316287,2022
03/04/2022,home,15860,513,Notre Dame,9,True,1,6,-5,loss,1 - 6,5230268,301,1,5.0,0,6,4,4,2,5,0,23,20,0,0,0,0,1,1,0,0,0,0,0,87,3,6,0,1,0,1,1,1,2316287,2022
03/11/2022,away,15860,772,Western Ky.,9,True,12,7,5,win,12 - 7,5231129,301,1,6.1,0,7,3,3,0,4,0,26,25,2,0,0,1,0,0,0,0,0,0,1,89,6,8,1,0,0,1,1,0,2316287,2022
03/18/2022,away,15860,659,Southern Ill.,9,True,11,10,1,win,11 - 10,5244358,301,1,6.0,0,4,1,1,2,10,0,24,22,2,0,0,0,0,0,0,0,0,0,0,97,4,4,1,0,0,1,0,0,2316287,2022
03/25/2022,away,15860,416,Michigan St.,9,True,11,3,8,win,11 - 3,5245646,301,1,6.0,0,3,1,1,3,5,0,24,20,1,0,0,0,1,0,0,0,0,1,0,95,4,9,1,0,0,1,2,0,2316287,2022
04/01/2022,home,15860,559,Purdue,9,True,8,1,7,win,8 - 1,5251838,301,1,7.0,0,3,0,0,2,9,0,26,22,0,0,0,0,0,2,0,0,0,0,0,114,5,5,0,0,0,1,1,0,2316287,2022
04/09/2022,away,15860,312,Iowa,9,True,2,4,-2,loss,2 - 4,5259500,301,1,4.0,0,5,3,3,2,5,0,18,16,2,0,0,0,1,0,0,0,0,0,0,82,5,1,0,1,0,1,0,0,2316287,2022
04/15/2022,home,15860,509,Northwestern,9,True,7,6,1,win,7 - 6,5266085,301,1,5.0,0,4,1,1,2,7,0,21,19,2,0,0,1,0,0,0,0,0,0,0,101,2,6,0,0,0,1,4,0,2316287,2022
04/22/2022,home,15860,392,Maryland,9,True,19,1,18,win,19 - 1,5271589,301,1,6.0,0,2,1,1,3,8,0,23,19,0,0,0,0,0,0,0,0,0,0,1,97,3,7,1,0,0,1,2,0,2316287,2022
04/29/2022,away,15860,306,Indiana,9,True,6,7,-1,loss,6 - 7,5277928,301,1,5.1,0,10,6,6,1,5,0,26,24,3,0,0,0,0,0,0,0,0,0,1,85,7,3,0,0,0,1,2,0,2316287,2022
05/07/2022,home,15860,414,Miami (OH),9,True,2,0,2,win,2 - 0,5284121,301,1,7.0,0,5,0,0,1,3,0,27,26,0,0,0,0,0,0,0,0,0,0,0,95,11,6,1,0,0,1,2,0,2316287,2022
05/13/2022,home,15860,463,Nebraska,9,True,8,3,5,win,8 - 3,5287265,301,1,7.0,0,4,1,1,1,9,0,25,24,0,0,0,0,0,0,0,0,0,0,0,93,4,6,1,0,0,1,2,0,2316287,2022
05/19/2022,away,15860,539,Penn St.,9,True,18,7,11,win,18 - 7,5289049,301,1,4.2,0,6,5,5,4,3,0,23,18,2,0,0,0,0,0,0,0,0,1,0,92,6,4,0,0,0,1,0,0,2316287,2022
05/26/2022,home,15860,418,Michigan,9,True,5,7,-2,loss,5 - 7,5290271,301,1,5.0,0,8,4,4,2,3,0,24,22,1,0,0,3,0,0,0,0,0,0,0,97,3,8,0,0,0,1,1,0,2316287,2022
