date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/18/2022,home,15860,355,Liberty,9,True,7,2,5,win,7 - 2,5208098,235,1,0,1.0,0.0,1,0,0,2,1,0,6,4,0,0,0,0,0,0,0,2,0,0,0,31,0,2,0,0,0,3,0,0,2649790,2022
02/20/2022,home,15860,355,Liberty,9,True,3,5,-2,loss,3 - 5,5210980,235,1,0,0.2,0.0,2,2,2,2,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,26,1,1,0,1,0,2,0,0,2649790,2022
02/26/2022,home,15860,254,Georgia St.,9,True,13,4,9,win,13 - 4,5217173,235,1,1,2.0,0.0,3,3,3,2,2,0,11,8,1,0,0,0,3,1,0,0,0,0,0,42,3,0,0,0,0,1,0,0,2649790,2022
03/02/2022,home,15860,228,Florida A&M,9,True,17,0,17,win,17 - 0,5221513,235,1,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,3,1,0,2649790,2022
03/06/2022,away,15860,415,Miami (FL),9,True,11,3,8,win,11 - 3,5227793,235,1,0,0.0,0.0,1,2,2,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,2649790,2022
03/22/2022,home,15860,61,Bethune-Cookman,9,True,3,2,1,win,3 - 2,5243141,235,1,0,2.0,0.0,0,0,0,1,2,0,6,5,0,0,0,0,0,0,0,0,0,0,0,31,3,0,1,0,0,4,0,0,2649790,2022
03/26/2022,home,15860,365,LSU,9,True,4,16,-12,loss,4 - 16,5247414,235,1,0,1.0,0.0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,17,1,2,0,0,0,4,0,0,2649790,2022
03/27/2022,home,15860,365,LSU,9,True,2,11,-9,loss,2 - 11,5247822,235,1,0,1.0,0.0,2,4,4,0,1,0,7,5,0,0,0,0,0,2,0,2,0,0,0,24,0,2,0,0,0,3,0,0,2649790,2022
03/29/2022,home,15860,234,Florida St.,9,True,6,3,3,win,6 - 3,5249783,235,1,0,1.1,0.0,2,1,1,1,1,0,6,5,0,0,0,0,0,0,0,0,0,0,0,22,1,1,0,0,0,4,0,0,2649790,2022
04/01/2022,away,15860,257,Georgia,9,True,1,6,-5,loss,1 - 6,5251805,235,1,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,2,1,0,2649790,2022
04/02/2022,away,15860,257,Georgia,9,True,8,14,-6,loss,8 - 14,5253136,235,1,0,1.0,0.0,0,2,2,2,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,28,0,2,0,0,0,3,0,0,2649790,2022
04/05/2022,home,15860,228,Florida A&M,9,True,13,3,10,win,13 - 3,5256594,235,1,0,1.0,0.0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,16,2,1,0,0,0,4,0,0,2649790,2022
04/07/2022,home,15860,31,Arkansas,9,True,1,8,-7,loss,1 - 8,5257846,235,1,0,0.2,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,9,1,1,0,0,0,4,0,0,2649790,2022
04/12/2022,away,15860,234,Florida St.,9,True,0,5,-5,loss,0 - 5,5263243,235,1,0,1.1,0.0,0,0,0,1,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,1,0,2649790,2022
04/15/2022,away,15860,736,Vanderbilt,9,True,4,5,-1,loss,4 - 5,5265967,235,1,0,0.1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,5,0,1,0,0,0,3,0,0,2649790,2022
04/19/2022,home,15860,678,Stetson,9,True,10,8,2,win,10 - 8,5269090,235,1,0,0.0,0.0,2,1,1,1,0,0,3,2,1,0,0,0,0,0,0,1,1,0,0,15,0,0,0,0,0,4,0,0,2649790,2022
04/23/2022,home,15860,694,Tennessee,9,True,0,3,-3,loss,0 - 3,5273585,235,1,0,0.2,0.0,0,0,0,1,2,0,3,2,0,0,0,0,1,0,0,1,0,0,0,21,0,0,0,0,0,2,0,0,2649790,2022
05/01/2022,home,15860,334,Kentucky,9,True,1,8,-7,loss,1 - 8,5280752,235,1,0,0.2,0.0,1,2,2,1,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,0,3,0,1,2649790,2022
05/06/2022,away,15860,430,Mississippi St.,9,True,8,6,2,win,8 - 6,5283882,235,1,0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,3,1,0,2649790,2022
05/07/2022,away,15860,430,Mississippi St.,9,True,9,3,6,win,9 - 3,5284760,235,1,0,1.1,0.0,1,0,0,0,1,0,5,4,0,0,0,0,0,1,0,2,0,0,0,23,1,1,0,0,0,2,0,0,2649790,2022
05/14/2022,away,15860,434,Missouri,9,True,3,5,-2,loss,3 - 5,5288163,235,1,0,0.1,0.0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,1,2,0,0,0,10,0,0,0,0,0,4,0,0,2649790,2022
05/19/2022,home,15860,648,South Carolina,9,True,14,5,9,win,14 - 5,5288919,235,1,0,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2,0,0,2649790,2022
05/26/2022,home,15860,697,Texas A&M,9,True,0,10,-10,loss,0 - 10,5290212,235,1,0,0.1,0.0,1,2,2,1,1,0,3,2,0,0,0,1,0,0,0,1,1,0,0,12,0,0,0,0,0,3,1,0,2649790,2022
05/29/2022,home,15860,694,Tennessee,9,True,5,8,-3,loss,5 - 8,5290627,235,1,0,1.1,0.0,3,1,1,0,2,0,7,7,1,0,0,1,0,0,0,0,0,0,0,22,2,0,0,0,0,3,0,0,2649790,2022
06/04/2022,home,15860,522,Oklahoma,9,True,4,9,-5,loss,4 - 9,5290876,235,1,0,1.2,0.0,1,0,0,0,3,0,7,5,0,0,0,0,0,1,0,2,1,1,0,32,2,0,0,0,0,5,2,0,2649790,2022
06/05/2022,away,15860,129,Central Mich.,9,True,6,5,1,win,6 - 5,5290896,235,1,0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,3,0,0,2649790,2022
