date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/19/2022,home,15860,519,Ohio,9,True,8,2,6,win,8 - 2,5211275,10411,1,3.0,0,3,1,1,0,0,0,11,11,0,0,0,1,0,0,0,0,0,0,0,36,7,1,0,0,1,2,0,0,24930870,2022
02/23/2022,home,15860,769,Western Caro.,9,True,9,3,6,win,9 - 3,5213743,10411,1,5.1,0,6,3,3,2,1,0,24,22,0,1,0,0,1,0,0,0,0,0,0,71,7,7,0,0,0,1,0,1,24930870,2022
03/01/2022,away,15860,147,Clemson,9,True,5,8,-3,loss,5 - 8,5220353,10411,1,4.2,0,3,1,1,3,4,0,20,16,1,0,0,0,0,1,0,1,0,0,0,0,6,3,0,0,0,2,1,0,24930870,2022
03/06/2022,home,15860,812,Xavier,9,True,4,7,-3,loss,4 - 7,5226529,10411,1,1.0,0,0,2,1,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,1,0,2,0,0,24930870,2022
03/14/2022,home,15860,140,Cincinnati,9,True,8,3,5,win,8 - 3,5234833,10411,1,5.2,0,5,3,1,2,5,0,24,21,1,0,0,0,1,0,0,0,0,1,0,76,6,5,1,0,0,1,3,1,24930870,2022
03/20/2022,away,15860,1320,Presbyterian,9,True,5,4,1,win,5 - 4,5240794,10411,1,5.2,0,7,4,4,2,2,0,25,23,0,0,0,1,1,0,0,0,0,0,0,80,7,7,0,0,0,1,1,0,24930870,2022
03/26/2022,away,15860,563,Radford,9,True,10,7,3,win,10 - 7,5247248,10411,1,4.1,0,6,4,2,2,2,0,21,18,0,0,0,0,0,1,0,0,0,0,0,68,8,2,0,0,0,1,0,0,24930870,2022
04/03/2022,home,15860,19651,High Point,9,True,5,15,-10,loss,5 - 15,5254883,10411,1,2.0,0,6,5,5,0,0,0,14,10,1,0,0,0,0,1,0,0,0,1,2,35,2,3,0,1,0,1,0,0,24930870,2022
04/10/2022,away,15860,115,Campbell,9,True,6,11,-5,loss,6 - 11,5261189,10411,1,5.1,0,6,5,5,3,2,0,24,20,1,0,0,3,0,0,0,0,0,1,0,88,6,7,0,1,0,1,1,0,24930870,2022
04/16/2022,home,15860,48,Charleston So.,9,True,10,5,5,win,10 - 5,5267490,10411,1,4.0,0,5,3,3,3,0,0,20,17,2,0,0,1,0,0,0,0,0,0,0,74,8,4,0,0,0,1,0,0,24930870,2022
04/24/2022,home,15860,488,N.C. A&T,9,True,6,3,3,win,6 - 3,5274419,10411,1,3.2,0,3,1,1,3,2,0,18,13,1,0,0,0,0,1,0,0,0,1,0,65,3,6,0,0,0,1,2,0,24930870,2022
05/04/2022,away,15860,769,Western Caro.,9,True,6,15,-9,loss,6 - 15,5282765,10411,1,2.2,0,6,7,7,3,3,0,17,14,2,0,0,0,1,0,0,0,0,0,0,58,3,2,0,1,0,1,1,0,24930870,2022
05/20/2022,away,15860,518,Ohio St.,9,True,10,13,-3,loss,10 - 13,5289321,10411,1,3.1,0,5,3,3,1,2,0,16,15,1,0,0,1,1,0,0,1,1,0,0,54,4,4,0,0,0,3,1,0,24930870,2022
