date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/18/2022,away,15860,102,Sacramento St.,9,True,7,11,-4,loss,7 - 11,5208371,503,1,4.0,0,10,7,7,2,4,0,23,21,2,0,0,2,1,0,0,0,0,0,0,95,3,4,0,1,0,1,0,0,2670121,2022
02/26/2022,away,15860,454,Murray St.,9,True,3,13,-10,loss,3 - 13,5216944,503,1,4.0,0,7,6,5,3,5,0,24,21,3,0,0,0,0,0,0,0,0,0,0,94,1,7,0,1,0,1,0,0,2670121,2022
03/04/2022,away,15860,28600,Lipscomb,9,True,7,8,-1,loss,7 - 8,5225070,503,1,6.0,0,6,2,2,2,5,0,26,23,2,0,0,0,0,1,0,0,0,0,0,85,7,5,0,0,0,1,1,1,2670121,2022
03/11/2022,away,15860,519,Ohio,9,True,9,4,5,win,9 - 4,5231394,503,1,6.1,0,6,4,4,2,5,0,27,24,3,0,0,0,0,1,0,0,0,0,0,86,4,9,1,0,0,1,1,0,2670121,2022
03/19/2022,away,15860,5,Akron,9,True,1,3,-2,loss,1 - 3,5238967,503,1,6.0,1,4,3,2,3,1,0,23,18,2,0,0,0,1,0,0,0,0,1,1,81,9,5,0,1,0,1,0,1,2670121,2022
03/25/2022,home,15860,331,Kent St.,9,True,4,8,-4,loss,4 - 8,5247557,503,1,6.1,0,6,4,3,3,4,0,28,24,0,1,0,2,0,1,0,0,0,0,0,0,9,5,0,0,0,1,2,0,2670121,2022
04/03/2022,home,15860,414,Miami (OH),9,True,3,2,1,win,3 - 2,5254698,503,1,6.0,0,3,1,1,0,2,0,21,21,1,0,0,0,1,0,0,0,0,0,0,78,3,13,0,0,0,1,0,0,2670121,2022
04/09/2022,away,15860,129,Central Mich.,9,True,0,11,-11,loss,0 - 11,5260153,503,1,4.0,0,5,7,6,6,2,0,26,16,2,0,0,1,0,2,0,0,0,1,1,0,4,6,0,1,0,1,0,0,2670121,2022
04/15/2022,away,15860,514,Oakland,9,True,4,10,-6,loss,4 - 10,5267667,503,1,2.1,0,10,8,7,2,1,0,18,14,4,0,1,2,2,0,0,0,0,0,2,0,1,4,0,1,0,1,0,0,2670121,2022
04/30/2022,away,15860,774,Western Mich.,9,True,6,11,-5,loss,6 - 11,5279305,503,1,2.0,0,4,7,7,2,1,0,14,8,2,0,0,1,1,3,0,0,0,1,0,50,3,1,0,1,0,1,1,0,2670121,2022
05/08/2022,home,15860,204,Eastern Mich.,10,True,3,6,-3,loss,3 - 6,5285318,503,1,3.1,0,4,3,2,3,2,0,17,13,1,0,0,0,1,0,0,1,1,1,0,62,4,4,0,1,0,3,0,0,2670121,2022
