App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,pickoffs,score,player_id,division
1,,1.0,,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,03/09/2014,away,11620,222,Fairleigh Dickinson,9,True,6,2,4,win,591283,342,1425110,2014,,6 - 2,1425110.0,1.0
1,,1.0,,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,03/15/2014,home,11620,86,Buffalo,9,True,1,2,-1,loss,593058,342,1425110,2014,,1 - 2,1425110.0,1.0
1,,0.2,,0,1,1,1,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,03/23/2014,home,11620,540,Penn,9,True,4,3,1,win,595198,342,1425110,2014,,4 - 3,1425110.0,1.0
1,,1.1,,3,3,3,1,3,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,04/02/2014,away,11620,540,Penn,9,True,5,11,-6,loss,597325,342,1425110,2014,,5 - 11,1425110.0,1.0
1,,2.0,,4,4,4,2,0,0,12,8,1,0,0,0,0,1,0,1,1,1,0,5,0,0,0,0,2,0,04/06/2014,away,11620,725,Army West Point,9,True,1,9,-8,loss,598924,342,1425110,2014,,1 - 9,1425110.0,1.0
1,,2.2,,0,0,0,2,6,0,11,8,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,5,3,04/08/2014,home,11620,739,Villanova,9,True,6,3,3,win,599204,342,1425110,2014,,6 - 3,1425110.0,1.0
1,,2.1,,2,0,0,0,3,0,9,9,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,3,1,04/12/2014,home,11620,726,Navy,9,True,5,4,1,win,600658,342,1425110,2014,,5 - 4,1425110.0,1.0
1,,0.1,,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,3,0,04/13/2014,home,11620,726,Navy,9,True,8,9,-1,loss,601112,342,1425110,2014,,8 - 9,1425110.0,1.0
1,,1.0,,1,0,0,1,2,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,1,04/16/2014,away,11620,587,Rutgers,9,True,1,7,-6,loss,601471,342,1425110,2014,,1 - 7,1425110.0,1.0
1,,0.1,,1,0,0,3,0,0,5,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,3,0,04/20/2014,home,11620,83,Bucknell,9,True,7,3,4,win,603135,342,1425110,2014,,7 - 3,1425110.0,1.0
