App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,pickoffs,score,Pitches
1,,1.1,,3,3,3,1,1,0,8,6,1,0,0,1,0,0,0,2,2,1,0,,1,2,0,0,0,3,0,02/22/2014,home,11620,1004,Central Ark.,9,True,7,17,-10,loss,588336,471,1526046,2014,,7 - 17,0.0
1,,1.0,,2,1,1,0,2,0,5,5,0,1,0,0,0,0,0,3,0,0,0,,0,1,0,0,0,3,1,02/23/2014,home,11620,1004,Central Ark.,10,True,7,5,2,win,588649,471,1526046,2014,,7 - 5,22.0
1,,2.1,,0,0,0,0,1,0,8,7,0,0,0,0,0,0,0,1,0,1,0,,3,3,0,0,0,3,1,03/14/2014,away,11620,222,Fairleigh Dickinson,9,True,8,11,-3,loss,592539,471,1526046,2014,,8 - 11,22.0
1,,0.1,,3,2,2,0,0,0,6,4,0,0,0,0,1,2,0,2,2,0,0,,1,0,0,0,0,3,0,03/20/2014,away,11620,220,Fairfield,9,True,3,10,-7,loss,593923,471,1526046,2014,,3 - 10,18.0
1,,0.1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,,0,1,0,0,0,3,0,03/29/2014,away,11620,361,LIU,9,True,10,11,-1,loss,596219,471,1526046,2014,,10 - 11,4.0
1,,1.0,,3,3,3,1,1,0,9,5,1,0,0,0,0,2,0,0,0,0,1,,0,2,0,0,0,5,0,04/01/2014,home,11620,62,Binghamton,9,True,0,10,-10,loss,597147,471,1526046,2014,,0 - 10,0.0
1,,5.1,,8,5,4,2,1,0,24,22,3,0,0,0,0,0,0,3,3,0,0,,3,9,0,0,0,2,0,04/09/2014,away,11620,576,Rider,9,True,3,13,-10,loss,599432,471,1526046,2014,,3 - 13,0.0
1,,1.1,,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,1,0,0,0,,1,3,0,0,0,3,0,04/19/2014,home,11620,748,Wagner,9,True,7,9,-2,loss,602533,471,1526046,2014,,7 - 9,0.0
1,,2.1,,1,0,0,0,3,0,8,8,0,0,0,0,0,0,0,2,0,0,0,,2,2,0,0,0,3,0,04/22/2014,away,11620,617,Saint Peter's,10,True,5,3,2,win,603366,471,1526046,2014,,5 - 3,43.0
1,,1.0,,4,5,4,1,0,0,10,8,0,0,0,0,0,1,0,0,0,0,0,,1,2,0,0,0,2,0,04/26/2014,away,11620,222,Fairleigh Dickinson,9,True,4,12,-8,loss,604829,471,1526046,2014,,4 - 12,27.0
1,,1.0,,2,2,1,1,1,0,7,5,0,0,0,0,0,0,0,3,3,0,1,,0,2,0,0,0,4,0,05/03/2014,home,11620,14,UAlbany,9,True,1,11,-10,loss,606169,471,1526046,2014,,1 - 11,0.0
1,,0.2,,2,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,1,0,2,0,05/18/2014,away,11620,482,Niagara,10,True,3,4,-1,loss,608433,471,1526046,2014,,3 - 4,0.0
1,,1.1,,4,4,4,0,1,0,9,7,2,0,0,0,0,1,0,0,0,0,1,,1,2,0,1,0,2,0,02/15/2014,away,11620,193,Duke,9,True,1,5,-4,loss,587213,62,1436241,2014,,1 - 5,0.0
1,,2.0,,1,2,2,2,2,0,10,7,0,0,0,0,0,1,0,0,0,0,0,,2,2,0,0,0,1,1,02/23/2014,away,11620,317,James Madison,9,True,9,7,2,win,588457,62,1436241,2014,,9 - 7,45.0
1,,6.0,,5,3,3,2,3,0,24,22,2,0,0,0,0,0,0,0,0,0,0,,6,8,1,0,0,1,0,02/15/2014,home,11620,253,Ga. Southern,9,True,11,3,8,win,587172,257,1532755,2014,,11 - 3,0.0
1,,3.0,,2,5,5,5,2,0,16,10,1,0,0,1,0,1,0,0,0,0,0,,3,3,0,1,0,1,1,02/21/2014,away,11620,234,Florida St.,9,True,3,8,-5,loss,587790,257,1532755,2014,,3 - 8,74.0
1,,6.0,,5,0,0,1,4,0,22,21,0,0,0,1,0,0,0,0,0,0,0,,4,7,0,0,0,1,2,02/28/2014,home,11620,62,Binghamton,11,True,4,3,1,win,588961,257,1532755,2014,,4 - 3,0.0
1,,1.1,,4,4,4,2,0,0,11,7,1,0,0,0,0,1,0,0,0,0,1,,2,2,0,0,0,1,0,03/07/2014,home,11620,86,Buffalo,9,True,11,10,1,win,590273,257,1532755,2014,,11 - 10,0.0
1,,7.2,,8,1,0,0,7,0,30,30,0,0,0,0,0,0,0,0,0,0,0,,5,9,1,0,0,1,0,03/14/2014,home,11620,430,Mississippi St.,9,True,7,1,6,win,592237,257,1532755,2014,,7 - 1,0.0
1,,4.2,,8,4,4,3,1,0,25,18,2,0,0,1,0,1,0,0,0,3,0,,8,4,0,1,0,1,0,03/21/2014,away,11620,365,LSU,9,True,0,4,-4,loss,594055,257,1532755,2014,,0 - 4,82.0
1,,7.0,,8,2,2,1,8,0,28,27,1,0,0,0,0,0,0,0,0,0,0,,8,3,0,0,0,1,5,03/28/2014,home,11620,697,Texas A&M,9,True,3,2,1,win,595913,257,1532755,2014,,3 - 2,0.0
1,,7.2,,7,1,1,2,8,0,29,27,0,0,0,0,0,0,0,0,0,0,0,,7,4,0,0,0,1,6,04/04/2014,away,11620,434,Missouri,13,True,2,1,1,win,597639,257,1532755,2014,,2 - 1,120.0
1,,9.0,,5,1,1,3,10,0,34,28,0,0,0,1,0,1,0,0,0,1,1,,7,7,1,0,0,1,3,04/11/2014,home,11620,694,Tennessee,9,True,4,1,3,win,599894,257,1532755,2014,,4 - 1,0.0
1,,8.0,,5,3,3,2,3,0,30,27,1,0,1,0,0,1,0,0,0,0,0,,11,8,0,1,0,1,1,04/19/2014,away,11620,235,Florida,9,True,2,3,-1,loss,602783,257,1532755,2014,,2 - 3,95.0
1,,1.1,,6,7,2,1,0,0,14,10,1,0,0,0,0,1,0,0,0,2,0,,2,2,0,1,0,1,0,04/25/2014,away,11620,736,Vanderbilt,9,True,9,12,-3,loss,603968,257,1532755,2014,,9 - 12,63.0
1,,9.0,,3,1,1,1,6,0,29,28,0,0,1,0,0,0,0,0,0,0,0,,15,4,1,0,0,1,1,05/02/2014,home,11620,648,South Carolina,9,True,3,1,2,win,605784,257,1532755,2014,,3 - 1,0.0
1,,4.0,,7,8,7,3,2,0,22,18,0,0,0,1,0,0,0,0,0,0,1,,5,5,0,1,0,1,1,05/09/2014,away,11620,433,Ole Miss,9,True,2,12,-10,loss,607161,257,1532755,2014,,2 - 12,0.0
1,,6.1,,11,6,5,0,2,0,30,28,4,0,0,1,0,2,0,0,0,0,0,,8,6,0,1,0,1,1,05/15/2014,home,11620,334,Kentucky,9,True,0,13,-13,loss,607904,257,1532755,2014,,0 - 13,0.0
1,,3.0,,5,3,2,3,3,0,18,14,3,0,0,0,0,1,0,0,0,0,0,,2,4,0,1,0,1,2,02/23/2014,away,11620,1068,Elon,9,True,3,7,-4,loss,588549,748,1416191,2014,,3 - 7,71.0
1,,4.1,,5,3,3,4,1,0,20,15,1,0,0,0,0,0,0,0,0,1,0,,6,4,0,0,0,1,0,03/01/2014,away,11620,670,Texas St.,9,True,7,9,-2,loss,589512,748,1416191,2014,,7 - 9,76.0
1,,5.1,,6,4,2,1,0,0,24,21,1,1,0,0,0,1,0,0,0,1,0,,10,5,0,1,0,1,0,03/08/2014,away,11620,725,Army West Point,9,True,1,8,-7,loss,590811,748,1416191,2014,,1 - 8,0.0
1,,4.0,,7,3,3,0,1,0,20,20,3,1,0,0,0,0,0,0,0,0,0,,6,6,0,1,0,1,0,03/16/2014,away,11620,90,Cal Poly,9,True,2,7,-5,loss,593263,748,1416191,2014,,2 - 7,69.0
1,,4.0,,8,5,5,2,1,0,22,18,0,0,0,2,0,1,0,0,0,1,0,,6,4,0,1,0,1,1,03/23/2014,away,11620,104,UC Santa Barbara,9,True,2,9,-7,loss,595120,748,1416191,2014,,2 - 9,0.0
1,,4.2,,2,1,1,0,4,0,16,16,1,0,0,0,0,0,0,3,0,0,0,,4,6,0,0,0,2,1,04/01/2014,away,11620,439,Monmouth,9,True,4,1,3,win,597112,748,1416191,2014,,4 - 1,51.0
1,,2.0,,4,6,5,1,2,0,12,11,1,0,1,1,0,0,0,0,0,0,0,,3,1,0,1,0,1,0,04/06/2014,away,11620,361,LIU,9,True,1,11,-10,loss,598689,748,1416191,2014,,1 - 11,45.0
1,,2.0,,0,0,0,2,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,,3,2,0,0,1,2,0,04/13/2014,home,11620,222,Fairleigh Dickinson,9,True,5,1,4,win,600928,748,1416191,2014,,5 - 1,31.0
1,,0.2,,4,3,3,1,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,2,0,04/17/2014,home,11620,617,Saint Peter's,9,True,13,7,6,win,601714,748,1416191,2014,,13 - 7,0.0
1,,2.2,,7,5,2,1,4,0,17,15,0,0,0,2,1,0,0,0,0,0,0,,3,1,0,1,0,1,1,04/27/2014,away,11620,127,Central Conn. St.,9,True,0,7,-7,loss,605114,748,1416191,2014,,0 - 7,0.0
1,,0.1,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,3,0,05/04/2014,home,11620,450,Mount St. Mary's,9,True,6,2,4,win,606573,748,1416191,2014,,6 - 2,0.0
1,,3.1,,1,0,0,0,1,0,10,9,0,0,0,0,0,1,0,1,0,0,0,,3,4,0,0,0,2,0,05/07/2014,home,11620,283,Hofstra,9,True,2,1,1,win,606969,748,1416191,2014,,2 - 1,31.0
1,,0.2,,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,2,0,05/11/2014,home,11620,590,Sacred Heart,12,True,1,3,-2,loss,607736,748,1416191,2014,,1 - 3,0.0
1,,1.0,,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,,0,3,0,0,0,3,0,05/23/2014,home,11620,590,Sacred Heart,9,True,8,13,-5,loss,608694,748,1416191,2014,,8 - 13,0.0
1,,1.0,,2,1,1,1,2,0,6,5,0,0,0,1,0,0,0,0,0,0,0,,1,0,0,0,0,4,0,02/15/2014,home,11620,617,Saint Peter's,9,True,15,3,12,win,587043,706,1532999,2014,,15 - 3,0.0
1,,1.1,,3,2,2,1,1,0,8,7,0,0,0,1,0,0,0,0,0,0,0,,2,1,0,0,0,1,0,02/18/2014,home,11620,287,Houston Baptist,13,True,7,9,-2,loss,587573,706,1532999,2014,,7 - 9,0.0
1,,1.0,,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,1,2,0,0,0,3,0,02/23/2014,home,11620,698,TCU,9,True,1,5,-4,loss,588659,706,1532999,2014,,1 - 5,7.0
1,,0.0,,1,1,1,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,2,0,02/25/2014,home,11620,1045,DBU,12,True,5,6,-1,loss,588819,706,1532999,2014,,5 - 6,0.0
1,,2.0,,3,0,0,0,1,0,8,7,0,0,0,0,0,0,0,1,0,1,0,,2,2,0,0,0,5,1,03/01/2014,home,11620,649,South Dakota St.,10,True,6,7,-1,loss,589395,706,1532999,2014,,6 - 7,25.0
1,,6.1,,1,2,1,1,6,0,24,21,0,0,1,1,0,1,0,3,0,1,0,,5,9,0,0,0,2,0,03/05/2014,home,11620,536,UTRGV,9,True,6,5,1,win,590115,706,1532999,2014,,6 - 5,81.0
1,,4.1,,5,1,0,1,2,0,19,17,0,0,0,0,0,1,0,0,0,0,0,,4,6,0,0,0,1,0,03/11/2014,away,11620,624,Sam Houston,9,True,9,2,7,win,591708,706,1532999,2014,,9 - 2,0.0
1,,6.0,,7,2,0,1,2,0,26,23,0,0,0,0,0,1,0,0,0,1,0,,8,6,0,0,0,1,0,03/16/2014,home,11620,158,Columbia,9,True,2,4,-2,loss,593213,706,1532999,2014,,2 - 4,87.0
1,,0.1,,3,3,3,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,03/25/2014,home,11620,26172,A&M-Corpus Christi,9,True,1,6,-5,loss,595480,706,1532999,2014,,1 - 6,25.0
1,,6.0,,5,2,2,3,4,0,25,22,1,0,0,0,0,0,0,0,0,0,0,,6,7,0,0,0,1,2,04/01/2014,away,11620,670,Texas St.,9,True,6,7,-1,loss,597056,706,1532999,2014,,6 - 7,101.0
1,,7.0,,6,1,1,0,2,0,26,26,1,0,0,0,0,0,0,0,0,0,0,,10,7,1,0,0,1,1,04/08/2014,away,11620,26172,A&M-Corpus Christi,9,True,10,2,8,win,599198,706,1532999,2014,,10 - 2,0.0
1,,1.2,,3,1,1,2,2,0,10,8,0,0,0,0,0,0,0,0,0,0,0,,1,2,0,0,0,1,0,04/15/2014,home,11620,670,Texas St.,9,True,7,2,5,win,601367,706,1532999,2014,,7 - 2,44.0
