App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,pickoffs,division,score,Pitches
1,0.0,2.0,0.0,3,2,0,1,0,0,10,8,1,0,0,0,0,0,0,2,0,1,0,37.0,1,4,0,0,0,5,0,04/07/2024,home,16580,90,Cal Poly,10,True,3,8,-5,loss,4535942,111,2680031,2024,0.0,1.0,,
1,0.0,1.0,0.0,0,0,0,1,1,0,4,2,0,0,0,0,0,0,0,0,0,1,0,15.0,1,1,0,0,0,5,0,04/10/2024,away,16580,370,LMU (CA),9,True,5,11,-6,loss,4529134,111,2680031,2024,0.0,1.0,,
1,0.0,0.2,0.0,3,2,2,0,1,0,5,5,1,0,0,1,0,0,0,2,1,0,0,19.0,0,1,0,0,0,4,1,04/12/2024,away,16580,97,Cal St. Fullerton,9,True,8,11,-3,loss,4536684,111,2680031,2024,0.0,1.0,,
1,0.0,0.1,0.0,3,6,6,3,0,0,7,4,2,0,0,1,0,0,0,0,0,0,0,25.0,0,1,0,0,0,2,0,04/23/2024,away,16580,465,UNLV,9,True,5,16,-11,loss,4539217,111,2680031,2024,0.0,1.0,,
1,0.0,4.2,0.0,6,4,2,1,4,0,25,20,2,0,0,0,0,3,0,2,2,0,1,99.0,3,7,0,0,0,2,2,04/27/2024,home,16580,109,UC Irvine,9,True,7,15,-8,loss,4539932,111,2680031,2024,0.0,1.0,,
1,1.0,2.0,0.0,4,5,3,6,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,66.0,4,1,0,1,0,1,0,02/23/2024,away,16580,740,VCU,9,True,3,12,-9,loss,4526474,410,2503380,2024,0.0,1.0,,
1,1.0,5.0,0.0,4,0,0,2,5,0,23,19,1,0,0,0,0,2,0,0,0,0,0,77.0,3,6,0,0,0,1,0,03/02/2024,away,16580,562,Quinnipiac,9,True,4,5,-1,loss,4527941,410,2503380,2024,0.0,1.0,,
1,1.0,6.1,0.0,4,2,2,6,9,0,28,21,1,0,0,0,2,1,0,0,0,0,0,114.0,7,1,0,0,0,1,3,03/08/2024,away,16580,165,Coppin St.,9,True,4,7,-3,loss,5252439,410,2503380,2024,0.0,1.0,,
1,1.0,4.0,0.0,7,8,8,6,2,0,25,19,1,0,0,1,1,0,0,0,0,0,0,99.0,6,3,0,1,0,1,1,03/15/2024,away,16580,590,Sacred Heart,9,True,8,14,-6,loss,4530979,410,2503380,2024,0.0,1.0,,
1,1.0,7.0,0.0,4,1,1,0,10,0,25,25,1,0,0,0,0,0,0,0,0,0,0,74.0,5,6,1,0,0,1,1,02/23/2024,home,16580,753,Washington Col.,9,True,3,1,2,win,4526669,12399,2509861,2024,0.0,3.0,,
1,1.0,7.0,0.0,4,0,0,1,5,0,28,25,0,0,0,0,0,2,0,0,0,0,0,94.0,5,9,1,0,0,1,3,03/01/2024,home,16580,15882,Rosemont,9,True,11,1,10,win,4527777,12399,2509861,2024,0.0,3.0,,
1,1.0,9.0,1.0,8,1,1,0,5,0,34,33,2,0,0,0,0,0,0,0,0,1,0,107.0,11,10,1,0,0,1,1,03/22/2024,away,16580,12884,Centenary (NJ),9,True,3,1,2,win,4532400,12399,2509861,2024,0.0,3.0,,
1,1.0,4.2,0.0,7,5,5,4,5,0,25,20,1,0,0,0,0,1,0,0,0,0,0,92.0,4,4,0,1,0,1,2,04/06/2024,home,16580,88,Cabrini,9,True,3,5,-2,loss,4535522,12399,2509861,2024,0.0,3.0,,
1,1.0,5.0,0.0,8,4,2,2,5,0,25,21,1,0,1,0,0,0,0,0,0,1,1,108.0,3,7,0,1,0,1,2,04/13/2024,away,16580,394,Marymount (VA),9,True,1,4,-3,loss,4537031,12399,2509861,2024,0.0,3.0,,
