App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,pickoffs,division,score,Pitches
1,,7.1,,5,3,3,2,3,0,28,26,2,0,0,0,0,0,0,0,0,0,0,,6,12,0,0,0,1,0,02/16/2013,home,11320,674,Stanford,9,True,2,3,-1,loss,658195,574,1316967,2013,,,2 - 3,0.0
1,,9.0,,5,1,1,1,10,0,31,30,0,0,0,0,0,0,0,0,0,0,0,,10,5,1,0,0,1,5,02/23/2013,away,11320,277,Hawaii,9,True,3,1,2,win,659161,574,1316967,2013,,,3 - 1,111.0
1,,5.2,,7,7,5,2,6,0,26,20,1,0,0,0,0,0,0,0,0,3,1,,5,5,0,1,0,1,3,03/02/2013,home,11320,697,Texas A&M,9,True,3,8,-5,loss,660795,574,1316967,2013,,,3 - 8,95.0
1,,1.1,,0,0,0,0,3,0,5,3,0,0,0,0,0,1,0,3,0,1,0,,1,0,0,0,0,3,0,03/06/2013,home,11320,624,Sam Houston,9,True,0,3,-3,loss,661620,574,1316967,2013,,,0 - 3,0.0
1,,8.0,,5,2,2,1,5,0,29,27,1,0,1,0,0,0,0,0,0,1,0,,11,7,0,0,0,1,2,03/09/2013,away,11320,231,FIU,10,True,6,5,1,win,662239,574,1316967,2013,,,6 - 5,0.0
1,,1.1,,2,0,0,0,1,0,4,4,0,0,0,0,0,0,0,2,2,0,0,,1,0,0,0,1,4,0,03/13/2013,home,11320,366,Louisiana Tech,9,True,7,5,2,win,663425,574,1316967,2013,,,7 - 5,0.0
1,,7.0,,8,2,2,2,8,0,31,28,0,0,0,1,0,0,0,0,0,1,0,,10,3,1,0,0,1,2,03/16/2013,home,11320,275,Harvard,9,True,9,2,7,win,664182,574,1316967,2013,,,9 - 2,0.0
1,,1.1,,2,1,1,0,2,0,6,6,1,0,0,0,0,0,0,2,0,0,0,,1,1,0,0,0,4,0,03/20/2013,home,11320,706,UTSA,9,True,11,5,6,win,665364,574,1316967,2013,,,11 - 5,0.0
1,,7.0,,4,0,0,1,7,0,25,24,0,1,0,0,0,0,0,0,0,0,0,,5,8,1,0,0,1,2,03/23/2013,away,11320,664,Southern Miss.,9,True,3,0,3,win,665942,574,1316967,2013,,,3 - 0,104.0
1,,6.2,,8,3,1,2,4,0,29,27,0,0,0,0,0,0,0,0,0,0,0,,11,3,1,0,0,1,3,03/29/2013,home,11320,718,Tulane,9,True,6,3,3,win,667556,574,1316967,2013,,,6 - 3,0.0
1,,6.2,,8,2,2,1,2,0,27,25,1,0,1,0,0,0,0,0,0,1,0,,7,9,0,0,0,1,0,04/06/2013,away,11320,196,East Carolina,13,True,2,3,-1,loss,669679,574,1316967,2013,,,2 - 3,93.0
1,,5.1,,4,6,3,3,1,0,23,19,1,0,1,0,0,1,0,0,0,0,0,,7,6,0,0,0,1,0,04/13/2013,home,11320,128,UCF,12,True,7,11,-4,loss,671688,574,1316967,2013,,,7 - 11,0.0
1,,4.0,,7,7,7,2,5,0,21,18,1,2,0,0,0,0,0,0,0,0,1,,4,3,0,1,0,1,0,04/19/2013,away,11320,288,Houston,9,True,7,8,-1,loss,673610,574,1316967,2013,,,7 - 8,88.0
1,,1.0,,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,4,1,05/01/2013,home,11320,346,Lamar University,9,True,6,1,5,win,677231,574,1316967,2013,,,6 - 1,0.0
1,,7.2,,4,3,3,3,11,0,31,28,2,0,0,2,0,0,0,0,0,0,0,,9,4,1,0,0,1,5,05/04/2013,away,11320,9,UAB,9,True,5,4,1,win,677769,574,1316967,2013,,,5 - 4,125.0
1,,7.1,,5,3,1,5,3,0,30,22,0,0,0,0,0,0,0,0,0,3,0,,12,5,0,1,0,1,2,05/11/2013,home,11320,404,Memphis,9,True,1,3,-2,loss,679041,574,1316967,2013,,,1 - 3,0.0
1,,7.2,,5,0,0,0,7,0,28,26,1,0,0,0,0,1,0,0,0,1,0,,11,4,1,0,0,1,3,05/17/2013,home,11320,388,Marshall,9,True,13,0,13,win,679737,574,1316967,2013,,,13 - 0,0.0
1,,5.2,,1,1,1,2,4,0,19,16,0,0,0,1,0,0,0,0,0,0,1,,7,5,1,0,0,1,0,05/23/2013,away,11320,128,UCF,9,True,5,1,4,win,680236,574,1316967,2013,,,5 - 1,77.0
1,,3.1,,2,1,0,0,1,0,12,11,0,0,0,0,0,1,0,0,0,0,0,,6,2,0,0,0,1,0,05/26/2013,home,11320,664,Southern Miss.,11,True,5,4,1,win,680452,574,1316967,2013,,,5 - 4,0.0
1,,9.0,,2,0,0,2,11,1,30,26,0,0,0,0,0,1,0,0,0,1,0,,8,6,1,0,0,1,3,06/01/2013,home,11320,529,Oregon,9,True,1,0,1,win,680522,574,1316967,2013,,,1 - 0,0.0
1,,6.1,,8,1,1,2,5,0,29,26,0,0,0,0,0,0,0,0,0,1,0,,6,7,0,0,0,1,1,06/09/2013,home,11320,490,NC State,17,True,4,5,-1,loss,680588,574,1316967,2013,,,4 - 5,97.0
1,,4.2,,9,7,7,4,6,0,27,23,3,0,2,0,0,0,0,0,0,0,0,,1,7,0,1,0,3,1,02/15/2013,away,11320,254,Georgia St.,9,True,7,12,-5,loss,657858,87,1100171,2013,,,7 - 12,0.0
1,,3.0,,4,6,6,4,5,0,19,13,2,0,1,0,0,2,0,0,0,0,0,,2,2,0,0,0,3,0,02/16/2013,away,11320,254,Georgia St.,9,True,9,17,-8,loss,658115,87,1100171,2013,,,9 - 17,0.0
1,,5.1,,3,5,5,3,3,0,22,18,0,0,2,0,0,0,0,0,0,0,1,,3,9,0,1,0,1,0,02/23/2013,away,11320,27,App State,9,True,2,6,-4,loss,659270,87,1100171,2013,,,2 - 6,81.0
1,,5.0,,6,2,2,1,4,0,22,20,1,0,0,1,0,1,0,0,0,0,0,,5,5,1,0,0,1,2,03/01/2013,away,11320,28600,Lipscomb,9,True,11,2,9,win,660170,87,1100171,2013,,,11 - 2,80.0
1,,7.0,,1,0,0,3,4,1,25,22,0,0,0,0,0,0,0,0,0,0,0,,11,6,1,0,0,1,2,03/09/2013,home,11320,308,Purdue Fort Wayne,9,True,1,0,1,win,662636,87,1100171,2013,,,1 - 0,0.0
1,,0.1,,1,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,3,0,03/09/2013,home,11320,308,Purdue Fort Wayne,11,True,3,4,-1,loss,662675,87,1100171,2013,,,3 - 4,0.0
1,,1.1,,2,4,4,2,0,0,8,3,0,0,0,0,0,1,0,0,0,2,0,,2,1,0,0,0,2,0,03/13/2013,away,11320,29,Arizona,9,True,2,14,-12,loss,663400,87,1100171,2013,,,2 - 14,27.0
1,,6.0,,3,1,1,6,7,0,27,21,0,0,0,0,0,0,0,0,0,0,0,,5,6,1,0,0,1,0,03/15/2013,away,11320,505,Northern Ky.,9,True,6,2,4,win,663754,87,1100171,2013,,,6 - 2,124.0
1,,6.0,,7,4,3,4,5,0,30,24,3,0,0,1,0,0,0,0,0,1,1,,5,8,1,0,0,1,3,03/22/2013,away,11320,740,VCU,9,True,6,4,2,win,665570,87,1100171,2013,,,6 - 4,107.0
1,,7.0,,9,6,6,2,1,0,31,28,2,0,0,0,1,0,0,0,0,1,0,,10,9,1,0,0,3,1,03/30/2013,away,11320,596,St. Bonaventure,9,True,9,6,3,win,668311,87,1100171,2013,,,9 - 6,0.0
1,,5.0,,8,5,5,5,2,0,27,21,3,0,0,1,0,1,0,0,0,0,0,,3,8,0,1,0,1,1,04/05/2013,home,11320,609,Saint Louis,9,True,3,6,-3,loss,669440,87,1100171,2013,,,3 - 6,107.0
1,,2.0,,1,0,0,0,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,,4,2,0,0,0,2,0,04/10/2013,home,11320,195,Earlham,9,True,6,4,2,win,671213,87,1100171,2013,,,6 - 4,21.0
1,,7.0,,8,3,3,1,10,0,28,27,1,0,0,0,0,0,0,0,0,0,0,,2,7,1,0,0,1,5,04/12/2013,away,11320,175,Dayton,9,True,8,4,4,win,671453,87,1100171,2013,,,8 - 4,0.0
1,,5.0,,11,6,6,3,2,0,29,25,4,1,0,0,0,0,0,0,0,1,0,,7,5,0,1,0,1,1,04/19/2013,away,11320,306,Indiana,9,True,2,12,-10,loss,673540,87,1100171,2013,,,2 - 12,105.0
1,,4.0,,5,2,2,0,4,0,16,16,1,0,0,0,1,0,0,0,0,0,0,,3,4,0,0,0,2,0,04/23/2013,home,11320,747,Wabash,9,True,10,2,8,win,675079,87,1100171,2013,,,10 - 2,62.0
1,,7.0,,6,2,2,1,5,0,27,26,1,0,0,0,0,0,0,0,0,0,0,,8,7,1,0,0,1,2,04/26/2013,home,11320,236,Fordham,9,True,7,2,5,win,675591,87,1100171,2013,,,7 - 2,0.0
1,,4.2,,10,6,5,1,1,0,24,23,3,1,0,3,0,0,0,0,0,0,0,,5,7,0,1,0,1,1,05/03/2013,away,11320,458,Charlotte,9,True,1,6,-5,loss,677445,87,1100171,2013,,,1 - 6,87.0
1,,1.0,,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,2,1,0,0,0,3,0,05/08/2013,away,11320,308,Purdue Fort Wayne,9,True,1,4,-3,loss,678603,87,1100171,2013,,,1 - 4,8.0
1,,6.0,,10,4,4,2,3,0,30,25,2,0,0,1,0,1,0,0,0,2,0,,7,7,0,0,0,1,2,05/10/2013,home,11320,572,Rhode Island,9,True,5,4,1,win,678861,87,1100171,2013,,,5 - 4,0.0
1,,1.0,,0,0,0,0,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,,0,3,0,0,0,3,0,05/11/2013,home,11320,572,Rhode Island,9,True,3,8,-5,loss,679063,87,1100171,2013,,,3 - 8,0.0
1,,4.0,,5,1,1,0,1,0,17,17,1,0,1,0,0,0,0,0,0,0,0,,6,5,0,0,0,1,0,05/14/2013,away,11320,140,Cincinnati,9,True,4,6,-2,loss,679401,87,1100171,2013,,,4 - 6,0.0
1,,9.0,,2,0,0,3,3,1,30,25,1,0,0,0,0,1,0,0,0,1,0,,9,12,1,0,0,1,2,05/16/2013,home,11320,812,Xavier,9,True,4,0,4,win,679619,87,1100171,2013,,,4 - 0,0.0
1,,6.0,,2,0,0,1,6,0,22,21,0,0,0,0,0,0,0,0,0,0,0,,3,9,1,0,0,1,0,02/16/2013,home,11320,463,Nebraska,9,True,9,0,9,win,658334,97,1434751,2013,,,9 - 0,0.0
1,,7.1,,5,2,1,0,5,0,27,27,0,0,0,0,0,0,0,0,0,0,0,,10,7,1,0,0,1,1,02/23/2013,away,11320,698,TCU,9,True,6,2,4,win,659103,97,1434751,2013,,,6 - 2,0.0
1,,8.0,,6,2,2,1,4,0,30,29,0,1,0,0,0,0,0,0,0,0,0,,12,7,1,0,0,1,0,03/02/2013,home,11320,529,Oregon,9,True,5,2,3,win,660470,97,1434751,2013,,,5 - 2,0.0
1,,7.0,,5,0,0,1,6,0,27,25,2,0,0,0,0,0,0,0,0,1,0,,5,10,1,0,0,1,1,03/09/2013,home,11320,697,Texas A&M,9,True,2,0,2,win,662260,97,1434751,2013,,,2 - 0,0.0
