App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,pickoffs,score,Pitches,player_id,division
1,,2.1,,3,3,3,5,2,0,15,8,0,0,0,0,0,1,0,0,0,1,0,,3,1,0,0,0,1,1,04/06/2014,home,11620,404,Memphis,12,True,8,7,1,win,598637,367,1437657,2014,,8 - 7,58.0,1437657.0,1.0
1,,5.0,,6,3,3,2,6,0,23,19,0,0,1,0,0,1,0,0,0,1,0,,6,2,1,0,0,1,2,04/13/2014,away,11620,288,Houston,9,True,10,3,7,win,600949,367,1437657,2014,,10 - 3,84.0,1437657.0,1.0
1,,7.0,,5,2,2,1,5,0,29,21,0,0,0,3,0,3,0,0,0,2,2,,9,6,1,0,0,1,1,04/18/2014,away,11620,128,UCF,9,True,3,2,1,win,601954,367,1437657,2014,,3 - 2,110.0,1437657.0,1.0
1,,5.0,,2,2,2,5,2,0,21,15,0,0,0,4,0,1,0,0,0,0,0,,9,2,1,0,0,1,0,04/27/2014,home,11620,164,UConn,9,True,8,2,6,win,604943,367,1437657,2014,,8 - 2,95.0,1437657.0,1.0
1,,5.0,,4,4,4,3,5,0,22,17,1,0,0,1,0,2,0,0,0,0,0,,4,5,0,0,0,1,1,05/04/2014,away,11620,651,South Fla.,9,True,9,5,4,win,606561,367,1437657,2014,,9 - 5,96.0,1437657.0,1.0
1,,4.1,,4,4,4,3,3,0,21,14,0,0,1,0,0,2,0,0,0,2,0,,8,1,0,0,0,1,0,05/11/2014,away,11620,690,Temple,11,True,6,4,2,win,607644,367,1437657,2014,,6 - 4,0.0,1437657.0,1.0
1,,7.0,,2,0,0,2,6,1,24,22,0,0,0,0,0,0,0,0,0,0,0,,7,7,1,0,0,1,1,05/17/2014,home,11620,140,Cincinnati,9,True,10,0,10,win,608227,367,1437657,2014,,10 - 0,92.0,1437657.0,1.0
1,,7.0,,4,2,1,1,7,0,28,25,1,0,0,0,0,2,0,0,0,0,0,,8,6,1,0,0,1,2,05/24/2014,home,11620,587,Rutgers,9,True,9,3,6,win,608742,367,1437657,2014,,9 - 3,108.0,1437657.0,1.0
1,,7.0,,5,2,2,5,6,0,30,24,0,0,0,0,0,0,0,0,0,1,0,,9,5,1,0,0,1,0,05/31/2014,away,11620,328,Kansas,9,True,6,3,3,win,608878,367,1437657,2014,,6 - 3,115.0,1437657.0,1.0
1,,6.0,,9,4,4,2,7,0,29,25,3,0,0,1,0,0,0,0,0,2,0,,5,6,1,0,0,1,1,06/07/2014,away,11620,1157,Kennesaw St.,9,True,7,4,3,win,608951,367,1437657,2014,,7 - 4,0.0,1437657.0,1.0
