date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season,GS,pitches,CG,pickoffs,division
04/24/2012,away,10942,5,Akron,9,True,10,6,4,win,10 - 6,775431,116,1,1.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10.0,2,1,0,0,0,5,0,1196891,2012,,,,,
05/01/2012,home,10942,596,St. Bonaventure,9,True,10,1,9,win,10 - 1,777520,116,1,1.0,1,1,1,0,0,0,4,4,0,0,1,0,0,0,0,2,0,0,0,14.0,1,2,0,0,0,6,0,1196891,2012,,,,,
05/12/2012,away,10942,386,Marist,9,True,0,9,-9,loss,0 - 9,779519,116,1,1.0,3,4,3,1,0,0,8,5,1,0,0,1,0,1,0,0,0,1,0,24.0,1,2,0,0,0,2,0,1196891,2012,,,,,
02/18/2012,home,10942,388,Marshall,9,True,7,5,2,win,7 - 5,756079,116,1,1.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,3,0,1196897,2012,,,,,
02/24/2012,away,10942,193,Duke,10,True,5,4,1,win,5 - 4,756624,116,1,0.1,1,0,0,1,1,0,3,2,0,0,0,1,0,0,0,1,1,0,0,21.0,0,0,0,0,1,3,0,1196897,2012,,,,,
02/26/2012,away,10942,193,Duke,11,True,6,4,2,win,6 - 4,757385,116,1,0.1,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,1,5,1,1196897,2012,,,,,
03/02/2012,home,10942,361,LIU,9,True,8,5,3,win,8 - 5,758279,116,1,0.2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0.0,1,1,0,0,1,3,0,1196897,2012,,,,,
03/04/2012,home,10942,361,LIU,9,True,1,2,-1,loss,1 - 2,759226,116,1,1.0,2,0,0,0,1,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0.0,1,1,0,0,0,3,0,1196897,2012,,,,,
03/11/2012,away,10942,334,Kentucky,9,True,4,5,-1,loss,4 - 5,761053,116,1,0.0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,7.0,0,0,0,0,0,3,0,1196897,2012,,,,,
03/16/2012,home,10942,514,Oakland,9,True,5,3,2,win,5 - 3,762541,116,1,0.1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,1,2,1,1196897,2012,,,,,
03/17/2012,away,10942,175,Dayton,12,True,9,5,4,win,9 - 5,762679,116,1,4.0,3,1,1,2,5,0,17,14,0,0,0,1,0,1,0,0,0,0,0,66.0,2,4,1,0,0,2,3,1196897,2012,,,,,
