date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season,GS,pitches,CG,pickoffs,division
02/18/2024,home,16580,456,UNC Asheville,9,True,10,0,10,win,,4526049,257,1,3.0,1,0,0,0,3,0,11,11,0,0,0,0,0,0,0,0,0,0,0,,2,5,0,0,1,2,1,1987634,2024,0.0,40.0,0.0,0.0,1.0
02/25/2024,home,16580,505,Northern Ky.,9,True,12,11,1,win,,4527198,257,1,2.2,8,4,4,1,4,0,17,15,1,0,0,0,0,0,0,0,0,1,0,,2,2,0,0,0,2,2,1987634,2024,0.0,64.0,0.0,0.0,1.0
03/02/2024,home,16580,255,Georgia Tech,9,True,3,1,2,win,,4528038,257,1,1.0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,2,0,0,0,,3,0,1,0,0,3,0,1987634,2024,0.0,13.0,0.0,0.0,1.0
03/03/2024,neutral,16580,255,Georgia Tech,9,True,11,9,2,win,,4528545,257,1,1.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,1,0,0,0,,0,1,1,0,0,7,0,1987634,2024,0.0,10.0,0.0,0.0,1.0
03/06/2024,home,16580,678,Stetson,9,True,11,5,6,win,,4529009,257,1,1.0,1,0,0,0,3,0,4,4,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,1987634,2024,0.0,14.0,0.0,0.0,1.0
03/12/2024,home,16580,312,Iowa,9,True,10,5,5,win,,4492960,257,1,1.0,2,2,2,1,2,0,6,5,0,0,0,0,2,0,0,0,0,0,0,,1,0,0,0,0,6,1,1987634,2024,0.0,28.0,0.0,0.0,1.0
03/16/2024,away,16580,334,Kentucky,9,True,3,9,-6,loss,,4531104,257,1,3.0,5,4,4,1,2,0,13,12,0,0,0,2,0,0,0,1,0,0,0,,1,4,0,0,0,3,1,1987634,2024,0.0,37.0,0.0,1.0,1.0
03/24/2024,home,16580,8,Alabama,9,True,10,5,5,win,,4532986,257,1,2.0,2,1,1,2,1,0,11,8,0,0,0,0,1,0,0,1,0,0,1,,1,4,0,0,0,4,0,1987634,2024,0.0,49.0,0.0,0.0,1.0
03/31/2024,away,16580,694,Tennessee,9,True,0,7,-7,loss,,4534585,257,1,1.1,1,0,0,0,1,0,5,5,1,0,0,0,0,0,0,2,0,0,0,,2,1,0,0,0,4,0,1987634,2024,0.0,20.0,0.0,0.0,1.0
04/02/2024,home,16580,254,Georgia St.,9,True,10,1,9,win,,4534675,257,1,1.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,8,0,1987634,2024,0.0,13.0,0.0,0.0,1.0
