date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season,GS,pitches,CG,pickoffs,division
05/17/2012,away,10942,77,BYU,9,True,6,8,-2,loss,6 - 8,779914,631,1,0.2,0,0,0,1,2,0,3,2,0,0,0,0,1,0,0,0,0,0,0,20.0,0,0,0,0,0,2,2,1316514,2012,,,,,
05/19/2012,away,10942,77,BYU,9,True,14,10,4,win,14 - 10,780307,631,1,0.1,3,3,3,1,0,0,5,3,0,0,0,0,0,0,0,2,2,0,1,22.0,0,1,0,0,0,2,0,1316514,2012,,,,,
05/22/2012,home,10942,674,Stanford,9,True,5,10,-5,loss,5 - 10,780454,631,1,0.1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,0,1.0,0,0,0,0,0,5,0,1316514,2012,,,,,
05/26/2012,home,10942,370,LMU (CA),9,True,7,6,1,win,7 - 6,780692,631,1,1.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,8.0,1,1,1,0,0,3,0,1316514,2012,,,,,
05/27/2012,home,10942,370,LMU (CA),9,True,2,4,-2,loss,2 - 4,780760,631,1,0.1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,1316514,2012,,,,,
02/18/2012,away,10942,670,Texas St.,13,True,5,4,1,win,5 - 4,755825,631,1,7.0,7,4,4,3,2,0,30,24,2,0,0,0,0,1,0,0,0,1,1,0.0,10,7,0,0,0,1,1,1316516,2012,,,,,
02/24/2012,home,10942,302,UIC,9,True,9,3,6,win,9 - 3,756641,631,1,7.2,5,2,1,3,8,0,30,27,0,0,0,1,0,0,0,0,0,0,0,107.0,6,8,1,0,0,1,0,1316516,2012,,,,,
02/28/2012,home,10942,466,Nevada,9,True,8,4,4,win,8 - 4,757779,631,1,1.0,3,3,2,1,1,0,7,6,0,0,0,0,0,0,0,0,0,0,0,24.0,2,0,0,0,0,2,0,1316516,2012,,,,,
03/02/2012,home,10942,630,San Jose St.,9,True,3,1,2,win,3 - 1,758123,631,1,8.0,6,1,1,1,2,0,31,27,1,0,0,0,0,2,0,0,0,1,0,108.0,16,4,1,0,0,1,1,1316516,2012,,,,,
03/08/2012,home,10942,732,Utah,9,True,4,1,3,win,4 - 1,759911,631,1,8.0,7,1,1,2,7,0,31,29,1,1,1,0,0,0,0,0,0,0,0,116.0,7,8,1,0,0,1,2,1316516,2012,,,,,
