App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,pickoffs,score,Pitches,division
1,1.0,2.0,0.0,2,3,3,3,2,0,11,7,0,0,0,1,2,0,0,0,0,0,1,53.0,1,3,0,0,0,1,2,02/18/2023,home,16340,493,North Dakota St.,9,True,8,6,2,win,2390506,102,2483102,2023,0.0,,,1.0
1,0.0,1.0,0.0,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,13.0,1,0,0,0,0,3,0,02/17/2023,home,16340,236,Fordham,9,True,8,0,8,win,2390475,1045,2807516,2023,0.0,,,1.0
1,0.0,3.0,0.0,6,5,5,1,3,0,16,15,0,0,0,2,2,0,0,0,0,0,0,72.0,4,2,0,0,0,3,1,02/19/2023,neutral,16340,694,Tennessee,9,True,0,7,-7,loss,2391057,112,2334915,2023,0.0,,,1.0
1,1.0,5.0,0.0,1,0,0,3,5,0,19,16,0,0,0,0,1,0,0,0,0,0,0,88.0,7,3,1,0,0,1,2,02/18/2023,home,16340,587,Rutgers,9,True,10,0,10,win,2390536,115,2827639,2023,0.0,,,1.0
1,0.0,2.0,0.0,3,2,2,1,1,0,11,10,2,0,0,0,0,0,0,2,0,0,0,35.0,1,4,0,0,0,3,1,02/18/2023,away,16340,404,Memphis,9,True,6,11,-5,loss,2390538,625,2493715,2023,0.0,,,1.0
1,1.0,6.0,0.0,4,3,3,3,10,0,23,20,0,1,0,0,1,0,0,0,0,0,0,87.0,2,4,0,1,0,1,4,02/18/2023,neutral,16340,473,New Mexico,9,True,1,3,-2,loss,2390597,104,2679361,2023,0.0,,,1.0
1,0.0,3.0,0.0,2,0,0,1,4,0,13,12,0,0,0,0,1,0,0,0,0,0,0,43.0,3,3,0,0,0,3,1,02/19/2023,neutral,16340,418,Michigan,9,True,4,6,-2,loss,2390884,1104,2470316,2023,0.0,,,1.0
1,1.0,7.0,0.0,8,4,3,0,3,0,28,27,3,0,0,0,0,0,0,0,0,0,1,77.0,9,7,1,0,0,1,2,02/18/2023,home,16340,683,Stony Brook,9,True,14,4,10,win,2390740,101,2798028,2023,0.0,,,1.0
1,0.0,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10.0,1,2,0,0,0,2,0,02/18/2023,home,16340,493,North Dakota St.,9,True,8,6,2,win,2390506,102,2483103,2023,0.0,,,1.0
1,0.0,0.1,0.0,2,1,1,0,1,0,3,3,2,0,0,0,0,0,0,3,3,0,0,11.0,0,0,0,0,0,4,0,02/19/2023,home,16340,493,North Dakota St.,9,True,4,13,-9,loss,2408511,102,2483103,2023,0.0,,,1.0
1,0.0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,11.0,2,0,0,0,0,3,0,02/18/2023,home,16340,683,Stony Brook,9,True,14,4,10,win,2390740,101,2516478,2023,0.0,,,1.0
1,0.0,3.0,0.0,2,1,1,2,5,0,13,11,0,0,0,0,0,0,0,0,0,0,0,50.0,3,1,0,0,0,2,1,02/19/2023,away,16340,406,Mercer,10,True,4,5,-1,loss,2391024,786,2806745,2023,0.0,,,1.0
1,1.0,5.0,0.0,1,0,0,0,12,0,17,16,1,0,0,0,0,1,0,0,0,0,0,79.0,1,2,1,0,0,1,2,02/17/2023,home,16340,236,Fordham,9,True,8,0,8,win,2390475,1045,2334680,2023,0.0,,,1.0
1,0.0,2.0,0.0,3,1,1,0,2,0,10,10,0,0,1,0,0,0,0,0,0,0,0,38.0,2,2,0,0,0,2,0,02/17/2023,home,16340,711,Towson,9,True,7,1,6,win,2390295,10411,2493116,2023,0.0,,,1.0
1,0.0,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3.0,0,1,0,0,1,6,0,02/18/2023,away,16340,288,Houston,9,True,5,3,2,win,2390519,107,2132275,2023,0.0,,,1.0
1,1.0,5.0,0.0,5,2,2,0,8,0,19,18,2,0,0,0,0,0,0,0,0,0,1,87.0,3,3,0,0,0,1,1,02/17/2023,home,16340,428,Minnesota,9,True,9,7,2,win,2390428,104,2679403,2023,1.0,,,1.0
1,1.0,2.1,0.0,5,5,5,2,3,0,15,12,1,0,0,1,0,1,0,0,0,0,0,45.0,0,4,0,1,0,1,1,02/19/2023,home,16340,576,Rider,9,True,2,17,-15,loss,2390860,1092,2138638,2023,0.0,,,1.0
1,1.0,5.2,0.0,2,0,0,1,5,0,22,20,1,0,0,0,0,1,0,0,0,0,0,90.0,8,4,1,0,0,1,2,02/17/2023,home,16340,718,Tulane,9,True,3,0,3,win,2390446,109,2651172,2023,0.0,,,1.0
1,0.0,2.0,0.0,0,0,0,1,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,28.0,1,5,0,0,0,2,0,02/17/2023,home,16340,493,North Dakota St.,9,True,5,3,2,win,2390255,102,2483098,2023,0.0,,,1.0
1,0.0,0.2,0.0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,19.0,0,1,0,0,0,3,0,02/19/2023,home,16340,493,North Dakota St.,9,True,3,2,1,win,2390871,102,2483098,2023,0.0,,,1.0
1,0.0,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,8.0,1,2,0,0,0,4,0,02/18/2023,home,16340,236,Fordham,9,True,19,5,14,win,2390733,1045,2658803,2023,0.0,,,1.0
1,0.0,1.1,0.0,4,3,3,0,2,0,8,8,2,0,0,0,0,0,0,0,0,0,0,31.0,0,2,0,0,0,2,2,02/20/2023,neutral,16340,29,Arizona,9,True,8,9,-1,loss,2391071,112,2679628,2023,0.0,,,1.0
1,0.0,0.2,0.0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,3.0,1,0,0,0,0,7,0,02/19/2023,home,16340,576,Rider,9,True,2,17,-15,loss,2390860,1092,2482350,2023,0.0,,,1.0
1,1.0,2.1,0.0,0,2,2,4,5,0,11,7,0,0,0,0,0,0,0,0,0,0,0,49.0,0,2,0,0,0,1,0,02/18/2023,home,16340,718,Tulane,9,True,11,4,7,win,2390680,109,2651167,2023,0.0,,,1.0
