date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season,GS,pitches,CG,pickoffs,division
03/25/2024,home,16580,30193,Emmanuel (GA),9,True,14,1,13,win,,4543052,2683,1,1.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,4,0,2519608,2024,0.0,13.0,0.0,0.0,2.0
04/13/2024,home,16580,537,UNC Pembroke,9,True,8,14,-6,loss,,4545954,2683,1,2.0,1,1,1,0,1,0,7,7,0,0,0,1,0,0,0,0,0,0,0,,0,5,0,0,0,4,1,2519608,2024,0.0,19.0,0.0,0.0,2.0
04/20/2024,away,16580,1245,Mount Olive,9,True,1,15,-14,loss,,4538516,2683,1,1.0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,,2,0,0,0,0,3,0,2519608,2024,0.0,18.0,0.0,0.0,2.0
03/03/2024,away,16580,637,Shenandoah,10,True,3,7,-4,loss,,4528721,685,1,1.0,2,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,,2,1,0,0,0,2,0,2519665,2024,0.0,19.0,0.0,0.0,3.0
03/10/2024,neutral,16580,467,New England Col.,9,True,9,4,5,win,,4530064,685,1,5.0,5,2,1,4,2,0,24,19,2,0,0,0,0,0,0,0,0,0,1,,7,5,1,0,0,2,2,2519665,2024,0.0,89.0,0.0,1.0,3.0
03/16/2024,neutral,16580,373,Lycoming,9,True,4,5,-1,loss,,4544446,685,1,5.0,9,5,4,2,2,0,27,23,1,1,1,0,0,1,0,0,0,0,1,,7,5,0,1,0,1,1,2519665,2024,1.0,94.0,0.0,1.0,3.0
03/24/2024,home,16580,124,Catholic,9,True,2,5,-3,loss,,4532664,685,1,5.1,7,4,2,1,6,0,26,24,3,0,0,0,1,1,0,0,0,0,0,,2,6,0,1,0,1,4,2519665,2024,1.0,89.0,0.0,0.0,3.0
03/29/2024,away,16580,211,Elizabethtown,9,True,1,12,-11,loss,,5256081,685,1,3.2,12,8,8,0,3,0,23,22,1,0,1,4,1,1,0,0,0,0,0,,5,2,0,1,0,1,1,2519665,2024,1.0,82.0,0.0,1.0,3.0
04/07/2024,home,16580,443,Moravian,9,True,11,2,9,win,,4535657,685,1,5.1,5,1,1,3,6,0,25,20,1,0,0,0,1,2,0,0,0,0,0,,4,5,1,0,0,1,2,2519665,2024,1.0,107.0,0.0,1.0,3.0
04/13/2024,away,16580,633,Scranton,9,True,12,5,7,win,,4545472,685,1,5.2,7,4,4,4,4,0,28,23,1,0,0,0,0,0,0,0,0,0,1,,4,8,1,0,0,1,0,2519665,2024,1.0,120.0,0.0,0.0,3.0
