App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,pickoffs,score,player_id,division
1,1.0,5.0,0.0,4,2,0,3,2,0,23,19,2,0,0,0,1,0,0,0,0,1,0,6,6,1,0,0,1,1,02/16/2020,away,15204,8965,East Central,9,True,16,4,12,win,1830194,8744,2127334,2020,0.0,,2127334.0,2.0
1,1.0,5.0,0.0,6,4,3,3,5,0,23,20,3,0,0,0,1,0,0,0,0,0,0,3,6,0,0,0,1,0,02/22/2020,home,15204,1371,Southeastern Okla.,10,True,8,9,-1,loss,1968346,8744,2127334,2020,0.0,,2127334.0,2.0
1,1.0,1.2,0.0,2,2,2,4,2,0,11,6,1,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,1,0,02/29/2020,away,15204,8411,Ark.-Monticello,9,True,19,7,12,win,1832739,8744,2127334,2020,0.0,,2127334.0,2.0
1,1.0,6.0,0.0,12,6,6,2,3,0,30,26,3,0,0,3,0,0,0,0,0,1,1,2,11,0,1,0,1,1,03/07/2020,home,15204,1376,Southern Ark.,9,True,2,13,-11,loss,1834153,8744,2127334,2020,0.0,,2127334.0,2.0
1,0.0,1.0,0.0,1,1,1,0,2,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,02/01/2020,neutral,15204,1071,Emporia St.,9,True,2,7,-5,loss,1829615,8744,2127335,2020,0.0,,2127335.0,2.0
1,0.0,2.2,0.0,0,0,0,1,5,0,9,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,2,02/12/2020,home,15204,12810,Northeastern St.,9,True,6,3,3,win,1830114,8744,2127337,2020,0.0,,2127337.0,2.0
1,0.0,1.0,0.0,2,0,0,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,02/16/2020,away,15204,8965,East Central,9,True,16,4,12,win,1830194,8744,2127337,2020,0.0,,2127337.0,2.0
1,0.0,1.0,0.0,2,0,0,0,1,0,5,4,0,0,0,0,1,0,0,2,2,0,1,0,2,0,0,0,4,1,02/21/2020,home,15204,1371,Southeastern Okla.,9,True,6,3,3,win,1968209,8744,2127337,2020,0.0,,2127337.0,2.0
1,0.0,1.0,0.0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,0,02/22/2020,home,15204,1371,Southeastern Okla.,10,True,8,9,-1,loss,1968346,8744,2127337,2020,0.0,,2127337.0,2.0
1,0.0,1.1,0.0,0,0,0,1,2,0,5,4,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,2,0,02/29/2020,away,15204,8411,Ark.-Monticello,9,True,4,2,2,win,1848989,8744,2127337,2020,0.0,,2127337.0,2.0
1,0.0,1.2,0.0,5,3,2,0,3,0,10,10,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,4,2,03/06/2020,home,15204,1376,Southern Ark.,9,True,7,12,-5,loss,1833792,8744,2127337,2020,0.0,,2127337.0,2.0
