season,season_id,school_id,division,date,game_id,field,opponent_id,opponent_name,runs_scored,runs_allowed,run_difference,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2020,15204,2,1.0,02/14/2020,1830342,home,30024,Utah Valley,3,2,1,19,3,3,0,0,0,1,1,0,1,7,0,3,0.0,1,0,0,0.0,0,0.0,0.8628571428571429,20,0.158,0.105,0.25,0.158,0.408,-14.0,0.0,0.25,1.544,1.432,1.504,0.0,0.6,0.0,0.35,0.05,0.3,0.143
2020,15204,2,1.0,02/14/2020,4926860,home,30024,Utah Valley,3,2,1,9,0,2,1,0,0,2,0,0,0,2,0,3,0.0,0,1,1,0.0,0,0.0,0.64,11,0.222,0.111,0.182,0.444,0.626,77.0,0.111,0.25,2.504,2.024,2.068,,0.0,0.0,0.182,0.0,0.182,0.0
2020,15204,2,1.0,02/15/2020,1830550,home,30024,Utah Valley,10,1,9,35,9,14,3,1,1,7,3,0,2,4,0,22,0.0,4,0,0,0.0,0,1.0,11.530731707317074,37,0.4,0.371,0.541,0.771,1.312,235.0,0.171,0.433,19.098,18.702,19.004,1.5,0.421,0.027,0.108,0.054,0.054,0.5
2020,15204,2,1.0,02/15/2020,1848761,home,30024,Utah Valley,10,3,7,29,9,10,1,0,1,8,0,0,4,8,0,14,0.0,2,0,1,0.0,0,1.0,6.930000000000001,34,0.345,0.276,0.471,0.552,1.023,150.0,0.034,0.429,11.196,10.578,10.776,0.0,0.533,0.029,0.235,0.118,0.117,0.5
2020,15204,2,1.0,02/15/2020,4928052,home,30024,Utah Valley,10,1,9,6,1,3,1,0,0,2,0,0,0,0,0,4,0.0,0,0,0,0.0,0,0.0,2.0,6,0.5,0.167,0.5,0.833,1.333,252.0,0.167,0.5,3.31,3.246,3.292,,0.333,0.0,0.0,0.0,0.0,
2020,15204,2,1.0,02/15/2020,4928799,home,30024,Utah Valley,10,3,7,4,1,1,1,0,0,2,0,0,3,2,0,2,0.0,0,0,0,0.0,0,0.0,1.5885714285714287,7,0.25,1.0,0.571,0.75,1.321,232.0,0.25,0.5,1.614,1.586,1.612,,0.25,0.0,0.286,0.429,-0.143,1.5
2020,15204,2,1.0,02/16/2020,1830897,home,30024,Utah Valley,4,3,1,32,3,9,1,0,0,3,1,1,5,8,1,10,0.0,2,1,0,0.0,0,1.0,4.361,38,0.281,0.188,0.421,0.344,0.765,72.0,0.031,0.375,7.656,6.786,7.592,0.0,0.188,0.0,0.211,0.132,0.079,0.625
2020,15204,2,1.0,02/16/2020,4930086,home,30024,Utah Valley,4,3,1,5,1,1,0,0,0,0,0,0,0,2,0,1,0.0,0,0,0,0.0,0,0.0,0.2,5,0.2,0.0,0.2,0.2,0.4,-6.0,0.0,0.333,0.464,0.438,0.456,,1.0,0.0,0.4,0.0,0.4,0.0
2020,15204,2,1.0,02/18/2020,1831035,away,698,TCU,4,14,-10,26,4,5,1,0,0,2,1,0,3,9,0,6,0.0,1,0,0,0.0,0,1.0,2.1293333333333333,29,0.192,0.192,0.31,0.269,0.579,32.0,0.038,0.294,3.818,3.652,3.764,0.0,0.444,0.0,0.31,0.103,0.207,0.333
2020,15204,2,1.0,02/18/2020,4931896,away,698,TCU,4,14,-10,6,0,2,1,0,0,2,0,0,0,3,0,3,0.0,0,0,0,0.0,0,0.0,1.0,6,0.333,0.167,0.333,0.667,1.0,173.0,0.167,0.667,2.356,2.318,2.356,,0.0,0.0,0.5,0.0,0.5,0.0
2020,15204,2,1.0,02/21/2020,1831129,away,104,UC Santa Barbara,0,7,-7,21,0,2,1,0,0,0,1,0,3,9,0,3,0.0,0,0,0,0.0,0,1.0,0.8091666666666667,24,0.095,0.238,0.208,0.19,0.398,-8.0,0.048,0.167,1.138,1.028,1.096,0.0,0.0,0.0,0.375,0.125,0.25,0.333
2020,15204,2,1.0,02/21/2020,4938727,away,104,UC Santa Barbara,0,7,-7,7,0,1,0,0,0,0,0,1,0,3,0,1,0.0,0,0,0,0.0,0,0.0,0.0,7,0.143,-0.143,0.143,0.143,0.286,-33.0,0.0,0.25,-0.044,-0.078,0.584,,0.0,0.0,0.429,0.0,0.429,0.0
2020,15204,2,1.0,02/22/2020,1831410,away,104,UC Santa Barbara,1,6,-5,24,1,4,0,1,0,1,1,0,7,10,0,6,0.0,0,0,0,0.0,0,1.0,2.791612903225807,31,0.167,0.417,0.355,0.292,0.647,46.0,0.125,0.286,3.38,3.24,3.34,0.0,0.091,0.0,0.323,0.226,0.097,0.7
2020,15204,2,1.0,02/22/2020,4936464,away,104,UC Santa Barbara,1,6,-5,6,0,0,0,0,0,0,0,0,0,5,0,0,0.0,0,0,0,0.0,0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,-0.58,-0.588,-0.576,,,0.0,0.833,0.0,0.833,0.0
2020,15204,2,1.0,02/23/2020,1831786,away,104,UC Santa Barbara,5,4,1,30,4,8,1,0,0,1,0,0,4,8,0,9,0.0,1,0,0,0.0,0,2.0,3.825714285714286,34,0.267,0.167,0.382,0.333,0.715,63.0,0.033,0.364,6.076,5.864,6.008,,0.308,0.0,0.235,0.118,0.117,0.5
2020,15204,2,1.0,02/23/2020,4937939,away,104,UC Santa Barbara,5,4,1,4,1,1,1,0,0,3,0,0,0,1,0,2,0.0,0,0,0,0.0,0,0.0,0.5,4,0.25,0.25,0.25,0.75,1.0,192.0,0.25,0.333,1.622,1.586,1.612,,1.0,0.0,0.25,0.0,0.25,0.0
2020,15204,2,1.0,02/27/2020,1832281,home,817,Youngstown St.,5,2,3,26,5,7,0,0,2,5,1,0,4,2,0,13,0.0,0,0,0,0.0,0,2.0,5.165333333333334,30,0.269,0.423,0.367,0.577,0.944,146.0,0.0,0.227,9.254,8.988,9.156,1.3,0.333,0.067,0.067,0.133,-0.066,2.0
2020,15204,2,1.0,02/27/2020,4941333,home,817,Youngstown St.,5,2,3,4,0,1,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0.0,0,0.0,0.25,4,0.25,0.0,0.25,0.25,0.5,18.0,0.0,0.333,0.562,0.536,0.552,,0.0,0.0,0.25,0.0,0.25,0.0
2020,15204,2,1.0,02/28/2020,1832555,home,817,Youngstown St.,2,4,-2,21,2,3,2,0,0,1,1,0,0,9,0,5,0.0,0,0,0,0.0,0,0.0,0.7390476190476191,21,0.143,0.143,0.143,0.333,0.476,34.0,0.095,0.25,3.128,3.006,3.092,0.0,0.667,0.0,0.429,0.0,0.429,0.0
2020,15204,2,1.0,02/28/2020,4942454,home,817,Youngstown St.,2,4,-2,10,0,2,1,0,0,0,0,0,0,0,0,3,0.0,0,0,0,0.0,0,0.0,0.6,10,0.2,0.1,0.2,0.4,0.6,64.0,0.1,0.2,2.02,1.926,1.972,,0.0,0.0,0.0,0.0,0.0,
2020,15204,2,1.0,02/29/2020,1832885,home,817,Youngstown St.,0,9,-9,20,0,1,0,0,0,0,0,0,2,5,0,1,0.0,2,0,0,0.0,0,1.0,0.425,22,0.05,0.1,0.227,0.05,0.277,-55.0,0.0,0.067,-0.23,-0.372,-0.304,,0.0,0.0,0.227,0.091,0.136,0.4
2020,15204,2,1.0,02/29/2020,4943868,home,817,Youngstown St.,0,9,-9,8,0,1,0,0,0,0,0,0,1,3,0,1,0.0,0,0,0,0.0,0,0.0,0.28,9,0.125,0.125,0.222,0.125,0.347,-29.0,0.0,0.2,0.186,0.144,0.168,,0.0,0.0,0.333,0.111,0.222,0.333
2020,15204,2,1.0,03/06/2020,1833958,away,508,Northwestern St.,1,7,-6,22,1,6,3,0,0,0,2,0,4,7,0,9,0.0,1,0,0,0.0,0,1.0,4.234814814814816,26,0.273,0.409,0.423,0.545,0.968,142.0,0.136,0.4,7.424,7.252,7.384,0.0,0.091,0.0,0.269,0.154,0.115,0.571
2020,15204,2,1.0,03/06/2020,4951264,away,508,Northwestern St.,1,7,-6,11,0,0,0,0,0,0,0,0,2,5,0,0,0.0,0,0,0,0.0,0,0.0,0.08,13,0.0,0.182,0.154,0.0,0.154,-81.0,0.0,0.0,-1.03,-1.078,-1.056,,0.0,0.0,0.385,0.154,0.231,0.4
2020,15204,2,1.0,03/07/2020,1834286,away,508,Northwestern St.,8,2,6,25,7,8,2,0,1,7,0,0,9,5,0,13,0.0,0,1,0,0.0,0,1.0,7.465714285714284,35,0.32,0.56,0.486,0.64,1.126,183.0,0.08,0.368,9.77,9.504,9.668,0.0,0.375,0.029,0.143,0.257,-0.114,1.8
