PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
7,1,8,0,0,1,0,0,0,0,02/24/2024,home,16580,574730,Augsburg,10,True,8,7,1,win,5249452,30031,2835307,2024,3
13,0,13,0,0,0,0,0,0,0,03/01/2024,home,16580,574835,Macalester,9,True,9,1,8,win,5250599,30031,2835307,2024,3
2,2,4,0,0,0,0,0,0,0,03/02/2024,home,16580,574740,Bethel (MN),9,True,4,6,-2,loss,5250722,30031,2835307,2024,3
4,0,4,0,0,1,0,0,0,0,03/08/2024,neutral,16580,574509,Penn St.-Behrend,9,True,2,9,-7,loss,4529334,30031,2835307,2024,3
5,0,5,0,0,0,0,0,0,0,03/15/2024,neutral,16580,574659,Lasell,9,True,0,1,-1,loss,4530945,30031,2835307,2024,3
6,1,7,0,0,0,0,0,0,0,03/15/2024,neutral,16580,574659,Lasell,9,True,3,5,-2,loss,4543031,30031,2835307,2024,3
4,0,4,0,0,0,0,0,0,0,03/19/2024,neutral,16580,574700,North Central (MN),9,True,16,0,16,win,5254550,30031,2835307,2024,3
11,1,13,1,0,0,0,0,1,0,03/21/2024,neutral,16580,574700,North Central (MN),9,True,10,0,10,win,5254735,30031,2835307,2024,3
10,0,10,0,0,0,2,0,0,0,04/02/2024,home,16580,574634,Minn.-Morris,9,True,9,2,7,win,4533884,30031,2835307,2024,3
13,0,13,0,0,0,0,0,0,0,04/03/2024,home,16580,574634,Minn.-Morris,9,True,3,6,-3,loss,4534305,30031,2835307,2024,3
10,0,10,0,0,0,0,0,0,0,04/03/2024,home,16580,574634,Minn.-Morris,9,True,2,3,-1,loss,4542928,30031,2835307,2024,3
6,0,6,0,0,0,0,0,0,0,04/05/2024,home,16580,574663,Martin Luther,9,True,11,2,9,win,4535156,30031,2835307,2024,3
3,0,3,0,0,0,0,0,0,0,04/06/2024,home,16580,574663,Martin Luther,9,True,22,5,17,win,4535544,30031,2835307,2024,3
3,0,3,0,0,2,0,0,0,0,04/06/2024,home,16580,574663,Martin Luther,9,True,8,4,4,win,4544550,30031,2835307,2024,3
8,1,9,0,0,0,1,1,0,0,04/12/2024,away,16580,574636,Northland,10,True,2,3,-1,loss,4536672,30031,2835307,2024,3
6,0,6,0,0,0,0,0,0,0,04/13/2024,away,16580,574636,Northland,9,True,15,1,14,win,4537053,30031,2835307,2024,3
5,0,6,1,0,0,0,0,0,0,04/13/2024,away,16580,574636,Northland,9,True,5,2,3,win,4545342,30031,2835307,2024,3
0,1,1,0,0,0,2,0,0,0,04/15/2024,away,16580,574531,Saint John's (MN),9,True,3,11,-8,loss,5254701,30031,2835307,2024,3
9,1,10,0,0,0,0,0,3,0,04/15/2024,away,16580,574531,Saint John's (MN),9,True,3,4,-1,loss,5254702,30031,2835307,2024,3
7,1,8,0,0,0,1,1,0,0,04/19/2024,away,16580,574699,Bethany Lutheran,9,True,11,4,7,win,4538178,30031,2835307,2024,3
8,1,9,0,0,0,1,1,0,0,04/27/2024,home,16580,574595,Wis.-Superior,9,True,11,2,9,win,4540259,30031,2835307,2024,3
9,0,9,0,0,0,0,0,0,0,04/27/2024,home,16580,574595,Wis.-Superior,9,True,4,3,1,win,4546025,30031,2835307,2024,3
5,0,5,0,0,0,1,0,0,0,05/03/2024,away,16580,574696,Crown (MN),9,True,5,6,-1,loss,4541028,30031,2835307,2024,3
3,1,5,1,0,1,4,1,0,0,05/04/2024,away,16580,574696,Crown (MN),9,True,11,7,4,win,4541345,30031,2835307,2024,3
5,0,5,0,0,0,0,0,0,0,05/04/2024,away,16580,574696,Crown (MN),9,True,8,2,6,win,4546527,30031,2835307,2024,3
4,2,6,0,0,0,1,1,0,0,05/09/2024,home,16580,574595,Wis.-Superior,9,True,0,12,-12,loss,5289440,30031,2835307,2024,3
15,0,15,0,0,0,0,0,0,0,05/10/2024,away,16580,574699,Bethany Lutheran,13,True,8,3,5,win,5334537,30031,2835307,2024,3
