PO,TC,A,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,02/27/2018,neutral,12973,8968,Eastern,9,True,4,9,-5,loss,87387,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,02/27/2018,neutral,12973,8968,Eastern,9,True,4,2,2,win,87406,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/01/2018,neutral,12973,399,Mass. Maritime,9,True,3,9,-6,loss,87533,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/01/2018,neutral,12973,399,Mass. Maritime,9,True,7,9,-2,loss,87546,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/02/2018,neutral,12973,8968,Eastern,9,True,9,1,8,win,87724,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/03/2018,neutral,12973,1064,Eastern Nazarene,9,True,5,15,-10,loss,88155,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/03/2018,neutral,12973,1064,Eastern Nazarene,9,True,2,7,-5,loss,88172,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/17/2018,home,12973,23725,Medaille,9,True,11,8,3,win,91740,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/17/2018,home,12973,23725,Medaille,9,True,15,9,6,win,91838,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/19/2018,home,12973,1315,Pitt.-Bradford,9,True,10,0,10,win,92493,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/19/2018,home,12973,1315,Pitt.-Bradford,9,True,17,5,12,win,92496,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/24/2018,home,12973,733,Utica,9,True,3,4,-1,loss,93341,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/24/2018,home,12973,733,Utica,9,True,10,6,4,win,93442,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/26/2018,home,12973,733,Utica,9,True,13,9,4,win,93974,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,03/28/2018,home,12973,78,SUNY Brockport,9,True,4,9,-5,loss,94331,30160,1997230,2018
1,2,0,1,0,0,0,0,0,0,04/02/2018,home,12973,30170,Alfred St.,9,True,13,6,7,win,95729,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/06/2018,away,12973,679,Stevens,9,True,5,6,-1,loss,96406,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/06/2018,away,12973,679,Stevens,9,True,7,8,-1,loss,96468,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/07/2018,away,12973,679,Stevens,9,True,3,7,-4,loss,96820,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/11/2018,home,12973,313,Ithaca,9,True,10,13,-3,loss,97900,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/13/2018,home,12973,30165,SUNY Canton,9,True,5,4,1,win,98298,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/14/2018,home,12973,30165,SUNY Canton,9,True,3,4,-1,loss,98811,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/14/2018,home,12973,30165,SUNY Canton,9,True,15,5,10,win,98996,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/20/2018,home,12973,213,Elmira,9,True,7,5,2,win,100126,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/21/2018,home,12973,213,Elmira,9,True,4,1,3,win,100613,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/21/2018,home,12973,213,Elmira,9,True,15,6,9,win,100816,30160,1997230,2018
2,2,0,0,0,0,0,0,0,0,04/23/2018,away,12973,313,Ithaca,9,True,3,2,1,win,101458,30160,1997230,2018
1,1,0,0,0,0,0,0,0,0,04/23/2018,away,12973,313,Ithaca,9,True,7,9,-2,loss,101494,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/27/2018,away,12973,601,St. John Fisher,9,True,3,16,-13,loss,102257,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/28/2018,away,12973,601,St. John Fisher,9,True,3,0,3,win,102491,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,04/28/2018,away,12973,601,St. John Fisher,9,True,5,10,-5,loss,102715,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,05/10/2018,away,12973,679,Stevens,9,True,2,4,-2,loss,105116,30160,1997230,2018
0,0,0,0,0,0,0,0,0,0,05/11/2018,neutral,12973,601,St. John Fisher,9,True,7,13,-6,loss,105382,30160,1997230,2018
