TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
2,2,4,0,0,0,0,0,1,0,02/24/2017,away,12560,346,Lamar University,9,True,7,6,1,win,206971,220,1528627,2017
2,3,5,0,0,0,0,0,1,0,02/25/2017,away,12560,346,Lamar University,9,True,1,5,-4,loss,207446,220,1528627,2017
2,2,5,1,0,0,0,0,1,0,02/25/2017,away,12560,346,Lamar University,9,True,9,19,-10,loss,207583,220,1528627,2017
0,3,3,0,0,0,0,0,1,0,02/26/2017,away,12560,346,Lamar University,9,True,6,2,4,win,207724,220,1528627,2017
2,2,4,0,0,0,0,0,1,0,03/03/2017,away,12560,740,VCU,9,True,3,4,-1,loss,208500,220,1528627,2017
4,4,8,0,0,0,0,0,1,0,03/04/2017,away,12560,740,VCU,13,True,4,5,-1,loss,208977,220,1528627,2017
1,2,3,0,0,0,0,0,2,0,03/05/2017,away,12560,740,VCU,9,True,1,2,-1,loss,209400,220,1528627,2017
4,3,9,2,0,0,0,0,2,0,03/11/2017,neutral,12560,540,Penn,9,True,3,6,-3,loss,210744,220,1528627,2017
0,4,4,0,0,0,0,0,1,0,03/11/2017,neutral,12560,540,Penn,9,True,7,5,2,win,210770,220,1528627,2017
2,0,2,0,0,0,0,0,0,0,03/12/2017,neutral,12560,540,Penn,9,True,0,8,-8,loss,211025,220,1528627,2017
2,1,3,0,0,0,0,0,1,0,03/14/2017,away,12560,61,Bethune-Cookman,9,True,5,9,-4,loss,211352,220,1528627,2017
0,2,2,0,0,0,0,0,0,0,03/15/2017,away,12560,61,Bethune-Cookman,9,True,5,7,-2,loss,211507,220,1528627,2017
5,2,8,1,0,0,0,0,0,0,03/17/2017,away,12560,678,Stetson,9,True,5,2,3,win,211710,220,1528627,2017
1,5,6,0,0,0,0,0,2,0,03/18/2017,away,12560,678,Stetson,9,True,6,0,6,win,212025,220,1528627,2017
1,1,2,0,0,0,0,0,0,0,03/19/2017,away,12560,678,Stetson,9,True,0,3,-3,loss,212500,220,1528627,2017
2,0,2,0,0,0,0,0,0,0,03/24/2017,away,12560,576,Rider,9,True,5,6,-1,loss,213637,220,1528627,2017
1,2,3,0,0,0,0,0,0,0,03/25/2017,away,12560,576,Rider,9,True,1,0,1,win,213866,220,1528627,2017
3,4,7,0,0,0,0,0,1,0,03/25/2017,away,12560,576,Rider,9,True,9,1,8,win,214008,220,1528627,2017
2,3,6,1,0,0,0,0,2,0,03/29/2017,home,12560,164,UConn,9,True,1,6,-5,loss,214977,220,1528627,2017
0,1,2,1,0,0,0,0,0,0,04/02/2017,home,12560,272,Hartford,9,True,7,3,4,win,216402,220,1528627,2017
4,4,8,0,0,0,0,0,0,0,04/02/2017,home,12560,272,Hartford,9,True,3,4,-1,loss,216471,220,1528627,2017
