PO,TC,A,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
4,0,4,0,0,0,0,0,0,0,03/25/2017,away,12560,533,Pace,9,True,0,4,-4,loss,213931,613,1540178,2017
4,0,4,0,0,0,0,0,0,0,03/25/2017,away,12560,533,Pace,9,True,2,14,-12,loss,214077,613,1540178,2017
0,0,0,0,0,0,0,0,0,0,03/26/2017,away,12560,3,Adelphi,9,True,5,12,-7,loss,214526,613,1540178,2017
1,0,1,0,0,0,0,0,0,0,03/26/2017,away,12560,3,Adelphi,9,True,2,9,-7,loss,214570,613,1540178,2017
0,0,0,0,0,0,0,0,0,0,04/05/2017,neutral,12560,593,St. Anselm,9,True,2,7,-5,loss,216999,613,1540178,2017
4,0,4,0,0,0,0,0,0,0,04/07/2017,away,12560,56,Bentley,9,True,2,7,-5,loss,217240,613,1540178,2017
0,0,0,0,0,0,0,0,0,0,04/08/2017,away,12560,56,Bentley,9,True,5,11,-6,loss,217565,613,1540178,2017
0,0,0,0,0,0,0,0,0,0,04/08/2017,away,12560,56,Bentley,9,True,4,5,-1,loss,217770,613,1540178,2017
0,0,0,0,0,0,0,0,0,0,04/09/2017,home,12560,22,American Int'l,9,True,5,8,-3,loss,218412,613,1540178,2017
3,0,3,0,0,0,0,0,0,0,04/09/2017,home,12560,22,American Int'l,9,True,3,14,-11,loss,218451,613,1540178,2017
0,0,0,0,0,0,0,0,0,0,04/11/2017,away,12560,241,Franklin Pierce,9,True,1,10,-9,loss,218678,613,1540178,2017
1,0,1,0,0,0,0,0,0,0,04/12/2017,home,12560,468,Southern N.H.,9,True,5,15,-10,loss,219021,613,1540178,2017
0,0,0,0,0,0,0,0,0,0,04/14/2017,home,12560,36,Assumption,9,True,7,2,5,win,219422,613,1540178,2017
4,0,4,0,0,0,0,0,0,0,04/15/2017,home,12560,36,Assumption,9,True,6,11,-5,loss,220053,613,1540178,2017
1,0,1,0,0,0,0,0,0,0,04/15/2017,home,12560,36,Assumption,9,True,8,15,-7,loss,220212,613,1540178,2017
3,0,3,0,0,0,0,0,0,0,04/18/2017,away,12560,593,St. Anselm,9,True,4,6,-2,loss,220699,613,1540178,2017
1,0,1,0,0,0,0,0,0,0,04/20/2017,away,12560,420,Middlebury,9,True,1,8,-7,loss,221059,613,1540178,2017
3,0,4,1,0,0,0,0,0,0,04/22/2017,away,12560,410,Merrimack,9,True,3,12,-9,loss,221579,613,1540178,2017
0,0,0,0,0,0,0,0,0,0,04/22/2017,away,12560,410,Merrimack,9,True,2,3,-1,loss,221760,613,1540178,2017
0,0,0,0,0,0,0,0,0,0,04/23/2017,away,12560,410,Merrimack,9,True,6,7,-1,loss,222090,613,1540178,2017
0,0,0,0,0,0,0,0,0,0,04/27/2017,away,12560,0,St. Joseph (VT),9,True,0,9,-9,loss,223025,613,1540178,2017
4,0,4,0,0,0,0,0,0,0,04/28/2017,away,12560,468,Southern N.H.,9,True,5,6,-1,loss,223237,613,1540178,2017
1,0,1,0,0,0,0,0,0,0,04/28/2017,away,12560,468,Southern N.H.,9,True,2,6,-4,loss,223325,613,1540178,2017
2,0,2,0,0,0,0,0,0,0,04/29/2017,home,12560,682,Stonehill,9,True,5,1,4,win,223540,613,1540178,2017
0,0,0,0,0,0,0,0,0,0,04/30/2017,home,12560,682,Stonehill,9,True,7,18,-11,loss,224199,613,1540178,2017
2,0,2,0,0,0,0,0,0,0,04/30/2017,home,12560,682,Stonehill,9,True,5,3,2,win,224240,613,1540178,2017
5,0,5,0,0,0,0,0,0,0,05/03/2017,away,12560,241,Franklin Pierce,9,True,1,13,-12,loss,224600,613,1540178,2017
4,0,5,1,0,0,0,0,0,0,05/03/2017,away,12560,241,Franklin Pierce,9,True,2,6,-4,loss,224614,613,1540178,2017
5,0,5,0,0,0,0,0,0,0,05/04/2017,home,12560,593,St. Anselm,10,True,6,5,1,win,224670,613,1540178,2017
