PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
2,0,2,0,0,0,0,0,0,0,03/01/2024,away,16580,433,Ole Miss,9,True,13,7,6,win,4492953,312,2655131,2024,1
2,0,2,0,0,0,0,0,0,0,03/05/2024,home,16580,620,St. Thomas (MN),9,True,9,3,6,win,4492956,312,2655131,2024,1
3,0,4,1,1,0,1,0,0,0,03/08/2024,away,16580,315,Jacksonville St.,9,True,4,5,-1,loss,5252670,312,2655131,2024,1
5,0,5,0,0,0,0,0,0,0,03/09/2024,away,16580,315,Jacksonville St.,9,True,20,1,19,win,5252665,312,2655131,2024,1
3,0,3,0,0,0,0,0,0,0,03/15/2024,home,16580,771,Western Ill.,9,True,11,1,10,win,4492961,312,2655131,2024,1
1,0,1,0,0,0,0,0,0,0,03/16/2024,home,16580,771,Western Ill.,9,True,19,9,10,win,4492963,312,2655131,2024,1
8,0,8,0,0,0,0,0,0,0,03/19/2024,home,16580,0,Grand View,9,True,25,3,22,win,5254324,312,2655131,2024,1
3,0,3,0,0,0,1,0,0,0,03/23/2024,away,16580,559,Purdue,9,True,4,3,1,win,4492438,312,2655131,2024,1
3,0,3,0,0,0,0,0,0,0,03/24/2024,away,16580,559,Purdue,9,True,9,6,3,win,4492439,312,2655131,2024,1
4,0,4,0,0,0,0,0,0,0,03/30/2024,home,16580,428,Minnesota,9,True,14,6,8,win,4491928,312,2655131,2024,1
1,0,1,0,0,0,0,0,0,0,03/31/2024,home,16580,428,Minnesota,9,True,10,4,6,win,4491929,312,2655131,2024,1
13,1,14,0,0,0,1,0,0,0,04/06/2024,home,16580,418,Michigan,9,True,3,4,-1,loss,4492281,312,2655131,2024,1
3,0,3,0,0,0,0,0,0,0,04/10/2024,home,16580,620,St. Thomas (MN),9,True,17,11,6,win,4492966,312,2655131,2024,1
8,0,8,0,0,0,1,0,0,0,04/13/2024,away,16580,518,Ohio St.,9,True,3,2,1,win,4492968,312,2655131,2024,1
6,1,7,0,0,0,0,1,0,0,04/14/2024,away,16580,518,Ohio St.,9,True,1,11,-10,loss,4492969,312,2655131,2024,1
1,0,1,0,0,0,0,0,0,0,04/17/2024,home,16580,72,Bradley,9,True,11,6,5,win,4492970,312,2655131,2024,1
3,0,3,0,0,0,0,0,0,0,04/19/2024,home,16580,587,Rutgers,9,True,8,1,7,win,4492971,312,2655131,2024,1
9,1,10,0,0,0,1,0,0,0,04/20/2024,home,16580,587,Rutgers,9,True,15,5,10,win,4492972,312,2655131,2024,1
12,3,15,0,0,0,0,0,0,0,04/21/2024,home,16580,587,Rutgers,9,True,5,1,4,win,4492973,312,2655131,2024,1
5,0,5,0,0,0,0,0,0,0,04/23/2024,home,16580,797,Milwaukee,9,True,12,6,6,win,4492985,312,2655131,2024,1
10,0,10,0,0,0,5,0,0,0,04/26/2024,away,16580,463,Nebraska,9,True,4,7,-3,loss,4492974,312,2655131,2024,1
14,2,16,0,0,0,1,0,0,0,04/28/2024,away,16580,463,Nebraska,9,True,4,1,3,win,4492976,312,2655131,2024,1
4,1,5,0,0,0,2,0,0,0,05/01/2024,home,16580,493,North Dakota St.,9,True,14,21,-7,loss,4492978,312,2655131,2024,1
13,2,15,0,0,0,0,2,0,0,05/03/2024,home,16580,509,Northwestern,9,True,4,3,1,win,4492562,312,2655131,2024,1
12,2,14,0,0,0,0,0,0,0,05/04/2024,home,16580,509,Northwestern,9,True,9,2,7,win,4492563,312,2655131,2024,1
14,0,14,0,0,0,0,0,0,0,05/05/2024,home,16580,509,Northwestern,13,True,6,5,1,win,4492564,312,2655131,2024,1
11,1,12,0,0,0,0,1,0,0,05/10/2024,away,16580,301,Illinois,9,True,5,10,-5,loss,4492236,312,2655131,2024,1
10,1,11,0,0,0,0,0,0,0,05/11/2024,away,16580,301,Illinois,9,True,10,4,6,win,4492237,312,2655131,2024,1
3,0,3,0,0,0,0,0,0,0,05/12/2024,away,16580,301,Illinois,9,True,3,6,-3,loss,4492238,312,2655131,2024,1
8,1,9,0,0,0,0,0,0,0,05/16/2024,neutral,16580,231,FIU,9,True,1,2,-1,loss,4492980,312,2655131,2024,1
7,0,7,0,0,0,0,0,0,0,05/17/2024,neutral,16580,231,FIU,9,True,15,2,13,win,4492982,312,2655131,2024,1
6,0,6,0,0,0,0,0,0,0,05/18/2024,neutral,16580,231,FIU,9,True,16,4,12,win,4492983,312,2655131,2024,1
10,6,17,1,0,0,0,1,1,0,05/22/2024,neutral,16580,418,Michigan,10,True,2,3,-1,loss,5335690,312,2655131,2024,1
