PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
0,2,2,0,0,0,0,0,0,0,02/16/2024,neutral,16580,574129,Minnesota,12,True,7,8,-1,loss,4491908,94,2946747,2024,1
1,3,4,0,0,0,0,0,0,0,02/17/2024,neutral,16580,574149,New Mexico,9,True,3,4,-1,loss,4525848,94,2946747,2024,1
1,2,3,0,0,0,0,0,2,0,02/19/2024,neutral,16580,574149,New Mexico,9,True,2,6,-4,loss,4526277,94,2946747,2024,1
3,3,6,0,0,0,0,0,0,0,02/22/2024,neutral,16580,574133,Missouri,9,True,3,6,-3,loss,4526450,94,2946747,2024,1
0,0,1,1,0,0,0,0,0,0,02/24/2024,home,16580,574200,San Diego St.,9,True,6,11,-5,loss,4526826,94,2946747,2024,1
1,1,2,0,0,0,0,0,0,0,02/25/2024,neutral,16580,573947,Utah,11,True,5,6,-1,loss,4527441,94,2946747,2024,1
2,1,4,1,0,0,0,0,1,0,03/01/2024,home,16580,574202,San Francisco,9,True,7,11,-4,loss,4527797,94,2946747,2024,1
1,1,2,0,0,0,0,0,0,0,03/02/2024,home,16580,574202,San Francisco,9,True,6,4,2,win,5281981,94,2946747,2024,1
1,2,3,0,0,0,0,0,0,0,03/08/2024,home,16580,574147,NJIT,9,True,3,7,-4,loss,4529268,94,2946747,2024,1
0,2,2,0,0,0,0,0,1,0,03/09/2024,home,16580,574147,NJIT,9,True,10,6,4,win,4543342,94,2946747,2024,1
0,2,3,1,0,0,0,0,0,0,03/12/2024,away,16580,574178,Pepperdine,9,True,8,10,-2,loss,4530352,94,2946747,2024,1
0,1,1,0,0,0,0,0,0,0,03/16/2024,home,16580,574081,Hawaii,9,True,7,11,-4,loss,4531148,94,2946747,2024,1
1,1,2,0,0,0,0,0,0,0,03/17/2024,home,16580,574081,Hawaii,9,True,3,2,1,win,4531565,94,2946747,2024,1
0,1,1,0,0,0,0,0,0,0,04/06/2024,home,16580,574026,Cal St. Fullerton,9,True,1,0,1,win,4535152,94,2946747,2024,1
0,2,2,0,0,0,0,0,0,0,04/06/2024,home,16580,574026,Cal St. Fullerton,9,True,5,13,-8,loss,4535448,94,2946747,2024,1
1,0,1,0,0,0,0,0,0,0,04/07/2024,home,16580,574026,Cal St. Fullerton,9,True,5,4,1,win,4535907,94,2946747,2024,1
2,0,2,0,0,0,0,0,0,0,04/09/2024,away,16580,574174,Pacific,9,True,1,11,-10,loss,4536228,94,2946747,2024,1
0,1,1,0,0,0,0,0,0,0,04/12/2024,away,16580,574023,Cal Poly,9,True,2,7,-5,loss,5282234,94,2946747,2024,1
0,1,1,0,0,0,0,0,0,0,04/12/2024,away,16580,574023,Cal Poly,9,True,5,0,5,win,4536668,94,2946747,2024,1
0,3,3,0,0,0,0,0,0,0,04/15/2024,away,16580,574023,Cal Poly,11,True,4,5,-1,loss,4537417,94,2946747,2024,1
0,1,1,0,0,0,0,0,0,0,04/19/2024,home,16580,574229,UC San Diego,11,True,1,2,-1,loss,4538163,94,2946747,2024,1
1,0,1,0,0,0,0,0,0,0,04/20/2024,home,16580,574229,UC San Diego,9,True,5,6,-1,loss,4538440,94,2946747,2024,1
0,2,2,0,0,0,0,0,0,0,04/21/2024,home,16580,574229,UC San Diego,9,True,6,11,-5,loss,4538908,94,2946747,2024,1
2,3,6,1,0,0,0,0,0,0,04/26/2024,away,16580,574028,CSUN,9,True,3,5,-2,loss,4539584,94,2946747,2024,1
0,3,3,0,0,0,0,0,0,0,04/27/2024,away,16580,574028,CSUN,9,True,4,5,-1,loss,4539889,94,2946747,2024,1
4,2,6,0,0,0,0,0,0,0,04/28/2024,away,16580,574028,CSUN,9,True,0,3,-3,loss,4540327,94,2946747,2024,1
1,0,1,0,0,0,0,0,0,0,04/30/2024,home,16580,574174,Pacific,9,True,11,1,10,win,4540613,94,2946747,2024,1
2,2,4,0,0,0,0,0,0,0,05/03/2024,away,16580,574035,UC Riverside,9,True,6,1,5,win,4540935,94,2946747,2024,1
1,2,3,0,0,0,0,0,1,0,05/05/2024,away,16580,574035,UC Riverside,9,True,0,3,-3,loss,4541448,94,2946747,2024,1
0,2,2,0,0,0,0,0,0,0,05/11/2024,home,16580,574030,UC Santa Barbara,9,True,7,15,-8,loss,4541845,94,2946747,2024,1
0,2,3,1,0,0,0,0,1,0,05/14/2024,away,16580,574025,Fresno St.,9,True,4,2,2,win,4542155,94,2946747,2024,1
