PO,A,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,3,0,0,0,0,0,0,0,02/06/2016,home,12360,785,Willamette,9,True,8,0,8,win,291708,1179,1435539,2016
0,0,0,0,0,0,0,0,0,02/06/2016,home,12360,557,Puget Sound,9,True,6,1,5,win,291709,1179,1435539,2016
3,2,0,0,0,0,0,0,0,02/07/2016,home,12360,1297,Pacific Lutheran,9,True,5,0,5,win,291878,1179,1435539,2016
0,4,0,0,0,0,0,0,0,02/07/2016,home,12360,780,Whitman,9,True,7,1,6,win,291879,1179,1435539,2016
0,1,0,0,0,0,0,0,0,02/12/2016,neutral,12360,567,Redlands,9,True,2,7,-5,loss,292081,1179,1435539,2016
0,2,0,0,0,0,0,0,0,02/13/2016,neutral,12360,341,La Verne,9,True,13,3,10,win,292232,1179,1435539,2016
1,2,0,0,0,0,0,0,0,02/13/2016,neutral,12360,341,La Verne,9,True,4,5,-1,loss,292235,1179,1435539,2016
0,1,0,0,0,0,0,0,0,02/14/2016,neutral,12360,567,Redlands,9,True,17,3,14,win,292328,1179,1435539,2016
1,3,0,0,0,0,0,0,0,02/20/2016,away,12360,1297,Pacific Lutheran,9,True,7,2,5,win,292860,1179,1435539,2016
0,0,0,0,0,0,0,0,0,02/20/2016,away,12360,1297,Pacific Lutheran,9,True,3,8,-5,loss,292968,1179,1435539,2016
2,1,0,0,0,0,0,0,0,02/21/2016,away,12360,1297,Pacific Lutheran,9,True,2,5,-3,loss,293238,1179,1435539,2016
0,2,0,0,0,0,0,0,0,02/27/2016,home,12360,557,Puget Sound,9,True,5,9,-4,loss,293908,1179,1435539,2016
1,2,0,0,0,0,0,0,0,02/27/2016,home,12360,557,Puget Sound,9,True,4,3,1,win,294009,1179,1435539,2016
1,6,0,0,0,0,0,0,0,02/28/2016,home,12360,557,Puget Sound,9,True,11,5,6,win,294308,1179,1435539,2016
0,0,1,0,0,0,0,0,0,03/05/2016,away,12360,22235,Lewis & Clark,10,True,3,4,-1,loss,295387,1179,1435539,2016
1,3,0,0,0,0,0,0,0,03/05/2016,away,12360,22235,Lewis & Clark,9,True,15,2,13,win,295503,1179,1435539,2016
0,0,0,0,0,0,0,0,0,03/06/2016,away,12360,22235,Lewis & Clark,9,True,9,0,9,win,296113,1179,1435539,2016
0,3,0,0,0,0,0,0,0,03/11/2016,neutral,12360,759,Webster,9,True,1,7,-6,loss,297036,1179,1435539,2016
1,0,0,0,0,0,0,0,0,03/12/2016,neutral,12360,759,Webster,9,True,5,0,5,win,297563,1179,1435539,2016
0,1,0,0,0,0,0,0,0,03/12/2016,neutral,12360,759,Webster,9,True,5,4,1,win,297583,1179,1435539,2016
0,1,0,0,0,0,0,0,0,03/13/2016,away,12360,549,Pomona-Pitzer,9,True,3,4,-1,loss,297817,1179,1435539,2016
0,2,1,0,0,0,0,0,0,03/18/2016,home,12360,2751,Pacific (OR),9,True,0,16,-16,loss,298923,1179,1435539,2016
0,1,0,0,0,0,0,0,0,03/19/2016,home,12360,2751,Pacific (OR),9,True,5,10,-5,loss,299134,1179,1435539,2016
0,2,0,0,0,0,0,1,0,03/19/2016,home,12360,2751,Pacific (OR),10,True,4,5,-1,loss,299254,1179,1435539,2016
1,1,0,0,0,0,0,0,0,03/25/2016,away,12360,785,Willamette,9,True,9,1,8,win,300785,1179,1435539,2016
1,0,0,0,0,0,0,0,0,03/25/2016,away,12360,785,Willamette,9,True,4,5,-1,loss,300851,1179,1435539,2016
0,3,1,0,0,0,0,0,0,03/26/2016,away,12360,785,Willamette,9,True,7,3,4,win,301031,1179,1435539,2016
0,4,0,0,0,0,0,0,0,04/02/2016,home,12360,1454,Whitworth,9,True,4,7,-3,loss,302668,1179,1435539,2016
2,0,0,0,0,0,0,0,0,04/02/2016,home,12360,1454,Whitworth,9,True,8,2,6,win,302842,1179,1435539,2016
1,4,0,0,0,0,0,0,0,04/03/2016,home,12360,1454,Whitworth,9,True,5,2,3,win,303125,1179,1435539,2016
0,0,0,0,0,0,0,0,0,04/06/2016,away,12360,2751,Pacific (OR),9,True,4,5,-1,loss,303779,1179,1435539,2016
1,3,0,0,0,0,0,1,0,04/09/2016,away,12360,780,Whitman,9,True,8,4,4,win,304474,1179,1435539,2016
0,5,0,0,0,0,0,0,0,04/09/2016,away,12360,780,Whitman,10,True,6,3,3,win,304613,1179,1435539,2016
0,1,0,0,0,0,0,0,0,04/10/2016,away,12360,780,Whitman,9,True,15,11,4,win,304871,1179,1435539,2016
1,2,0,0,0,0,0,1,0,04/16/2016,home,12360,1094,George Fox,9,True,1,6,-5,loss,306399,1179,1435539,2016
1,2,0,0,0,0,0,0,0,04/16/2016,home,12360,1094,George Fox,9,True,10,5,5,win,306641,1179,1435539,2016
0,6,0,0,0,0,0,0,0,04/17/2016,home,12360,1094,George Fox,9,True,16,7,9,win,307012,1179,1435539,2016
0,2,0,0,0,0,0,0,0,04/29/2016,home,12360,1094,George Fox,9,True,3,0,3,win,310225,1179,1435539,2016
0,3,0,0,0,0,0,0,0,04/30/2016,home,12360,1297,Pacific Lutheran,11,True,6,5,1,win,310361,1179,1435539,2016
1,1,0,0,0,0,0,0,0,05/01/2016,home,12360,1094,George Fox,9,True,14,5,9,win,311144,1179,1435539,2016
