PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,0,1,0,0,0,0,0,0,0,05/07/2022,away,15860,354,Lewis,9,True,14,0,14,win,2183154,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,05/07/2022,away,15860,354,Lewis,9,True,1,2,-1,loss,2187433,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,05/08/2022,away,15860,354,Lewis,9,True,6,5,1,win,2183349,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,05/12/2022,neutral,15860,591,Saginaw Valley,9,True,10,4,6,win,2273674,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,05/13/2022,neutral,15860,510,Northwood,9,True,7,4,3,win,2274463,757,2467061,2022
1,0,1,0,0,0,0,0,0,0,05/14/2022,home,15860,30222,Purdue Northwest,12,True,5,7,-2,loss,2274603,757,2467061,2022
1,0,1,0,0,0,0,0,0,0,05/14/2022,neutral,15860,30221,Davenport,9,True,5,8,-3,loss,2274688,757,2467061,2022
1,0,1,0,0,0,0,0,0,0,05/19/2022,home,15860,30141,Walsh,9,True,3,6,-3,loss,2274803,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,05/20/2022,away,15860,35,Ashland,9,True,10,3,7,win,2275168,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,05/21/2022,home,15860,30141,Walsh,9,True,15,11,4,win,2275644,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,05/22/2022,away,15860,30050,Ill. Springfield,9,True,3,6,-3,loss,2275460,757,2467061,2022
