TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,02/03/2017,away,12560,549,Pomona-Pitzer,9,True,0,6,-6,loss,205040,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,02/04/2017,away,12560,549,Pomona-Pitzer,9,True,4,7,-3,loss,205148,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,02/04/2017,away,12560,549,Pomona-Pitzer,9,True,9,6,3,win,205191,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,02/05/2017,away,12560,781,Whittier,9,True,3,4,-1,loss,205258,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,02/11/2017,neutral,12560,785,Willamette,9,True,1,3,-2,loss,205587,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,02/11/2017,neutral,12560,1454,Whitworth,9,True,7,2,5,win,205588,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,02/12/2017,neutral,12560,22235,Lewis & Clark,9,True,10,9,1,win,205707,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,02/17/2017,home,12560,1297,Pacific Lutheran,9,True,5,2,3,win,205982,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,02/18/2017,home,12560,1297,Pacific Lutheran,9,True,3,16,-13,loss,206312,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,02/19/2017,home,12560,1297,Pacific Lutheran,9,True,0,1,-1,loss,206483,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,02/25/2017,away,12560,142,Claremont-M-S,9,True,3,1,2,win,207467,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,02/25/2017,away,12560,142,Claremont-M-S,9,True,2,6,-4,loss,207591,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,03/05/2017,away,12560,22235,Lewis & Clark,9,True,3,7,-4,loss,209355,557,1895571,2017
0,0,0,0,0,0,0,1,0,0,03/12/2017,home,12560,1179,Linfield,9,True,3,7,-4,loss,209355,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,03/12/2017,home,12560,1179,Linfield,9,True,2,1,1,win,211116,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,03/18/2017,neutral,12560,2751,Pacific (OR),9,True,2,4,-2,loss,212452,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,03/19/2017,away,12560,2751,Pacific (OR),9,True,5,4,1,win,212784,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,03/19/2017,away,12560,2751,Pacific (OR),9,True,3,0,3,win,212817,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,03/25/2017,home,12560,1454,Whitworth,9,True,4,1,3,win,214092,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,03/25/2017,home,12560,1454,Whitworth,11,True,7,9,-2,loss,214194,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,03/27/2017,home,12560,1454,Whitworth,9,True,2,6,-4,loss,214706,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,03/29/2017,away,12560,22235,Lewis & Clark,9,True,2,3,-1,loss,215088,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,03/29/2017,away,12560,22235,Lewis & Clark,9,True,7,6,1,win,215129,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/01/2017,away,12560,780,Whitman,9,True,6,10,-4,loss,215576,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/01/2017,away,12560,780,Whitman,10,True,5,6,-1,loss,215721,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/02/2017,away,12560,780,Whitman,9,True,2,12,-10,loss,216021,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/04/2017,home,12560,1297,Pacific Lutheran,9,True,4,2,2,win,216782,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/08/2017,home,12560,785,Willamette,9,True,3,2,1,win,217545,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/08/2017,home,12560,785,Willamette,9,True,4,7,-3,loss,217868,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/09/2017,home,12560,785,Willamette,9,True,0,6,-6,loss,218109,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/11/2017,home,12560,1179,Linfield,9,True,1,5,-4,loss,218813,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/13/2017,home,12560,105,Cal Lutheran,9,True,4,9,-5,loss,219134,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/14/2017,away,12560,1094,George Fox,9,True,2,13,-11,loss,219527,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/14/2017,away,12560,1094,George Fox,9,True,2,3,-1,loss,219637,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/15/2017,away,12560,1094,George Fox,9,True,3,6,-3,loss,219882,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/29/2017,home,12560,1454,Whitworth,11,True,1,2,-1,loss,223854,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/29/2017,home,12560,1454,Whitworth,9,True,3,1,2,win,223939,557,1895571,2017
0,0,0,0,0,0,0,0,0,0,04/30/2017,home,12560,1454,Whitworth,9,True,4,3,1,win,224113,557,1895571,2017
