PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
5,0,5,0,0,0,0,0,1,0,03/01/2024,home,16580,142,Claremont-M-S,9,True,14,1,13,win,4527910,549,2669671,2024,3
7,0,7,0,0,0,0,0,2,0,03/03/2024,away,16580,142,Claremont-M-S,9,True,5,0,5,win,4528214,549,2669671,2024,3
8,3,11,0,0,0,0,0,0,0,03/03/2024,away,16580,142,Claremont-M-S,9,True,3,4,-1,loss,4543294,549,2669671,2024,3
5,0,5,0,0,0,0,0,0,0,03/08/2024,away,16580,567,Redlands,9,True,15,3,12,win,4529399,549,2669671,2024,3
8,0,8,0,0,0,0,0,3,0,03/09/2024,home,16580,567,Redlands,9,True,11,6,5,win,4529733,549,2669671,2024,3
6,1,7,0,0,0,0,0,0,0,03/09/2024,home,16580,567,Redlands,9,True,20,12,8,win,4543844,549,2669671,2024,3
8,1,9,0,0,0,0,0,0,0,03/16/2024,home,16580,717,Tufts,9,True,4,5,-1,loss,4531391,549,2669671,2024,3
8,0,8,0,0,0,0,0,0,0,03/17/2024,home,16580,717,Tufts,9,True,10,0,10,win,4531694,549,2669671,2024,3
2,0,2,0,0,0,0,0,0,0,03/17/2024,home,16580,717,Tufts,9,True,13,2,11,win,4543210,549,2669671,2024,3
10,0,10,0,0,0,0,0,1,0,03/18/2024,home,16580,172,Dartmouth,9,True,9,3,6,win,4531803,549,2669671,2024,3
