TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,03/05/2017,neutral,12560,30173,Iowa Wesleyan,9,True,5,1,4,win,209197,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,03/06/2017,neutral,12560,8597,Martin Luther,9,True,2,1,1,win,209512,214,1555615,2017
1,2,1,0,0,0,0,0,0,0,03/06/2017,neutral,12560,8597,Martin Luther,9,True,5,0,5,win,209491,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,03/07/2017,neutral,12560,23624,Cazenovia,9,True,1,0,1,win,209678,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,03/07/2017,neutral,12560,23624,Cazenovia,9,True,1,4,-3,loss,209683,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,03/09/2017,neutral,12560,467,New England Col.,9,True,10,0,10,win,210014,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,03/10/2017,neutral,12560,806,Wittenberg,9,True,2,10,-8,loss,210258,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,03/11/2017,neutral,12560,762,Wentworth,9,True,4,3,1,win,210746,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,03/11/2017,neutral,12560,762,Wentworth,9,True,8,2,6,win,210772,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,03/23/2017,away,12560,571,Rhode Island Col.,9,True,4,11,-7,loss,213387,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,03/25/2017,away,12560,145,Clark (MA),9,True,4,3,1,win,213968,214,1555615,2017
0,0,0,0,0,0,1,0,0,0,03/25/2017,away,12560,145,Clark (MA),9,True,5,6,-1,loss,214114,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,03/28/2017,away,12560,808,WPI,9,True,4,7,-3,loss,214926,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,04/05/2017,away,12560,21772,Newbury,9,True,2,4,-2,loss,216803,214,1555615,2017
0,2,1,1,0,0,0,0,0,0,04/08/2017,home,12560,398,MIT,9,True,1,21,-20,loss,217587,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,04/08/2017,home,12560,398,MIT,9,True,4,6,-2,loss,217928,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,04/09/2017,home,12560,722,Coast Guard,9,True,3,12,-9,loss,218262,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,04/09/2017,home,12560,722,Coast Guard,9,True,1,5,-4,loss,218354,214,1555615,2017
0,0,0,0,0,0,2,0,0,0,04/11/2017,away,12560,673,Springfield,9,True,8,19,-11,loss,218855,214,1555615,2017
0,0,0,0,0,0,1,0,0,0,04/13/2017,home,12560,808,WPI,9,True,12,13,-1,loss,219153,214,1555615,2017
0,1,0,1,0,0,0,0,0,0,04/14/2017,home,12560,779,Wheaton (MA),9,True,0,5,-5,loss,219432,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,04/15/2017,away,12560,779,Wheaton (MA),9,True,1,21,-20,loss,220041,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,04/15/2017,away,12560,779,Wheaton (MA),9,True,1,12,-11,loss,220199,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,04/18/2017,home,12560,673,Springfield,9,True,1,3,-2,loss,220693,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,04/19/2017,away,12560,1099,Gordon,9,True,7,10,-3,loss,220907,214,1555615,2017
0,1,1,0,0,0,0,0,0,0,04/20/2017,away,12560,398,MIT,9,True,2,5,-3,loss,221085,214,1555615,2017
0,0,0,0,0,0,0,0,0,0,04/22/2017,away,12560,45,Babson,9,True,2,3,-1,loss,221635,214,1555615,2017
0,1,1,0,0,0,1,0,0,0,04/22/2017,away,12560,45,Babson,9,True,1,4,-3,loss,221812,214,1555615,2017
0,1,1,0,0,0,0,1,0,0,04/24/2017,home,12560,45,Babson,9,True,2,5,-3,loss,222546,214,1555615,2017
