PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
8,1,10,1,0,0,3,1,0,0,03/16/2021,neutral,15580,804,Wis.-Superior,9,True,1,2,-1,loss,2041415,1226,2006021,2021
0,0,0,0,0,0,0,0,0,0,03/16/2021,neutral,15580,804,Wis.-Superior,9,True,3,4,-1,loss,2041416,1226,2006021,2021
3,2,5,0,0,0,7,1,0,0,03/19/2021,neutral,15580,348,Lawrence,9,True,2,16,-14,loss,2060045,1226,2006021,2021
0,0,0,0,0,0,0,0,0,0,03/19/2021,neutral,15580,348,Lawrence,9,True,3,7,-4,loss,2060046,1226,2006021,2021
4,0,4,0,0,0,5,0,0,0,03/26/2021,away,15580,161,Concordia-M'head,9,True,1,8,-7,loss,2041417,1226,2006021,2021
0,0,0,0,0,0,0,0,0,0,03/28/2021,away,15580,161,Concordia-M'head,9,True,5,9,-4,loss,2041420,1226,2006021,2021
2,0,2,0,0,0,0,0,0,0,04/06/2021,home,15580,30039,North Central (MN),9,True,4,3,1,win,2068506,1226,2006021,2021
6,0,6,0,0,0,0,0,0,0,04/06/2021,home,15580,30039,North Central (MN),9,True,12,0,12,win,2068549,1226,2006021,2021
2,1,3,0,0,0,7,1,0,0,04/10/2021,away,15580,30031,Northwestern-St. Paul,9,True,5,9,-4,loss,2069434,1226,2006021,2021
0,0,0,0,0,0,0,0,0,0,04/10/2021,away,15580,30031,Northwestern-St. Paul,9,True,1,15,-14,loss,2069455,1226,2006021,2021
2,0,2,0,0,0,0,0,0,0,04/15/2021,home,15580,8597,Martin Luther,9,True,6,2,4,win,2021119,1226,2006021,2021
7,0,7,0,0,0,0,0,0,0,04/15/2021,home,15580,8597,Martin Luther,9,True,11,1,10,win,2025869,1226,2006021,2021
10,0,10,0,0,0,1,0,0,0,04/17/2021,away,15580,30039,North Central (MN),9,True,5,6,-1,loss,2021389,1226,2006021,2021
0,0,0,0,0,0,0,0,0,0,04/17/2021,away,15580,30039,North Central (MN),9,True,13,11,2,win,2024355,1226,2006021,2021
0,0,0,0,0,0,0,0,0,0,04/21/2021,home,15580,30031,Northwestern-St. Paul,9,True,2,8,-6,loss,2021767,1226,2006021,2021
7,1,8,0,0,0,2,1,0,0,04/21/2021,home,15580,30031,Northwestern-St. Paul,9,True,0,8,-8,loss,2026074,1226,2006021,2021
4,1,5,0,0,0,0,1,0,0,04/24/2021,home,15580,804,Wis.-Superior,9,True,3,6,-3,loss,2022126,1226,2006021,2021
4,2,6,0,0,0,1,1,0,0,04/24/2021,home,15580,804,Wis.-Superior,9,True,11,17,-6,loss,2025105,1226,2006021,2021
0,0,0,0,0,0,0,0,0,0,04/27/2021,away,15580,30035,Crown (MN),9,True,2,12,-10,loss,2074975,1226,2006021,2021
4,1,5,0,0,1,10,0,0,0,04/28/2021,away,15580,30035,Crown (MN),9,True,7,11,-4,loss,2024648,1226,2006021,2021
3,0,3,0,0,0,0,0,0,0,05/01/2021,home,15580,30038,Bethany Lutheran,11,True,6,9,-3,loss,2022765,1226,2006021,2021
10,1,11,0,0,1,4,0,0,0,05/01/2021,home,15580,30038,Bethany Lutheran,9,True,3,6,-3,loss,2026108,1226,2006021,2021
3,0,4,1,0,0,0,0,0,0,05/04/2021,away,15580,602,Saint John's (MN),9,True,3,16,-13,loss,2023059,1226,2006021,2021
0,0,0,0,0,0,0,0,0,0,05/05/2021,home,15580,0,Valley City St.,9,True,3,18,-15,loss,2041425,1226,2006021,2021
4,0,4,0,0,0,3,0,0,0,05/08/2021,away,15580,618,St. Scholastica,9,True,2,13,-11,loss,2023304,1226,2006021,2021
0,0,0,0,0,0,0,0,0,0,05/08/2021,away,15580,618,St. Scholastica,9,True,0,16,-16,loss,2025500,1226,2006021,2021
4,0,4,0,0,0,1,0,0,0,05/10/2021,home,15580,268,Hamline,9,True,5,6,-1,loss,2076218,1226,2006021,2021
1,0,1,0,0,0,0,0,0,0,05/10/2021,home,15580,268,Hamline,9,True,7,11,-4,loss,2076219,1226,2006021,2021
6,0,6,0,0,1,0,0,0,0,05/16/2021,away,15580,1267,Northland,9,True,16,3,13,win,2020734,1226,2006021,2021
0,0,0,0,0,0,0,0,0,0,05/16/2021,away,15580,1267,Northland,9,True,11,6,5,win,2026598,1226,2006021,2021
