PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
8,0,8,0,0,0,1,0,0,0,02/16/2024,neutral,16580,164,UConn,9,True,3,4,-1,loss,5245949,367,2826592,2024,1
4,0,4,0,0,0,0,0,0,0,02/23/2024,home,16580,596,St. Bonaventure,9,True,21,3,18,win,5247337,367,2826592,2024,1
6,0,6,0,0,0,0,0,0,0,02/23/2024,home,16580,596,St. Bonaventure,8,True,3,4,-1,loss,4526678,367,2826592,2024,1
9,0,9,0,0,0,0,0,0,0,02/24/2024,home,16580,596,St. Bonaventure,9,True,15,2,13,win,4527057,367,2826592,2024,1
7,1,8,0,0,0,0,0,2,0,02/25/2024,home,16580,596,St. Bonaventure,9,True,18,11,7,win,4527425,367,2826592,2024,1
12,0,12,0,0,0,0,0,0,0,02/27/2024,home,16580,202,Eastern Ky.,9,True,12,3,9,win,4527600,367,2826592,2024,1
9,1,10,0,0,0,0,1,0,0,03/02/2024,home,16580,817,Youngstown St.,9,True,9,5,4,win,4528307,367,2826592,2024,1
11,0,11,0,0,0,0,0,0,0,03/06/2024,home,16580,444,Morehead St.,9,True,19,5,14,win,4528935,367,2826592,2024,1
5,1,6,0,0,0,0,0,0,0,03/09/2024,home,16580,509,Northwestern,9,True,10,2,8,win,4492544,367,2826592,2024,1
2,0,2,0,0,0,0,0,1,0,03/10/2024,home,16580,509,Northwestern,9,True,3,6,-3,loss,4492545,367,2826592,2024,1
8,1,9,0,0,0,1,1,0,0,03/12/2024,home,16580,28600,Lipscomb,9,True,12,7,5,win,4530479,367,2826592,2024,1
5,0,6,1,0,0,0,0,0,0,03/16/2024,home,16580,742,Virginia Tech,9,True,6,12,-6,loss,4531393,367,2826592,2024,1
