TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,04/01/2017,away,12560,437,Molloy,9,True,1,8,-7,loss,215635,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/01/2017,away,12560,437,Molloy,9,True,6,7,-1,loss,215786,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/02/2017,home,12560,437,Molloy,9,True,10,6,4,win,216158,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/03/2017,home,12560,437,Molloy,10,True,5,4,1,win,216594,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/08/2017,away,12560,362,LIU Post,9,True,12,3,9,win,217428,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/08/2017,away,12560,362,LIU Post,9,True,1,2,-1,loss,217636,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/09/2017,home,12560,362,LIU Post,11,True,2,3,-1,loss,218165,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/10/2017,home,12560,362,LIU Post,9,True,6,5,1,win,218503,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/11/2017,away,12560,3,Adelphi,9,True,5,2,3,win,218805,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/13/2017,away,12560,468,Southern N.H.,9,True,2,3,-1,loss,219119,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/15/2017,home,12560,1348,St. Thomas Aquinas,9,True,5,3,2,win,219940,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/17/2017,home,12560,241,Franklin Pierce,9,True,2,19,-17,loss,220501,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/17/2017,home,12560,241,Franklin Pierce,9,True,10,11,-1,loss,220530,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/19/2017,away,12560,362,LIU Post,11,True,7,5,2,win,220890,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/21/2017,away,12560,1348,St. Thomas Aquinas,9,True,2,4,-2,loss,221276,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/23/2017,away,12560,1348,St. Thomas Aquinas,9,True,2,13,-11,loss,222447,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/23/2017,away,12560,1348,St. Thomas Aquinas,9,True,7,8,-1,loss,222495,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/24/2017,home,12560,1348,St. Thomas Aquinas,9,True,2,8,-6,loss,222594,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/26/2017,away,12560,437,Molloy,9,True,1,3,-2,loss,222929,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,04/28/2017,away,12560,560,Queens (NY),9,True,12,4,8,win,223175,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,05/03/2017,home,12560,407,Mercy,9,True,10,9,1,win,224581,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,05/04/2017,home,12560,560,Queens (NY),9,True,4,5,-1,loss,224706,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,05/07/2017,home,12560,560,Queens (NY),9,True,2,8,-6,loss,225506,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,05/08/2017,away,12560,560,Queens (NY),9,True,7,5,2,win,225732,74,1539985,2017
0,0,0,0,0,0,0,1,0,0,05/08/2017,away,12560,560,Queens (NY),9,True,7,2,5,win,225740,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,05/11/2017,neutral,12560,362,LIU Post,9,True,1,7,-6,loss,225989,74,1539985,2017
0,0,0,0,0,0,0,0,0,0,05/12/2017,away,12560,437,Molloy,9,True,4,6,-2,loss,226116,74,1539985,2017
