PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
0,1,1,0,0,0,0,0,0,0,02/07/2023,away,16340,645,Sonoma St.,9,True,3,6,-3,loss,2389878,30175,2329245,2023,2
1,0,1,0,0,0,0,0,0,0,02/10/2023,away,16340,103,Stanislaus St.,9,True,4,10,-6,loss,2389953,30175,2329245,2023,2
0,0,0,0,0,0,1,0,0,0,02/14/2023,home,16340,645,Sonoma St.,9,True,8,5,3,win,2390198,30175,2329245,2023,2
0,0,0,0,0,0,1,0,0,0,02/21/2023,home,16340,30123,Academy of Art,9,True,19,7,12,win,2412160,30175,2329245,2023,2
0,0,0,0,0,0,2,0,0,0,03/01/2023,home,16340,30123,Academy of Art,9,True,2,5,-3,loss,2407928,30175,2329245,2023,2
