PO,A,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,02/05/2016,neutral,12360,565,Randolph-Macon,9,True,8,9,-1,loss,291702,426,1534214,2016
0,0,0,0,0,0,0,0,0,02/06/2016,neutral,12360,8746,Southwestern (TX),9,True,11,7,4,win,291858,426,1534214,2016
0,0,0,0,0,0,0,0,0,02/07/2016,away,12360,1130,Huntingdon,9,True,1,6,-5,loss,291888,426,1534214,2016
0,0,0,0,0,0,0,0,0,02/12/2016,home,12360,1162,LaGrange,9,True,3,2,1,win,292035,426,1534214,2016
0,0,0,0,0,2,0,0,0,02/13/2016,home,12360,1130,Huntingdon,9,True,2,11,-9,loss,292140,426,1534214,2016
0,0,0,0,0,0,0,0,0,02/14/2016,home,12360,1162,LaGrange,9,True,4,5,-1,loss,292298,426,1534214,2016
0,0,0,0,0,0,0,0,0,02/19/2016,neutral,12360,745,Va. Wesleyan,9,True,5,10,-5,loss,292613,426,1534214,2016
0,0,0,0,0,0,0,0,0,02/20/2016,neutral,12360,815,York (PA),9,True,8,6,2,win,293000,426,1534214,2016
0,0,0,0,0,0,0,0,0,02/21/2016,away,12360,21830,Piedmont,9,True,5,8,-3,loss,293191,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/02/2016,home,12360,4,Adrian,9,True,5,2,3,win,294889,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/05/2016,away,12360,2713,Oglethorpe,9,True,1,9,-8,loss,295762,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/05/2016,away,12360,2713,Oglethorpe,9,True,6,5,1,win,295767,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/06/2016,away,12360,2713,Oglethorpe,9,True,16,7,9,win,296148,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/11/2016,away,12360,132,Centre,9,True,14,3,11,win,297128,426,1534214,2016
0,0,0,0,0,1,0,0,0,03/11/2016,away,12360,132,Centre,9,True,3,4,-1,loss,297140,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/12/2016,away,12360,132,Centre,9,True,9,7,2,win,297602,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/14/2016,home,12360,300,Ill. Wesleyan,9,True,6,1,5,win,298044,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/19/2016,home,12360,573,Rhodes,9,True,4,1,3,win,299357,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/19/2016,home,12360,573,Rhodes,9,True,0,2,-2,loss,299485,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/20/2016,home,12360,573,Rhodes,9,True,1,3,-2,loss,299695,426,1534214,2016
0,0,0,0,0,1,0,0,0,03/22/2016,away,12360,30197,Belhaven,9,True,10,7,3,win,300198,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/25/2016,away,12360,28593,Birmingham-So.,9,True,3,0,3,win,300632,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/26/2016,away,12360,28593,Birmingham-So.,9,True,2,4,-2,loss,301199,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/26/2016,away,12360,28593,Birmingham-So.,9,True,1,3,-2,loss,301353,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/29/2016,home,12360,30197,Belhaven,9,True,6,2,4,win,301981,426,1534214,2016
0,0,0,0,0,0,0,0,0,03/30/2016,home,12360,30197,Belhaven,10,True,6,8,-2,loss,302170,426,1534214,2016
0,0,1,0,0,0,0,0,0,04/02/2016,home,12360,652,Sewanee,9,True,6,5,1,win,302822,426,1534214,2016
0,0,0,0,0,0,0,0,0,04/02/2016,home,12360,652,Sewanee,9,True,1,0,1,win,302990,426,1534214,2016
0,0,0,0,0,0,0,0,0,04/03/2016,home,12360,652,Sewanee,9,True,2,1,1,win,303257,426,1534214,2016
0,0,0,0,0,0,0,0,0,04/05/2016,away,12360,1162,LaGrange,9,True,4,5,-1,loss,303728,426,1534214,2016
0,0,0,0,0,0,0,0,0,04/05/2016,away,12360,1162,LaGrange,9,True,2,10,-8,loss,303734,426,1534214,2016
1,1,0,0,0,0,2,0,0,04/08/2016,home,12360,973,Berry,9,True,2,3,-1,loss,304132,426,1534214,2016
0,0,0,0,0,0,0,0,0,04/09/2016,home,12360,973,Berry,9,True,1,7,-6,loss,304519,426,1534214,2016
0,0,0,0,0,0,0,0,0,04/09/2016,home,12360,973,Berry,9,True,4,3,1,win,304656,426,1534214,2016
0,0,0,0,0,0,0,0,0,04/12/2016,home,12360,429,Mississippi Col.,9,True,1,6,-5,loss,305557,426,1534214,2016
0,0,0,0,0,0,0,0,0,04/16/2016,away,12360,1124,Hendrix,11,True,6,3,3,win,306404,426,1534214,2016
0,1,0,0,0,0,0,0,0,04/16/2016,away,12360,1124,Hendrix,10,True,5,4,1,win,306647,426,1534214,2016
0,0,0,0,0,0,0,0,0,04/17/2016,away,12360,1124,Hendrix,9,True,4,7,-3,loss,307017,426,1534214,2016
0,0,0,0,0,1,0,0,0,04/22/2016,neutral,12360,973,Berry,9,True,2,9,-7,loss,308328,426,1534214,2016
0,0,0,0,0,0,0,0,0,04/23/2016,neutral,12360,652,Sewanee,9,True,7,4,3,win,309062,426,1534214,2016
0,0,0,0,0,0,0,0,0,04/23/2016,away,12360,28593,Birmingham-So.,9,True,11,13,-2,loss,308988,426,1534214,2016
