PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,02/15/2019,away,14781,626,San Diego St.,9,True,4,8,-4,loss,1647685,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,02/16/2019,away,14781,626,San Diego St.,9,True,9,8,1,win,1647889,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,02/16/2019,away,14781,626,San Diego St.,9,True,3,6,-3,loss,1648214,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,02/22/2019,home,14781,94,CSU Bakersfield,9,True,2,0,2,win,1648659,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,02/23/2019,home,14781,94,CSU Bakersfield,9,True,3,2,1,win,1648924,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,02/24/2019,home,14781,94,CSU Bakersfield,9,True,12,1,11,win,1649301,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,02/27/2019,away,14781,674,Stanford,9,True,3,8,-5,loss,1649578,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,03/01/2019,neutral,14781,327,Kansas St.,9,True,3,1,2,win,1649783,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,03/01/2019,neutral,14781,327,Kansas St.,9,True,0,7,-7,loss,1650456,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,03/02/2019,neutral,14781,327,Kansas St.,9,True,5,11,-6,loss,1650046,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,03/05/2019,home,14781,630,San Jose St.,9,True,12,6,6,win,1650860,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,03/08/2019,home,14781,576,Rider,9,True,5,0,5,win,1651421,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,03/09/2019,home,14781,111,UC Riverside,9,True,8,2,6,win,1651601,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,03/09/2019,home,14781,576,Rider,9,True,5,4,1,win,1651893,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,03/10/2019,home,14781,111,UC Riverside,13,True,4,3,1,win,1652026,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,03/12/2019,away,14781,96,Fresno St.,9,True,6,8,-2,loss,1652379,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,03/15/2019,home,14781,551,Portland,9,True,2,1,1,win,1652944,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,03/16/2019,home,14781,551,Portland,9,True,2,20,-18,loss,1653235,629,1996728,2019
0,0,0,0,0,0,0,0,0,0,03/17/2019,home,14781,551,Portland,9,True,5,4,1,win,1653674,629,1996728,2019
