PO,TC,A,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,02/02/2018,home,12973,1274,Northwest Nazarene,9,True,3,2,1,win,84566,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,02/02/2018,home,12973,1274,Northwest Nazarene,9,True,4,3,1,win,84574,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,02/03/2018,home,12973,1274,Northwest Nazarene,9,True,8,10,-2,loss,84612,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,02/09/2018,away,12973,100,Cal State LA,9,True,6,4,2,win,84846,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,02/10/2018,away,12973,100,Cal State LA,9,True,10,3,7,win,85022,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,02/10/2018,away,12973,100,Cal State LA,9,True,7,8,-1,loss,85041,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,02/16/2018,home,12973,95,Chico St.,9,True,0,1,-1,loss,85308,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,02/17/2018,home,12973,95,Chico St.,9,True,3,1,2,win,85515,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,02/23/2018,away,12973,628,San Fran. St.,9,True,2,0,2,win,86314,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,02/24/2018,away,12973,628,San Fran. St.,9,True,3,4,-1,loss,86639,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,02/24/2018,away,12973,628,San Fran. St.,9,True,4,2,2,win,86702,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,02/25/2018,away,12973,628,San Fran. St.,9,True,3,2,1,win,87098,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/04/2018,home,12973,645,Sonoma St.,12,True,6,7,-1,loss,88651,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/04/2018,home,12973,645,Sonoma St.,9,True,3,4,-1,loss,88681,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/05/2018,home,12973,645,Sonoma St.,9,True,1,2,-1,loss,88839,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/05/2018,home,12973,645,Sonoma St.,9,True,3,2,1,win,88843,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/09/2018,away,12973,98,Cal St. East Bay,9,True,4,3,1,win,89456,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/10/2018,away,12973,98,Cal St. East Bay,9,True,4,3,1,win,89889,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/10/2018,away,12973,98,Cal St. East Bay,9,True,5,7,-2,loss,89984,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/11/2018,away,12973,98,Cal St. East Bay,9,True,8,4,4,win,90361,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/17/2018,home,12973,30055,Cal St. Monterey Bay,9,True,13,2,11,win,91724,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/17/2018,home,12973,30055,Cal St. Monterey Bay,9,True,1,12,-11,loss,91822,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/18/2018,home,12973,30055,Cal St. Monterey Bay,11,True,4,5,-1,loss,92340,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/18/2018,home,12973,30055,Cal St. Monterey Bay,9,True,3,6,-3,loss,92380,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/23/2018,home,12973,100,Cal State LA,9,True,18,1,17,win,93070,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/23/2018,home,12973,100,Cal State LA,9,True,4,7,-3,loss,93111,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/24/2018,home,12973,100,Cal State LA,9,True,9,0,9,win,93475,103,1988226,2018
0,1,0,1,0,0,0,0,0,0,03/25/2018,home,12973,100,Cal State LA,10,True,5,8,-3,loss,93683,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/29/2018,away,12973,93,Cal St. San B'dino,9,True,16,0,16,win,94452,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/30/2018,away,12973,93,Cal St. San B'dino,9,True,20,1,19,win,94789,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/30/2018,away,12973,93,Cal St. San B'dino,9,True,3,4,-1,loss,94860,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,03/31/2018,away,12973,93,Cal St. San B'dino,9,True,11,5,6,win,95127,103,1988226,2018
0,0,0,0,0,0,0,0,0,0,04/07/2018,home,12973,30198,Cal St. San Marcos,10,True,5,4,1,win,96581,103,1988226,2018
