TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,02/25/2017,neutral,12560,633,Scranton,9,True,3,5,-2,loss,207561,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,02/25/2017,neutral,12560,633,Scranton,10,True,2,3,-1,loss,207572,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/08/2017,home,12560,397,Marywood,9,True,5,4,1,win,209804,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/09/2017,home,12560,1254,Neumann,9,True,5,9,-4,loss,210050,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/13/2017,neutral,12560,397,Marywood,9,True,2,4,-2,loss,211246,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/13/2017,neutral,12560,397,Marywood,9,True,3,1,2,win,211256,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/14/2017,neutral,12560,1064,Eastern Nazarene,9,True,8,2,6,win,211431,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/14/2017,neutral,12560,335,Kenyon,9,True,6,5,1,win,211434,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/16/2017,neutral,12560,411,Messiah,9,True,3,5,-2,loss,211695,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/16/2017,neutral,12560,411,Messiah,9,True,5,4,1,win,211696,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/17/2017,neutral,12560,411,Messiah,9,True,4,2,2,win,211908,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/23/2017,away,12560,453,Muhlenberg,9,True,0,4,-4,loss,213312,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/24/2017,neutral,12560,783,Widener,9,True,5,7,-2,loss,213736,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/25/2017,home,12560,783,Widener,9,True,0,7,-7,loss,214225,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,03/25/2017,home,12560,783,Widener,9,True,2,10,-8,loss,214263,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/01/2017,home,12560,21852,Stevenson,9,True,0,8,-8,loss,215885,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/02/2017,away,12560,21852,Stevenson,9,True,0,4,-4,loss,216346,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/02/2017,away,12560,21852,Stevenson,9,True,3,4,-1,loss,216410,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/03/2017,home,12560,443,Moravian,9,True,3,7,-4,loss,216573,16,1885982,2017
0,1,1,0,0,0,1,0,0,0,04/05/2017,home,12560,12399,Gwynedd Mercy,9,True,2,15,-13,loss,216891,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/08/2017,away,12560,966,Arcadia,9,True,3,6,-3,loss,217525,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/08/2017,away,12560,966,Arcadia,9,True,8,11,-3,loss,217734,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/09/2017,home,12560,966,Arcadia,9,True,4,5,-1,loss,218365,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/10/2017,away,12560,211,Elizabethtown,9,True,1,10,-9,loss,218492,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/13/2017,away,12560,938,Alvernia,9,True,5,1,4,win,219057,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/15/2017,home,12560,938,Alvernia,9,True,1,14,-13,loss,220075,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/15/2017,home,12560,938,Alvernia,9,True,3,7,-4,loss,220234,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/18/2017,home,12560,179,Delaware Valley,9,True,6,5,1,win,220705,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/19/2017,home,12560,30081,Penn St. Harrisburg,9,True,4,8,-4,loss,220968,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/21/2017,home,12560,8404,Hood,9,True,1,4,-3,loss,221270,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/23/2017,away,12560,8404,Hood,9,True,10,5,5,win,222196,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/23/2017,away,12560,8404,Hood,9,True,1,4,-3,loss,222294,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/24/2017,neutral,12560,339,Kutztown,9,True,5,6,-1,loss,222592,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/26/2017,home,12560,685,Susquehanna,9,True,8,6,2,win,222847,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/28/2017,home,12560,351,Lebanon Valley,9,True,5,8,-3,loss,223182,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/29/2017,away,12560,351,Lebanon Valley,9,True,5,4,1,win,223668,16,1885982,2017
0,0,0,0,0,0,0,0,0,0,04/29/2017,away,12560,351,Lebanon Valley,9,True,3,2,1,win,223843,16,1885982,2017
