TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
4,5,1,0,0,0,1,0,0,0,02/25/2017,home,12560,686,Swarthmore,9,True,4,3,1,win,207359,966,1535634,2017
7,10,3,0,0,0,3,2,0,0,02/25/2017,home,12560,686,Swarthmore,9,True,10,4,6,win,207451,966,1535634,2017
9,11,2,0,0,1,0,0,0,0,03/05/2017,neutral,12560,580,RIT,9,True,2,11,-9,loss,209388,966,1535634,2017
9,11,2,0,0,0,0,0,1,0,03/05/2017,neutral,12560,580,RIT,9,True,11,10,1,win,209395,966,1535634,2017
5,5,0,0,0,0,0,0,0,0,03/07/2017,home,12560,239,Franklin & Marshall,9,True,9,6,3,win,209587,966,1535634,2017
2,3,1,0,0,1,1,1,0,0,03/09/2017,home,12560,168,SUNY Cortland,9,True,3,23,-20,loss,209967,966,1535634,2017
9,10,1,0,0,0,2,1,0,0,03/12/2017,neutral,12560,182,Denison,9,True,5,4,1,win,211018,966,1535634,2017
6,7,1,0,0,0,0,0,0,0,03/12/2017,neutral,12560,939,Anderson (IN),9,True,10,3,7,win,211017,966,1535634,2017
4,4,0,0,0,0,0,0,0,0,03/13/2017,neutral,12560,520,Ohio Wesleyan,9,True,4,0,4,win,211225,966,1535634,2017
11,15,4,0,0,0,2,2,0,0,03/14/2017,neutral,12560,385,Marietta,9,True,4,3,1,win,211396,966,1535634,2017
5,6,1,0,0,0,1,1,0,0,03/15/2017,neutral,12560,807,Wooster,9,True,2,5,-3,loss,211555,966,1535634,2017
8,9,1,0,0,0,0,1,0,0,03/16/2017,neutral,12560,24,Amherst,9,True,4,2,2,win,211643,966,1535634,2017
13,14,1,0,0,3,2,0,0,0,03/24/2017,away,12560,21852,Stevenson,9,True,16,7,9,win,213411,966,1535634,2017
11,11,0,0,0,0,1,0,0,0,03/25/2017,home,12560,21852,Stevenson,9,True,12,6,6,win,213934,966,1535634,2017
3,3,0,0,0,0,0,0,1,0,03/25/2017,home,12560,21852,Stevenson,9,True,3,0,3,win,214081,966,1535634,2017
3,3,0,0,0,0,0,0,0,0,03/26/2017,home,12560,351,Lebanon Valley,9,True,6,5,1,win,214535,966,1535634,2017
5,8,3,0,0,1,0,1,0,0,03/26/2017,home,12560,351,Lebanon Valley,9,True,5,10,-5,loss,214574,966,1535634,2017
4,5,1,0,0,0,0,0,0,0,03/27/2017,away,12560,351,Lebanon Valley,9,True,6,7,-1,loss,214732,966,1535634,2017
2,2,0,0,0,0,0,0,0,0,03/30/2017,away,12560,443,Moravian,9,True,3,7,-4,loss,215170,966,1535634,2017
5,5,0,0,0,0,1,0,0,0,04/01/2017,away,12560,8404,Hood,9,True,7,5,2,win,215577,966,1535634,2017
4,5,1,0,0,0,0,0,0,0,04/01/2017,away,12560,8404,Hood,9,True,2,5,-3,loss,215722,966,1535634,2017
9,10,1,0,0,0,0,1,0,0,04/02/2017,home,12560,8404,Hood,9,True,14,1,13,win,216326,966,1535634,2017
3,3,0,0,0,0,0,0,0,0,04/05/2017,away,12560,8968,Eastern,9,True,23,3,20,win,216870,966,1535634,2017
9,12,3,0,0,0,0,0,0,0,04/08/2017,home,12560,16,Albright,9,True,6,3,3,win,217525,966,1535634,2017
6,6,0,0,0,0,0,0,0,0,04/08/2017,home,12560,16,Albright,9,True,11,8,3,win,217734,966,1535634,2017
6,7,1,0,0,0,1,1,0,0,04/09/2017,away,12560,16,Albright,9,True,5,4,1,win,218365,966,1535634,2017
4,4,0,0,0,0,0,0,2,0,04/12/2017,away,12560,1254,Neumann,9,True,15,1,14,win,218882,966,1535634,2017
7,7,0,0,0,2,3,0,0,0,04/14/2017,away,12560,783,Widener,9,True,27,5,22,win,219450,966,1535634,2017
7,8,1,0,0,1,2,0,0,0,04/15/2017,home,12560,783,Widener,10,True,3,4,-1,loss,220030,966,1535634,2017
4,6,2,0,0,1,2,0,0,0,04/15/2017,home,12560,783,Widener,9,True,3,2,1,win,220185,966,1535634,2017
2,2,0,0,0,2,0,0,0,0,04/18/2017,home,12560,16142,Misericordia,9,True,8,3,5,win,220740,966,1535634,2017
8,8,0,0,0,0,0,0,0,0,04/19/2017,home,12560,30044,Penn St.-Berks,9,True,12,3,9,win,220912,966,1535634,2017
12,12,0,0,0,0,3,0,0,0,04/21/2017,home,12560,411,Messiah,9,True,12,3,9,win,221226,966,1535634,2017
3,3,0,0,0,0,0,0,0,0,04/23/2017,away,12560,411,Messiah,9,True,8,1,7,win,222282,966,1535634,2017
3,3,0,0,0,0,0,0,0,0,04/23/2017,away,12560,411,Messiah,9,True,0,1,-1,loss,222379,966,1535634,2017
6,6,0,0,0,0,1,0,0,0,04/26/2017,home,12560,712,TCNJ,9,True,9,3,6,win,222821,966,1535634,2017
6,8,1,1,0,0,2,0,0,0,04/28/2017,home,12560,938,Alvernia,9,True,4,9,-5,loss,223139,966,1535634,2017
4,4,0,0,0,1,0,0,0,0,04/29/2017,away,12560,938,Alvernia,9,True,0,3,-3,loss,223589,966,1535634,2017
0,0,0,0,0,0,0,0,0,0,04/29/2017,away,12560,938,Alvernia,9,True,4,1,3,win,223761,966,1535634,2017
4,5,1,0,0,0,0,1,1,0,05/02/2017,away,12560,12399,Gwynedd Mercy,9,True,18,6,12,win,224380,966,1535634,2017
8,8,0,0,0,0,6,0,0,0,05/04/2017,neutral,12560,783,Widener,9,True,7,3,4,win,224701,966,1535634,2017
7,7,0,0,0,0,1,0,0,0,05/06/2017,neutral,12560,938,Alvernia,9,True,8,4,4,win,225304,966,1535634,2017
4,5,1,0,0,0,0,0,0,0,05/07/2017,neutral,12560,938,Alvernia,9,True,8,4,4,win,225704,966,1535634,2017
10,13,2,1,1,0,0,0,0,0,05/18/2017,neutral,12560,809,Worcester St.,12,True,4,3,1,win,226850,966,1535634,2017
6,8,2,0,0,0,0,0,0,0,05/19/2017,neutral,12560,684,Suffolk,11,True,0,1,-1,loss,227030,966,1535634,2017
2,3,1,0,0,0,2,0,0,0,05/20/2017,neutral,12560,623,Salve Regina,9,True,0,5,-5,loss,227208,966,1535634,2017
