PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,0,2,1,0,0,0,0,0,0,03/03/2023,home,16340,43,Austin Peay,9,True,19,2,17,win,2392626,521,2801611,2023,1
0,1,1,0,0,0,0,0,0,0,03/22/2023,away,16340,782,Wichita St.,9,True,10,1,9,win,2397224,521,2801611,2023,1
2,0,2,0,0,0,0,0,0,0,03/24/2023,home,16340,51,Baylor,11,True,11,9,2,win,2397527,521,2801611,2023,1
0,1,1,0,0,0,0,0,0,0,03/25/2023,home,16340,51,Baylor,9,True,15,8,7,win,2398010,521,2801611,2023,1
0,1,1,0,0,0,0,0,0,0,03/31/2023,home,16340,703,Texas,9,True,3,5,-2,loss,2398755,521,2801611,2023,1
1,1,2,0,0,0,0,0,0,0,04/02/2023,home,16340,703,Texas,9,True,4,3,1,win,2399507,521,2801611,2023,1
1,1,2,0,0,0,0,0,0,0,04/04/2023,home,16340,782,Wichita St.,9,True,6,13,-7,loss,2400058,521,2801611,2023,1
2,1,3,0,0,0,0,0,0,0,04/06/2023,away,16340,698,TCU,9,True,7,6,1,win,2400317,521,2801611,2023,1
0,2,2,0,0,0,0,0,0,0,04/07/2023,away,16340,698,TCU,9,True,3,7,-4,loss,2400722,521,2801611,2023,1
0,1,1,0,0,0,0,0,0,0,04/11/2023,home,16340,527,Oral Roberts,9,True,5,8,-3,loss,2401526,521,2801611,2023,1
0,3,3,0,0,0,0,0,0,0,04/14/2023,home,16340,768,West Virginia,9,True,3,6,-3,loss,2401748,521,2801611,2023,1
0,0,1,1,0,0,0,0,0,0,04/15/2023,home,16340,768,West Virginia,9,True,5,9,-4,loss,2402058,521,2801611,2023,1
0,2,2,0,0,0,0,0,0,0,04/16/2023,home,16340,768,West Virginia,9,True,11,6,5,win,2402515,521,2801611,2023,1
0,2,2,0,0,0,0,0,0,0,04/18/2023,home,16340,522,Oklahoma,9,True,19,8,11,win,2402814,521,2801611,2023,1
0,1,1,0,0,0,0,0,0,0,04/21/2023,away,16340,328,Kansas,9,True,15,10,5,win,2403251,521,2801611,2023,1
1,2,3,0,0,0,0,0,0,0,04/22/2023,away,16340,328,Kansas,9,True,14,3,11,win,2403559,521,2801611,2023,1
0,1,1,0,0,0,0,0,0,0,04/23/2023,away,16340,328,Kansas,9,True,8,3,5,win,2404016,521,2801611,2023,1
0,1,2,1,0,0,0,0,0,0,04/29/2023,away,16340,418,Michigan,9,True,5,3,2,win,2405393,521,2801611,2023,1
0,4,4,0,0,0,0,0,1,0,04/30/2023,away,16340,418,Michigan,9,True,8,5,3,win,2432100,521,2801611,2023,1
0,2,3,1,0,0,0,0,1,0,05/02/2023,away,16340,527,Oral Roberts,9,True,7,9,-2,loss,2405868,521,2801611,2023,1
1,2,3,0,0,0,0,0,0,0,05/05/2023,home,16340,198,ETSU,9,True,7,4,3,win,2405992,521,2801611,2023,1
