PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
0,1,1,0,0,0,1,0,0,0,03/03/2024,home,16580,313,Ithaca,9,True,3,16,-13,loss,4528627,451,2483065,2024,3
0,0,0,0,0,0,3,0,0,0,03/09/2024,away,16580,479,NYU,9,True,0,7,-7,loss,4792185,451,2483065,2024,3
0,0,0,0,0,0,1,0,0,0,03/15/2024,away,16580,279,Lehman,9,True,11,5,6,win,4531014,451,2483065,2024,3
0,0,1,1,0,0,1,0,0,0,03/19/2024,away,16580,814,Yeshiva,9,True,22,7,15,win,4531918,451,2483065,2024,3
0,1,2,1,0,0,2,0,0,0,04/07/2024,away,16580,382,Manhattanville,9,True,7,8,-1,loss,4543457,451,2483065,2024,3
0,0,0,0,0,0,1,0,0,0,04/14/2024,home,16580,478,SUNY Maritime,9,True,8,7,1,win,4537534,451,2483065,2024,3
