"name","class","player_id","season","number","position","player_url"
"Allensworth, Landon","So","1439145",2014,"22","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439145"
"Bagwell, Brack","So","1439144",2014,"28","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439144"
"Bennett, James","Jr",NA,2014,"49","OF",NA
"Blackwood, Beau","Sr","1439142",2014,"31","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439142"
"Borneman, Walker","So","1439114",2014,"12","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439114"
"Champion, Christian","N/A","1540876",2014,"3","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1540876"
"Crosby, Russell","Jr","1439134",2014,"36","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439134"
"Cross, Colton","N/A","1540873",2014,"29","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1540873"
"Donovan, Patrick","So",NA,2014,"99","C",NA
"Drake, Sheldon","Jr",NA,2014,"46","OF",NA
"Evans, Dustin","Sr","1439104",2014,"2","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439104"
"Felder, Chadd","Jr","1439140",2014,"34","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439140"
"Finch, Ryan","Jr","1439130",2014,"30","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439130"
"Forrest, Jacob","Sr","1439109",2014,"7","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439109"
"Gavigan, Jesse","Sr","1439107",2014,"5","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439107"
"Gillis, Charlie","Sr","1439132",2014,"32","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439132"
"Griffin, Ross","Sr",NA,2014,"44","OF",NA
"Harrison, Will","Sr","1439111",2014,"24","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439111"
"Hays, Dustin","Jr","1439119",2014,"19","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439119"
"Herndon, Taylor","Sr","1439106",2014,"4","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439106"
"Ikerd, Chad","Sr","1439105",2014,"10","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439105"
"Jennings, Darrius","Jr","1439103",2014,"1","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439103"
"Jones, Juwan","So",NA,2014,"43","OF",NA
"Little, Joshua","Jr",NA,2014,"42","INF",NA
"Machado, Justin","N/A","1540875",2014,"40","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1540875"
"Martin, Dalton","So",NA,2014,"13","P",NA
"Mathews, Brian","N/A","1540871",2014,"24","1B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1540871"
"McClelland, Mark","Sr","1439120",2014,"19","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439120"
"McPherson, Travis","N/A","1541011",2014,"21","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1541011"
"Nix, Ryan","Jr",NA,2014,"21","P",NA
"Orr, Brodie","Jr","1439108",2014,"14","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439108"
"Redetzky, Ian","N/A","1540872",2014,"13","RF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1540872"
"Riner, Dylan","N/A","1540869",2014,"4","CF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1540869"
"Santos, Zach","N/A","1540870",2014,"8","SS","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1540870"
"Shavers, Kevin","So",NA,2014,"29","C",NA
"Swafford, Timothy","So",NA,2014,"15","C",NA
"Thompson, Micah","Sr","1439113",2014,"11","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439113"
"Trenary, Tyler","Sr","1439124",2014,"11","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439124"
"Whitaker, Zach","N/A","1540874",2014,"6","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1540874"
",","Fr","1439289",2014,"34","1B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30151&stats_player_seq=1439289"
