"player_name","class","player_id","season","number","position","player_url"
"Baker, Brennan","Sr","2142335",2022,"5","1B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142335"
"Beebe, Andrew","Sr","2142360",2022,"29","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142360"
"Benzinger, Brett","Sr","2142349",2022,"14","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142349"
"Bierbaum, Justin","Sr","2142355",2022,"22","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142355"
"Borman, Ben","Sr","2142343",2022,"13","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142343"
"Compton, Tyler","Jr","2370239",2022,"13","p","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2370239"
"Daniels, Cooper","Jr","2370259",2022,"4","","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2370259"
"Doverspike, Dylan","Jr","2370260",2022,"5","1b","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2370260"
"Gulley, D.V.","Sr","2142368",2022,"42","1B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142368"
"Hoeh, Austin","Sr","2142364",2022,"35","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142364"
"Martin, Bailey","Sr","2142354",2022,"20","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142354"
"Mierke, Mitch","Sr","2142334",2022,"4","UT","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142334"
"Muench, Nick","Sr","2142372",2022,"45","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142372"
"Nantz, Hunter","Jr","2370261",2022,"9","p","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2370261"
"Newsom, Mike","Jr","2370262",2022,"12","3b","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2370262"
"Nowak, Casey","Sr","2142352",2022,"17","3B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142352"
"Piccirillo, Adam","Sr","2142336",2022,"8","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142336"
"Reverman, Aiden","Sr","2142359",2022,"28","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142359"
"Schulte, Leighton","Sr","2142353",2022,"19","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142353"
"Weingartner, Noah","Jr","2370263",2022,"3","","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2370263"
"Welch, Luke","Sr","2142362",2022,"30","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142362"
"Weller, Joey","Sr","2142340",2022,"11","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15860&org_id=1402&stats_player_seq=2142340"
