"name","class","player_id","season","number","position","player_url","team_id","team_name","team_url","conference_id","conference","division","season_id"
"Akers, Bishop","So","2656272",2023,"34","1B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2656272",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Alter,  Matthew","Sr","2506169",2023,"32","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2506169",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Brackett, Jake","Sr","2304447",2023,"13","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2304447",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Bradley, Jordan","Jr","2656252",2023,"16","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2656252",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Christie, Alex","Jr","2506160",2023,"25","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2506160",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Danneman, Jake","So","2656247",2023,"6","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2656247",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Dickmann, Ashton","So","2656258",2023,"37","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2656258",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Douglas, Reid","So","2656273",2023,"41","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2656273",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Dupps, Jacob","Sr","2304449",2023,"7","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2304449",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Falcone, Louie","Jr","2506175",2023,"38","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2506175",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Farnsley, Connor","Jr","2506161",2023,"26","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2506161",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Fleming, Le'ron","Sr","2304460",2023,"0","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2304460",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"French, Cooper","Jr","2506157",2023,"22","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2506157",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Galanti, Jacob","So",NA,2023,"42","C",NA,1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Garner, Braxton","So","2656276",2023,"49","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2656276",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Giacone, Carter","So",NA,2023,"51","OF",NA,1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Goodpaster, Marcus","Jr","2506154",2023,"18","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2506154",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
"Gowens, Gabe","Jr","2506179",2023,"39","1B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=1115&stats_player_seq=2506179",1115,"Hanover","/team/1115/16340",9174,"HCAC",3,16340
