"name","class","player_id","season","number","position","player_url"
"Barkley, Jeff","Sr","1076425",2013,"15","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1076425"
"Bolton, Craig","So",NA,2013,"21","P",NA
"Branch, Josh","So","1307936",2013,"18","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307936"
"Brown, Jr., Johnny","So","1307945",2013,"38","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307945"
"Chambers, Jr., Ricky","So","1307931",2013,"37","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307931"
"Chilton, Zac","So","1307937",2013,"19","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307937"
"Crespo, Michael","So",NA,2013,"6","P",NA
"Furr, Daniel","Fr","1428848",2013,"17","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1428848"
"Gray, Jon","Jr","1192155",2013,"24","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1192155"
"Greene, Ethan","Fr","1428850",2013,"26","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1428850"
"Hackney, Kyle","Jr","1307928",2013,"3","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307928"
"Harris, Justin","Jr",NA,2013,"22","C",NA
"Jackson, Wiley","So","1307926",2013,"9","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307926"
"Jobe, Hunter","Fr","1428851",2013,"27","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1428851"
"Lindley, Dalton","So","1307930",2013,"8","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307930"
"Little, Keith","So","1307934",2013,"14","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307934"
"Maness, Rider","Fr",NA,2013,"35","P",NA
"McGraw, Cole","So","1307933",2013,"11","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307933"
"Miller, Brett","Fr","1428849",2013,"20","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1428849"
"Norris, Dylan","So","1307932",2013,"10","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307932"
"Park, Jesse","So","1307927",2013,"2","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307927"
"Perez, Izzy","So","1307943",2013,"33","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307943"
"Price, Kevin","Jr","1192151",2013,"12","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1192151"
"Ring, Tyler","Sr","1307940",2013,"25","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1307940"
"Sharpe, Aarin","Sr","1076428",2013,"23","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1076428"
"Summers, Tyler","Jr","1076429",2013,"4","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1076429"
"Tuttle, Bryan","Sr","1076430",2013,"31","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1076430"
"Wade, Matt","Jr","1192148",2013,"5","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1192148"
"Yates, Jacob","Sr","1192152",2013,"13","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=542&stats_player_seq=1192152"
"Young, Hunter","Fr",NA,2013,"29","P",NA
