jersey,stats_player_seq,name,position,class_year,games_played,games_started,season,season_id,school,school_id,height
30,994080,Evan Abrecht,P,Sr,13,13,2012,10942,Air Force,721,
40,1308143,Alexander Allard,P,Fr,0,0,2012,10942,Air Force,721,
6,1308132,Taylor Ausbun,C,Jr,9,6,2012,10942,Air Force,721,
3,1090703,Alex Baker,P,Jr,22,0,2012,10942,Air Force,721,
26,1313624,David Baska,INF,So,31,9,2012,10942,Air Force,721,
20,1090695,Alex Bast,C,Jr,51,51,2012,10942,Air Force,721,
24,1090705,Ben Bertelson,P,Jr,13,11,2012,10942,Air Force,721,
23,1090701,Sean Carley,P,Jr,0,0,2012,10942,Air Force,721,
33,994084,Michael Ceci,P,Sr,14,12,2012,10942,Air Force,721,
36,1308141,Andrew Chaves,INF,Fr,4,0,2012,10942,Air Force,721,
4,1090694,Garrett Custons,OF,Jr,46,45,2012,10942,Air Force,721,
27,1090704,Todd Del Toro,P,Jr,10,2,2012,10942,Air Force,721,
22,1308136,Dillon Freeman,P,Fr,0,0,2012,10942,Air Force,721,
5,1308131,Casey Gibson,INF,Fr,35,12,2012,10942,Air Force,721,
8,994085,Adam Hill,INF,Sr,42,31,2012,10942,Air Force,721,
9,1090709,Jack Hourin,P,Jr,22,0,2012,10942,Air Force,721,
17,1217028,Victor Iacobbo,INF,Sr,5,0,2012,10942,Air Force,721,
32,994087,Mike Kazakoff,P,Sr,33,0,2012,10942,Air Force,721,
35,1217055,Seth Kline,INF,Sr,34,33,2012,10942,Air Force,721,
15,1217023,Ryan Kramer,1B,So,21,4,2012,10942,Air Force,721,
11,1217025,Patrick Lobo,OF,So,17,7,2012,10942,Air Force,721,
13,1217026,Shaun Lovett,OF,So,5,0,2012,10942,Air Force,721,
21,1308135,Noah Pierce,INF,Fr,45,41,2012,10942,Air Force,721,
10,994092,Blair Roberts,INF,Sr,53,52,2012,10942,Air Force,721,
14,1090697,Matthew Roberts,INF,Jr,41,30,2012,10942,Air Force,721,
18,1308133,Tyler Saleck,INF,Fr,28,22,2012,10942,Air Force,721,
29,1308138,Jake Schomaker,OF,So,45,33,2012,10942,Air Force,721,
19,1308134,Brian Sicher,C,Fr,40,33,2012,10942,Air Force,721,
31,1308139,Jake Sortor,OF,Fr,6,0,2012,10942,Air Force,721,
