"name","class","player_id","season","number","position","player_url"
"Adams,","N/A",NA,2014,"55","P",NA
"Arant,","N/A",NA,2014,"5","LF",NA
"Bice,","N/A",NA,2014,"8","SS",NA
"Boudolf,","N/A",NA,2014,"4","PH",NA
"Carson, Drew","N/A",NA,2014,"38","3B",NA
"Chappell, Daniel","N/A",NA,2014,"17","P",NA
"Eckstein,","N/A",NA,2014,"14","P",NA
"Finster,","N/A",NA,2014,"13","P",NA
"Hartsell, Hamilton","N/A",NA,2014,"27","P",NA
"Henderson,","N/A",NA,2014,"24","3B",NA
"Hostetler,","N/A",NA,2014,"15","PR",NA
"Howard,","N/A",NA,2014,"1","2B",NA
"Hyman,","N/A",NA,2014,"2","CF",NA
"Julian,","N/A",NA,2014,"22","P/DH",NA
"Lara,","N/A",NA,2014,"7","C",NA
"Lollis,","N/A",NA,2014,"10","RF",NA
"McKinney, Grant","N/A",NA,2014,"40","P",NA
"O'Callaghan, Tim","N/A",NA,2014,"16","P",NA
"Oberlies, Zack","N/A",NA,2014,"9","DH",NA
"Ponder, Johnny","N/A",NA,2014,"6","1B",NA
"Smith, Kalin","N/A",NA,2014,"18","P",NA
"Williams,","N/A",NA,2014,"3","1B",NA
"Wyatt, Stephen","N/A",NA,2014,"21","PH",NA
