jersey,stats_player_seq,name,position,class_year,games_played,games_started,season,season_id,school,school_id
31,1213806,Robbie Brown,P,So,0,0,2012,10942,Erskine,1072
16,1213807,Cameron Yost,INF,So,0,0,2012,10942,Erskine,1072
3,1303192,Brandon Wooten,INF,Fr,0,0,2012,10942,Erskine,1072
52,1108055,Drew Willingham,1B,Jr,0,0,2012,10942,Erskine,1072
42,1104842,Taylor Wall,P,Jr,0,0,2012,10942,Erskine,1072
32,1303218,Will Spearman,INF,Fr,0,0,2012,10942,Erskine,1072
29,1303216,Dustin Sherbert,P,Fr,0,0,2012,10942,Erskine,1072
41,1213809,Chase Norman,P,So,0,0,2012,10942,Erskine,1072
39,1303222,Joby Moss,P,Fr,0,0,2012,10942,Erskine,1072
6,997281,Mattison Mcclure,P,Jr,0,0,2012,10942,Erskine,1072
56,1213798,Zach Mcallister,P,So,0,0,2012,10942,Erskine,1072
36,1303221,Christian Martinez,INF,Fr,0,0,2012,10942,Erskine,1072
35,1303220,Hanlon Maivelett,C,Fr,0,0,2012,10942,Erskine,1072
2,1303191,Cody Spence,INF,Fr,0,0,2012,10942,Erskine,1072
1,1303190,Nick Levy,P,Fr,0,0,2012,10942,Erskine,1072
27,1213808,Ross Lisee,C,So,0,0,2012,10942,Erskine,1072
23,1104834,Kit Carter,P,Jr,0,0,2012,10942,Erskine,1072
9,1213797,Chase Corn,OF,So,0,0,2012,10942,Erskine,1072
19,1303197,Richard Dix,INF,Fr,0,0,2012,10942,Erskine,1072
34,1303219,Cody Dysart,P,Fr,0,0,2012,10942,Erskine,1072
26,1303214,Sam Cothran,OF,Fr,0,0,2012,10942,Erskine,1072
24,1303227,Tyler Geer,P,Fr,0,0,2012,10942,Erskine,1072
40,1104841,Heath Gray,P,Jr,0,0,2012,10942,Erskine,1072
8,1104840,Phillip Herring,C,Jr,0,0,2012,10942,Erskine,1072
21,1213800,Will Huff,INF,So,0,0,2012,10942,Erskine,1072
4,1104830,Tyler Jones,P,Jr,0,0,2012,10942,Erskine,1072
28,1303215,Logan Galliher,OF,Fr,0,0,2012,10942,Erskine,1072
36,1303221,Christian Martinez,INF,Fr,1,0,2013,11320,Erskine,1072
27,1213808,Ross Lisee,C,Jr,3,1,2013,11320,Erskine,1072
7,1213798,Zach Mcallister,P,So,14,4,2013,11320,Erskine,1072
31,997281,Mattison Mcclure,P,Sr,1,0,2013,11320,Erskine,1072
39,1303222,Joby Moss,P,So,2,0,2013,11320,Erskine,1072
44,1420250,Destin Nichols,C,Fr,0,0,2013,11320,Erskine,1072
41,1213809,Chase Norman,P,Jr,20,0,2013,11320,Erskine,1072
12,1420240,Alex Rhodes,P,Fr,13,4,2013,11320,Erskine,1072
52,1108055,Drew Willingham,1B,Sr,50,50,2013,11320,Erskine,1072
29,1303216,Dustin Sherbert,P,So,10,7,2013,11320,Erskine,1072
45,1303218,Will Spearman,INF,Fr,1,0,2013,11320,Erskine,1072
2,1303191,Cody Spence,INF,So,50,50,2013,11320,Erskine,1072
42,1104842,Taylor Wall,P,Sr,13,12,2013,11320,Erskine,1072
38,1420248,Nate Williamson,OF,Jr,6,0,2013,11320,Erskine,1072
3,1303192,Brandon Wooten,INF,So,46,44,2013,11320,Erskine,1072
16,1213807,Cameron Yost,INF,Jr,6,0,2013,11320,Erskine,1072
35,1303220,Hanlon Maivelett,C,So,30,24,2013,11320,Erskine,1072
20,1420257,Matt Richardson,OF,Fr,1,0,2013,11320,Erskine,1072
4,1104830,Tyler Jones,P,Sr,21,5,2013,11320,Erskine,1072
1,1303190,Nick Levy,P,So,5,0,2013,11320,Erskine,1072
43,1420249,Joe Johnson,P,Fr,23,0,2013,11320,Erskine,1072
45,1213806,Robbie Brown,P,Jr,5,0,2013,11320,Erskine,1072
23,1104834,Kit Carter,P,Sr,23,0,2013,11320,Erskine,1072
9,1213797,Chase Corn,OF,Jr,50,50,2013,11320,Erskine,1072
6,1420238,Zack Jones,INF,So,39,36,2013,11320,Erskine,1072
37,1420247,Landon Dickerson,P,Fr,0,0,2013,11320,Erskine,1072
19,1303197,Richard Dix,INF,So,26,17,2013,11320,Erskine,1072
34,1303219,Cody Dysart,P,So,15,0,2013,11320,Erskine,1072
28,1303215,Logan Galliher,OF,So,49,49,2013,11320,Erskine,1072
26,1303214,Sam Cothran,OF,Fr,32,21,2013,11320,Erskine,1072
24,1303227,Tyler Geer,P,So,1,0,2013,11320,Erskine,1072
15,1420245,Austin Gambrell,INF,So,39,35,2013,11320,Erskine,1072
