"name","class","player_id","season","number","position","player_url","team_id","team_name","team_url","conference_id","conference","division","season_id"
"Bethel, Dreagan","Fr","1533905",2014,"36","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=655&stats_player_seq=1533905",655,"Southeastern La.","/team/655/11620",914,"Southland",1,11620
"Bobo, Webb","Fr","1533906",2014,"30","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=655&stats_player_seq=1533906",655,"Southeastern La.","/team/655/11620",914,"Southland",1,11620
"Bracey, Kyle","So","1313016",2014,"13","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=655&stats_player_seq=1313016",655,"Southeastern La.","/team/655/11620",914,"Southland",1,11620
"Bryan, Corey","Sr","1416924",2014,"4","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=655&stats_player_seq=1416924",655,"Southeastern La.","/team/655/11620",914,"Southland",1,11620
"Buratt, Jesse","Sr","1416928",2014,"14","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=655&stats_player_seq=1416928",655,"Southeastern La.","/team/655/11620",914,"Southland",1,11620
"Byers, Ryan","Fr","1416936",2014,"31","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=655&stats_player_seq=1416936",655,"Southeastern La.","/team/655/11620",914,"Southland",1,11620
"Carr, Kevin","Jr","1533907",2014,"2","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=655&stats_player_seq=1533907",655,"Southeastern La.","/team/655/11620",914,"Southland",1,11620
"Catalano, Brennan","So","1416931",2014,"33","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=655&stats_player_seq=1416931",655,"Southeastern La.","/team/655/11620",914,"Southland",1,11620
"Cedotal, Kyle","So","1416923",2014,"10","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=655&stats_player_seq=1416923",655,"Southeastern La.","/team/655/11620",914,"Southland",1,11620
"Cutura, Andro","Jr","1313011",2014,"3","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=655&stats_player_seq=1313011",655,"Southeastern La.","/team/655/11620",914,"Southland",1,11620
"Earnest, Dylan","Jr",NA,2014,"29","P",NA,655,"Southeastern La.","/team/655/11620",914,"Southland",1,11620
