jersey,stats_player_seq,name,position,class_year,games_played,games_started,season,season_id,school,school_id
17,1318325,Kasey Bielec,INF,Fr,0,0,2012,10942,Central Wash.,1010
30,1318327,Randy Button,P,Jr,0,0,2012,10942,Central Wash.,1010
5,1318329,Davis Engel,P,So,0,0,2012,10942,Central Wash.,1010
33,1318336,Jason Lotzer,P,Jr,0,0,2012,10942,Central Wash.,1010
23,1318337,Stinson Ott,P,Jr,0,0,2012,10942,Central Wash.,1010
11,1218644,Jimmy Ryerson,OF,Jr,0,0,2012,10942,Central Wash.,1010
34,1318338,Kyle Sani,C,Jr,0,0,2012,10942,Central Wash.,1010
10,1218645,Ethan Sterkel,OF,So,0,0,2012,10942,Central Wash.,1010
13,1422745,Joel Johnson,SS,Jr,48,44,2013,11320,Central Wash.,1010
33,1318336,Jason Lotzer,P,Sr,10,2,2013,11320,Central Wash.,1010
37,1422761,Eddie Malone,1B,Jr,26,12,2013,11320,Central Wash.,1010
22,1422749,Dean Neilson,P,So,6,0,2013,11320,Central Wash.,1010
28,1422754,Tyler Roberts,P,Sr,15,12,2013,11320,Central Wash.,1010
11,1218644,Jimmy Ryerson,OF,Sr,23,4,2013,11320,Central Wash.,1010
17,1422748,Justen Weigel,SS,Jr,35,33,2013,11320,Central Wash.,1010
10,1218645,Ethan Sterkel,OF,Jr,48,46,2013,11320,Central Wash.,1010
35,1422759,Scott Stone,INF,Jr,33,19,2013,11320,Central Wash.,1010
8,1422743,Spencer Hannah,OF,Jr,37,18,2013,11320,Central Wash.,1010
21,1422760,Sam Williams,C,Jr,13,8,2013,11320,Central Wash.,1010
42,1422762,Justin Peterson,1B,Sr,52,45,2013,11320,Central Wash.,1010
34,1318338,Kyle Sani,C,Sr,53,53,2013,11320,Central Wash.,1010
26,1422753,Jeff Gonzales,P,Jr,12,3,2013,11320,Central Wash.,1010
20,1318337,Stinson Ott,P,Jr,9,0,2013,11320,Central Wash.,1010
7,1422742,Jake Fife,P,Jr,1,0,2013,11320,Central Wash.,1010
29,1422755,Skye Adams,P,Jr,12,10,2013,11320,Central Wash.,1010
24,1422751,Marc Garza,3B,Sr,52,50,2013,11320,Central Wash.,1010
31,1422757,Joe Arlt,P,Jr,7,6,2013,11320,Central Wash.,1010
6,1318325,Kasey Bielec,INF,So,48,39,2013,11320,Central Wash.,1010
18,1318327,Randy Button,P,Sr,17,2,2013,11320,Central Wash.,1010
9,1422744,Joe Castro,OF,Jr,53,49,2013,11320,Central Wash.,1010
3,1422740,Mike Davalos,OF,So,18,4,2013,11320,Central Wash.,1010
5,1218636,Daniel Kathman,C,Sr,20,18,2013,11320,Central Wash.,1010
14,1422746,Max Dickinson,P,So,20,1,2013,11320,Central Wash.,1010
23,1422750,Ty Druffel,P,Jr,6,0,2013,11320,Central Wash.,1010
2,1318329,Davis Engel,P,So,20,4,2013,11320,Central Wash.,1010
15,1422747,J.V. Estella,2B,Jr,21,7,2013,11320,Central Wash.,1010
30,1422756,Kramer Ferrell,OF,Fr,46,37,2013,11320,Central Wash.,1010
32,1422758,Stuart Fewel,P,Jr,13,13,2013,11320,Central Wash.,1010
25,1422752,Willie Davies,P,Jr,19,1,2013,11320,Central Wash.,1010
30,1422756,Kramer Ferrell,OF,So,0,0,2014,11620,Central Wash.,1010
15,1422747,J.V. Estella,2B,Sr,0,0,2014,11620,Central Wash.,1010
5,1318329,Davis Engel,P,Jr,13,1,2014,11620,Central Wash.,1010
23,1422750,Ty Druffel,P,Sr,0,0,2014,11620,Central Wash.,1010
14,1422746,Max Dickinson,P,Jr,15,0,2014,11620,Central Wash.,1010
25,1422752,Willie Davies,P,Sr,12,5,2014,11620,Central Wash.,1010
11,1540960,Jeff Beckman,C,Jr,30,14,2014,11620,Central Wash.,1010
7,1422744,Joe Castro,OF,Sr,33,18,2014,11620,Central Wash.,1010
6,1318325,Kasey Bielec,INF,Jr,49,49,2014,11620,Central Wash.,1010
31,1540959,Kyle Baumgartner,LF,Jr,35,16,2014,11620,Central Wash.,1010
31,1422757,Joe Arlt,P,Sr,0,0,2014,11620,Central Wash.,1010
18,1422755,Skye Adams,P,Sr,14,10,2014,11620,Central Wash.,1010
24,1422758,Stuart Fewel,P,Sr,11,11,2014,11620,Central Wash.,1010
3,1422740,Mike Davalos,OF,Jr,0,0,2014,11620,Central Wash.,1010
36,1559156,Nolan Amundson,P,Jr,8,0,2014,11620,Central Wash.,1010
7,1422742,Jake Fife,P,Sr,0,0,2014,11620,Central Wash.,1010
26,1422753,Jeff Gonzales,P,Sr,0,0,2014,11620,Central Wash.,1010
20,1540963,Brandon Williams,P,Jr,14,13,2014,11620,Central Wash.,1010
21,1422760,Sam Williams,C,Sr,0,0,2014,11620,Central Wash.,1010
42,1546463,Jesse White,C,Jr,26,23,2014,11620,Central Wash.,1010
22,1547853,Cory Welch,SS/P,Jr,46,46,2014,11620,Central Wash.,1010
17,1422748,Justen Weigel,SS,Sr,21,20,2014,11620,Central Wash.,1010
10,1540957,Eric Tinnell,2B,Sr,42,39,2014,11620,Central Wash.,1010
15,1422759,Scott Stone,INF,Sr,40,31,2014,11620,Central Wash.,1010
8,1218645,Ethan Sterkel,OF,Sr,48,45,2014,11620,Central Wash.,1010
34,1540962,Jaykob Sells,CF,Sr,42,25,2014,11620,Central Wash.,1010
21,1540961,Zach Reay,PH/C,Jr,23,19,2014,11620,Central Wash.,1010
29,1540958,Josh Potter,1B,Sr,43,36,2014,11620,Central Wash.,1010
32,1548629,Kurtis Pitcher,P,Sr,9,9,2014,11620,Central Wash.,1010
20,1318337,Stinson Ott,P,Sr,0,0,2014,11620,Central Wash.,1010
22,1422749,Dean Neilson,P,Jr,0,0,2014,11620,Central Wash.,1010
9,1547854,Stephen Mcelroy,CF,Fr,15,10,2014,11620,Central Wash.,1010
37,1422761,Eddie Malone,1B,Sr,0,0,2014,11620,Central Wash.,1010
30,1547855,Jake Levin,DH,So,35,16,2014,11620,Central Wash.,1010
37,1547858,Jeffrey Larabee,P,Sr,2,0,2014,11620,Central Wash.,1010
13,1422745,Joel Johnson,SS,Sr,25,11,2014,11620,Central Wash.,1010
33,1547856,Cameron Harper,LF,Jr,13,9,2014,11620,Central Wash.,1010
8,1422743,Spencer Hannah,OF,Sr,0,0,2014,11620,Central Wash.,1010
