"player_name","class","player_id","season","number","position","player_url","team_id","team_name","team_url","conference_id","conference","division","year","season_id"
"Bailey, Jacob","So","2812625",2023,"13","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2812625",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Bellah, Jack","So","2669445",2023,"33","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2669445",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Dowdy, Tyler","Jr","2463240",2023,"29","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2463240",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Estes, Jacob","Jr","2669450",2023,"8","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2669450",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Ferro, Salvatore","Sr","1981560",2023,"23","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=1981560",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Fontenot, True","Sr","2321556",2023,"17","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2321556",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Fryman, Jadon","So","2669523",2023,"20","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2669523",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Grabsky, Jackson","So","2812626",2023,"18","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2812626",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Heath, Jacob","So","2812624",2023,"12","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2812624",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Hesters, Kobe","Jr",NA,2023,"35","C",NA,11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Hotz, Dean","So","2669524",2023,"24","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2669524",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Jeffcoat, Trent","Jr","2669449",2023,"2","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2669449",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Johnson, Chris","So","2669528",2023,"19","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2669528",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Lawson, Dilan","Jr","2669529",2023,"36","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2669529",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Leland, Jonah","So","2812623",2023,"6","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2812623",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Luttermoser, Smitty","Sr","2321634",2023,"11","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2321634",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
"Manderscheid, Kade","So","2812628",2023,"26","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=11740&stats_player_seq=2812628",11740,"West Florida","/team/11740/16340",858,"Gulf South",2,2023,16340
