"player_name","class","player_id","season","number","position","player_url"
"Anderson, Chris","Sr","2143502",2023,"24","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2143502"
"Brown, Chris","Jr","2314432",2023,"31","UT","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2314432"
"Cammisa, V.","Fr","2685828",2023,"1","2b","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2685828"
"Chin, B.","Fr","2694481",2023,"10","p","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2694481"
"Derk, Justin","Sr","2143504",2023,"5","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2143504"
"Duffy, Joe","Sr","2143491",2023,"7","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2143491"
"Estrada, Adam","Jr","2314453",2023,"22","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2314453"
"Francisco, CJ","Jr","2520427",2023,"39","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2520427"
"Fresta, Louis","Jr","2520438",2023,"13","UT","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2520438"
"Gibson, Andrew","Jr","2314454",2023,"4","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2314454"
"Glass, I.","Fr","2682661",2023,"32","p","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2682661"
"Hess, Ryan","Jr","2314445",2023,"23","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2314445"
"Markley, Cole","Jr","2314446",2023,"33","UT","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2314446"
"May, Edward","Jr","2348959",2023,"6","UT","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2348959"
"Parish, Hunter","Jr","2314455",2023,"29","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2314455"
"Parker, Darren","Jr","2520422",2023,"14","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2520422"
"Patel, I.","Fr","2682642",2023,"35","p","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2682642"
"Pena, AJ","Sr","2143522",2023,"3","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2143522"
"Pollock, Frank","Jr","2520437",2023,"11","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2520437"
"Rosamilia, Andrew","Jr","2314449",2023,"28","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2314449"
"Sinclair, Evan","Sr","1994735",2023,"8","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=1994735"
"Spahn, Sebastian","Sr","2143510",2023,"45","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2143510"
"Yang, J.","Fr","2682641",2023,"18","2b","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2682641"
"Zemlanicky, George","Jr","2314450",2023,"47","UT","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=28594&stats_player_seq=2314450"
